request_id,source_id,requested_date,request_role,page_number,requested_url,final_url,requested_at_utc,completed_at_utc,attempts,status_code,outcome,content_type,content_bytes,sha256,raw_relative_path,x_wp_total,x_wp_totalpages,retry_after,error
req_0001,civil_georgia,,robots,,https://civil.ge/robots.txt,,2026-09-14T22:05:33+00:00,2026-09-14T22:05:34+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: /robots.txt (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0002,civil_georgia,,access_conditions,,https://civil.ge/,,2026-09-14T22:05:35+00:00,2026-09-14T22:05:36+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0003,civil_georgia,2000-06-15,wordpress_api,1,https://civil.ge/wp-json/wp/v2/posts?after=2000-06-14T23%3A59%3A59&before=2000-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1,,2026-09-14T22:05:37+00:00,2026-09-14T22:05:38+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: /wp-json/wp/v2/posts?after=2000-06-14T23%3A59%3A59&before=2000-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0004,civil_georgia,2000-06-15,daily_html_reconciliation,1,https://civil.ge/archives/date/2000/06/15,,2026-09-14T22:05:39+00:00,2026-09-14T22:05:40+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: /archives/date/2000/06/15 (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0005,civil_georgia,2009-06-15,wordpress_api,1,https://civil.ge/wp-json/wp/v2/posts?after=2009-06-14T23%3A59%3A59&before=2009-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1,,2026-09-14T22:05:41+00:00,2026-09-14T22:05:43+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: /wp-json/wp/v2/posts?after=2009-06-14T23%3A59%3A59&before=2009-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0006,civil_georgia,2009-06-15,daily_html_reconciliation,1,https://civil.ge/archives/date/2009/06/15,,2026-09-14T22:05:44+00:00,2026-09-14T22:05:45+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: /archives/date/2009/06/15 (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0007,civil_georgia,2014-06-15,wordpress_api,1,https://civil.ge/wp-json/wp/v2/posts?after=2014-06-14T23%3A59%3A59&before=2014-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1,,2026-09-14T22:05:46+00:00,2026-09-14T22:05:47+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: /wp-json/wp/v2/posts?after=2014-06-14T23%3A59%3A59&before=2014-06-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0008,civil_georgia,2014-06-15,daily_html_reconciliation,1,https://civil.ge/archives/date/2014/06/15,,2026-09-14T22:05:48+00:00,2026-09-14T22:05:49+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: /archives/date/2014/06/15 (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0009,civil_georgia,2026-08-15,wordpress_api,1,https://civil.ge/wp-json/wp/v2/posts?after=2026-08-14T23%3A59%3A59&before=2026-08-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1,,2026-09-14T22:05:50+00:00,2026-09-14T22:05:51+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: /wp-json/wp/v2/posts?after=2026-08-14T23%3A59%3A59&before=2026-08-15T23%3A59%3A59&per_page=100&orderby=date&order=asc&_fields=id%2Cdate%2Cdate_gmt%2Cmodified%2Cmodified_gmt%2Clink%2Cslug%2Ctitle&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
req_0010,civil_georgia,2026-08-15,daily_html_reconciliation,1,https://civil.ge/archives/date/2026/08/15,,2026-09-14T22:05:52+00:00,2026-09-14T22:05:53+00:00,2,,request_failure,,,,,,,,"ConnectionError: HTTPSConnectionPool(host='civil.ge', port=443): Max retries exceeded with url: /archives/date/2026/08/15 (Caused by NameResolutionError(""HTTPSConnection(host='civil.ge', port=443): Failed to resolve 'civil.ge' ([Errno 8] nodename nor servname provided, or not known)""))"
