year,post_2009,india_china_distance,synthetic_distance,india_minus_synthetic
1997,FALSE,0.009406999999999943,0.4923398214833219,-0.48293282148332195
1998,FALSE,0.2556688,0.38946119535321716,-0.13379239535321719
1999,FALSE,0.04075050000000002,0.2307478802226567,-0.18999738022265666
2000,FALSE,0.1203065000000001,0.34005183935181066,-0.21974533935181056
2001,FALSE,0.04120489999999999,0.3655868541043115,-0.32438195410431153
2002,FALSE,0.39665399999999995,0.42254898036714805,-0.0258949803671481
2003,FALSE,0.8258437,0.6391547596518301,0.18668894034816985
2004,FALSE,0.4217131,0.5378541407202652,-0.11614104072026515
2005,FALSE,0.4870114,0.5224101504217397,-0.03539875042173968
2006,FALSE,0.30295190000000005,0.5618639194173094,-0.25891201941730935
2007,FALSE,0.13208380000000003,0.31328045153503614,-0.1811966515350361
2008,FALSE,0.020133900000000038,0.35492753097765706,-0.334793630977657
2009,TRUE,0.1448683,0.3790502973098484,-0.2341819973098484
2010,TRUE,0.2959423000000001,0.3990231384115342,-0.10308083841153409
2011,TRUE,0.22344869999999994,0.3390234237983319,-0.11557472379833195
2012,TRUE,0.18552979999999997,0.4702862947495912,-0.28475649474959125
2013,TRUE,0.1037074,0.3769383575594691,-0.2732309575594691
2014,TRUE,0.0204164,0.38104309600906444,-0.36062669600906444
2015,TRUE,0.0690286,0.4186439941588785,-0.3496153941588785
