outcome,iso3c,cue_year,ddd,rank_directional,p_placebo_directional,n_placebo
agreement_china_minus_usa,KOR,2003,-0.13469163178533552,95,0.9047619047619048,104
agreement_china_minus_usa,AUS,2007,-0.05026623351007133,71,0.6761904761904762,104
agreement_china_minus_usa,CHL,2007,0.09669404714327015,15,0.14285714285714285,104
agreement_china_minus_usa,BRA,2009,0.05081710957935364,26,0.24761904761904763,104
agreement_china_minus_usa,ZAF,2010,0.020852014101071417,44,0.41904761904761906,104
agreement_china_minus_usa,NZL,2013,-0.027706920077053224,68,0.6476190476190476,104
agreement_china_minus_usa,URY,2013,0.12995274473927884,8,0.0761904761904762,104
distance_china_minus_usa,KOR,2003,0.3542613684382785,101,0.9619047619047619,104
distance_china_minus_usa,AUS,2007,0.07445692189506506,73,0.6952380952380952,104
distance_china_minus_usa,CHL,2007,-0.15887966761963618,16,0.1523809523809524,104
distance_china_minus_usa,BRA,2009,-0.2176745613800069,10,0.09523809523809523,104
distance_china_minus_usa,ZAF,2010,-0.04901515851180757,35,0.3333333333333333,104
distance_china_minus_usa,NZL,2013,0.032915372818654656,62,0.5904761904761905,104
distance_china_minus_usa,URY,2013,-0.20940234352467368,7,0.06666666666666667,104
