outcome,case,placebo_unit,ddd
distance_china_minus_usa,KOR,AFG,0.0823460160976932
distance_china_minus_usa,KOR,ALB,0.04984146274941481
distance_china_minus_usa,KOR,AND,0.18572769697828498
distance_china_minus_usa,KOR,ARE,-0.1491744168581873
distance_china_minus_usa,KOR,ARG,-0.1173855434209193
distance_china_minus_usa,KOR,ATG,-0.00885615453551271
distance_china_minus_usa,KOR,AUT,0.15239812926515256
distance_china_minus_usa,KOR,AZE,-0.34504264816874824
distance_china_minus_usa,KOR,BGD,-0.17267832630386049
distance_china_minus_usa,KOR,BGR,0.23730126355906211
distance_china_minus_usa,KOR,BHR,-0.1893374157789281
distance_china_minus_usa,KOR,BHS,-0.1396036693837367
distance_china_minus_usa,KOR,BLR,-0.33852927857594994
distance_china_minus_usa,KOR,BLZ,-0.18085915721731585
distance_china_minus_usa,KOR,BOL,-0.042172403905976076
distance_china_minus_usa,KOR,BRB,-0.38109224735265135
distance_china_minus_usa,KOR,BRN,-0.2637076660379429
distance_china_minus_usa,KOR,BTN,-0.1766600178745446
distance_china_minus_usa,KOR,BWA,-0.15442709677435057
distance_china_minus_usa,KOR,CAN,0.32850285139963276
distance_china_minus_usa,KOR,CIV,0.12154661661895634
distance_china_minus_usa,KOR,COL,-0.2762326748313274
distance_china_minus_usa,KOR,COM,-0.01591624584270991
distance_china_minus_usa,KOR,CPV,-0.06943221601125449
distance_china_minus_usa,KOR,CRI,0.06678922787595214
distance_china_minus_usa,KOR,CYP,0.261243550170516
distance_china_minus_usa,KOR,CZE,0.1269224847932738
distance_china_minus_usa,KOR,DEU,0.17235870808236986
distance_china_minus_usa,KOR,DJI,0.041678153539237636
distance_china_minus_usa,KOR,DMA,-0.154230661837828
distance_china_minus_usa,KOR,DNK,0.006405695893465497
distance_china_minus_usa,KOR,DOM,0.38449654736905353
distance_china_minus_usa,KOR,DZA,-0.19553164920013105
distance_china_minus_usa,KOR,ECU,-0.1061117595748813
distance_china_minus_usa,KOR,EGY,-0.2481275296800383
distance_china_minus_usa,KOR,ESP,0.10171040370694613
distance_china_minus_usa,KOR,EST,0.2037859031148595
distance_china_minus_usa,KOR,FIN,0.08217316948092117
distance_china_minus_usa,KOR,FJI,0.11324271424820617
distance_china_minus_usa,KOR,FRA,0.13768496722491763
distance_china_minus_usa,KOR,FSM,0.19889183776292538
distance_china_minus_usa,KOR,GBR,0.06890593963641271
distance_china_minus_usa,KOR,GEO,0.015157031713804853
distance_china_minus_usa,KOR,GRC,0.17062735063771411
distance_china_minus_usa,KOR,GRD,-0.2857747794717168
distance_china_minus_usa,KOR,GTM,0.12048408438195254
distance_china_minus_usa,KOR,GUY,-0.20773562491143674
distance_china_minus_usa,KOR,HND,0.1396694381259668
distance_china_minus_usa,KOR,HRV,0.37596218596688497
distance_china_minus_usa,KOR,HTI,-0.05679758156907821
distance_china_minus_usa,KOR,HUN,0.06852860444198842
distance_china_minus_usa,KOR,IND,-0.0809367845042184
distance_china_minus_usa,KOR,IRL,0.11430016955978471
distance_china_minus_usa,KOR,ISL,0.07350769976214752
distance_china_minus_usa,KOR,ISR,-0.25385541120859695
distance_china_minus_usa,KOR,ITA,0.10732988698511697
distance_china_minus_usa,KOR,JAM,-0.26982169456011196
distance_china_minus_usa,KOR,JOR,0.0497156850081445
distance_china_minus_usa,KOR,KEN,0.03165093111007983
distance_china_minus_usa,KOR,KNA,0.9248747366720061
distance_china_minus_usa,KOR,LBN,-0.058111064251718886
distance_china_minus_usa,KOR,LBY,-0.20713958572190674
distance_china_minus_usa,KOR,LCA,0.013203504027415386
distance_china_minus_usa,KOR,LKA,-0.05861101316686222
distance_china_minus_usa,KOR,LSO,0.037761480899718314
distance_china_minus_usa,KOR,LTU,0.25791124153474987
distance_china_minus_usa,KOR,LVA,0.19469284395931719
distance_china_minus_usa,KOR,MAR,-0.11019953866784296
distance_china_minus_usa,KOR,MDA,0.050829749364588894
distance_china_minus_usa,KOR,MDG,-0.1786448974383024
distance_china_minus_usa,KOR,MDV,-0.3113442584098471
distance_china_minus_usa,KOR,MEX,0.14419194846170005
distance_china_minus_usa,KOR,MHL,0.04700013701436923
distance_china_minus_usa,KOR,MKD,0.29422756035947817
distance_china_minus_usa,KOR,MUS,-0.30835178114331696
distance_china_minus_usa,KOR,MWI,0.15267821476402693
distance_china_minus_usa,KOR,NAM,0.06017398873943009
distance_china_minus_usa,KOR,NGA,-3.9630878764074484e-4
distance_china_minus_usa,KOR,NIC,0.249539978084294
distance_china_minus_usa,KOR,NLD,0.10556134650866349
distance_china_minus_usa,KOR,NOR,0.07475573196069149
distance_china_minus_usa,KOR,NPL,0.039568449518134235
distance_china_minus_usa,KOR,PAK,-0.24604937125177903
distance_china_minus_usa,KOR,POL,0.054966367338429745
distance_china_minus_usa,KOR,PRT,0.15458232360242471
distance_china_minus_usa,KOR,PRY,0.06864684159252887
distance_china_minus_usa,KOR,ROU,0.19016817730162597
distance_china_minus_usa,KOR,RWA,-0.04735502360316151
distance_china_minus_usa,KOR,SEN,-0.0468702097527099
distance_china_minus_usa,KOR,SGP,-0.05473430693308129
distance_china_minus_usa,KOR,SLV,0.11227090736126494
distance_china_minus_usa,KOR,SUR,-0.06098145557617938
distance_china_minus_usa,KOR,SVK,0.16971537795225364
distance_china_minus_usa,KOR,SVN,0.1509580917109432
distance_china_minus_usa,KOR,SWE,0.11185074739587983
distance_china_minus_usa,KOR,SWZ,-0.046149909276369
distance_china_minus_usa,KOR,SYR,-0.32650169700589954
distance_china_minus_usa,KOR,TGO,-0.04930755427863338
distance_china_minus_usa,KOR,TTO,-0.21793256678791745
distance_china_minus_usa,KOR,TUN,-0.09620793514208176
distance_china_minus_usa,KOR,TUR,0.5380973929367677
distance_china_minus_usa,KOR,UGA,-0.08216706833796655
distance_china_minus_usa,KOR,VCT,-0.22119839520601384
distance_china_minus_usa,KOR,WSM,-0.15764297632674423
distance_china_minus_usa,AUS,AFG,0.04329641954332552
distance_china_minus_usa,AUS,ALB,0.08802799550065638
distance_china_minus_usa,AUS,AND,0.032934377191062306
distance_china_minus_usa,AUS,ARE,-0.017706154965565483
distance_china_minus_usa,AUS,ARG,-0.14586518396301093
distance_china_minus_usa,AUS,ATG,-0.044027788766808136
distance_china_minus_usa,AUS,AUT,0.1482669023942949
