outcome,iso3c,cue_year,ddd
distance_china_minus_usa,KOR,2003,0.3542613684382785
distance_china_minus_usa,AUS,2007,0.07445692189506506
distance_china_minus_usa,CHL,2007,-0.15887966761963618
distance_china_minus_usa,BRA,2009,-0.2176745613800069
distance_china_minus_usa,ZAF,2010,-0.04901515851180757
distance_china_minus_usa,URY,2013,-0.20940234352467368
distance_china_minus_usa,NZL,2013,0.032915372818654656
agreement_china_minus_usa,KOR,2003,-0.13469163178533552
agreement_china_minus_usa,AUS,2007,-0.05026623351007133
agreement_china_minus_usa,CHL,2007,0.09669404714327015
agreement_china_minus_usa,BRA,2009,0.05081710957935364
agreement_china_minus_usa,ZAF,2010,0.020852014101071417
agreement_china_minus_usa,URY,2013,0.12995274473927884
agreement_china_minus_usa,NZL,2013,-0.027706920077053224
