iso3c,country_name,first_treat_year,displaced_partner,displaced_partner_name,displacement_salience_warning
MYS,Malaysia,2009,SGP,Singapore,hub_or_entrepot_incumbent
SLE,Sierra Leone,2012,BEL,Belgium,hub_or_entrepot_incumbent
