regional_power_decomposition,n_treated_countries,countries,displaced_partners
other_g7,4,"AUS, PHL, QAT, SLB",JPN
other_incumbent,4,"GAB, MMR, MYS, SLE","BEL, COG, SGP, THA"
us,4,"AGO, BRA, CHL, SAU",USA
external_regional_or_global_power,1,KWT,KOR
same_region_regional_power,1,URY,BRA
