model,subgroup,excluded_iso3c,excluded_country_name,excluded_first_treat,status,error_message,att,se,ci_lo,ci_hi,p,n_obs,n_countries,n_treated,n_control,base_att,delta_att,abs_delta_att
Drop SLB,leave_one_out,SLB,Solomon Islands,2003,ok,NA,-0.06585275325594271,0.03615410372246876,-0.1367147965519815,0.005009290040096051,0.06853906440378582,3432,104,13,91,-0.10074217259797992,0.03488941934203721,0.03488941934203721
Drop MMR,leave_one_out,MMR,Myanmar (Burma),2014,ok,NA,-0.08287197194635648,0.052447408891292846,-0.18566889337329046,0.019924949480577492,0.11408474811342402,3432,104,13,91,-0.10074217259797992,0.01787020065162344,0.01787020065162344
Drop CHL,leave_one_out,CHL,Chile,2008,ok,NA,-0.08554517072008147,0.05588474240205807,-0.1950792658281153,0.023988924387952346,0.12583295519839408,3432,104,13,91,-0.10074217259797992,0.01519700187789845,0.01519700187789845
Drop PHL,leave_one_out,PHL,Philippines,2005,ok,NA,-0.11342426394835954,0.0498885883490622,-0.21120589711252147,-0.015642630784197628,0.022992979527317128,3432,104,13,91,-0.10074217259797992,-0.01268209135037962,0.01268209135037962
Drop SAU,leave_one_out,SAU,Saudi Arabia,2015,ok,NA,-0.11164397297579569,0.04910676462198274,-0.20789323163488185,-0.015394714316709524,0.022996380404309194,3432,104,13,91,-0.10074217259797992,-0.010901800377815768,0.010901800377815768
Drop SLE,leave_one_out,SLE,Sierra Leone,2012,ok,NA,-0.11023549984117234,0.05020087665668983,-0.2086292180882844,-0.011841781594060269,0.028099964842619958,3432,104,13,91,-0.10074217259797992,-0.00949332724319242,0.00949332724319242
Drop AGO,leave_one_out,AGO,Angola,2007,ok,NA,-0.10924845889306575,0.053592809788694996,-0.21429036607890795,-0.00420655170722356,0.04150085675550058,3432,104,13,91,-0.10074217259797992,-0.008506286295085833,0.008506286295085833
Drop AUS,leave_one_out,AUS,Australia,2010,ok,NA,-0.1087411316856254,0.051849826829114494,-0.2103667922706898,-0.007115471100560988,0.03597301633055423,3432,104,13,91,-0.10074217259797992,-0.007998959087645474,0.007998959087645474
Drop MYS,leave_one_out,MYS,Malaysia,2009,ok,NA,-0.10734918866726506,0.05120499876611397,-0.20771098624884843,-0.0069873910856816795,0.03604147919468556,3432,104,13,91,-0.10074217259797992,-0.00660701606928514,0.00660701606928514
Drop GAB,leave_one_out,GAB,Gabon,2017,ok,NA,-0.10576696933789458,0.052760596283576044,-0.20917773805370363,-0.0023562006220855247,0.04499958515849998,3432,104,13,91,-0.10074217259797992,-0.005024796739914655,0.005024796739914655
Drop QAT,leave_one_out,QAT,Qatar,2021,ok,NA,-0.10454114833748036,0.04687034434999881,-0.19640702326347803,-0.012675273411482696,0.02571873122475122,3432,104,13,91,-0.10074217259797992,-0.003798975739500443,0.003798975739500443
Drop KWT,leave_one_out,KWT,Kuwait,2018,ok,NA,-0.09817695040370548,0.053399467321750244,-0.20283990635433596,0.006486005546924994,0.06598316619794634,3432,104,13,91,-0.10074217259797992,0.0025652221942744358,0.0025652221942744358
Drop BRA,leave_one_out,BRA,Brazil,2009,ok,NA,-0.10303509200059838,0.05214123024016011,-0.2052319032713122,-8.382807298845663e-4,0.04814604353147682,3432,104,13,91,-0.10074217259797992,-0.002292919402618457,0.002292919402618457
Drop URY,leave_one_out,URY,Uruguay,2013,ok,NA,-0.10233603581631634,0.05173705830084337,-0.20374067008596936,-9.31401546663338e-4,0.04792841339023256,3432,104,13,91,-0.10074217259797992,-0.0015938632183364193,0.0015938632183364193
Baseline C&S,all,NA,NA,NA,ok,NA,-0.10074217259797992,0.04685718427554071,-0.19258225377803972,-0.00890209141792013,0.03155652071788625,3465,105,14,91,-0.10074217259797992,0,0
