model,moderator,group_var,status,error_message,nboots,att,se,ci_lo,ci_hi,p,r_cv,n_obs,n_countries,n_treated,n_control
"Baseline IFE, no moderator",none,NA,ok,NA,500,-0.10021475693065109,0.040814055652664126,-0.18021030600987276,-0.020219207851429402,0.014072862318170521,2,3465,105,14,91
IFE grouped by displaced_us,displaced_us,displaced_us_group,ok,NA,500,-0.10021475693065109,0.040814055652664126,-0.18021030600987276,-0.020219207851429402,0.014072862318170521,2,3465,105,14,91
IFE grouped by displaced_g7,displaced_g7,displaced_g7_group,ok,NA,500,-0.10021475693065109,0.040814055652664126,-0.18021030600987276,-0.020219207851429402,0.014072862318170521,2,3465,105,14,91
IFE grouped by displaced_regional_power,displaced_regional_power,displaced_regional_power_group,ok,NA,500,-0.10021475693065109,0.040814055652664126,-0.18021030600987276,-0.020219207851429402,0.014072862318170521,2,3465,105,14,91
IFE grouped by pre_entry_high_level_partner,pre_entry_partner_level,pre_entry_high_level_partner_group,ok,NA,500,-0.10021475693065109,0.040814055652664126,-0.18021030600987276,-0.020219207851429402,0.014072862318170521,2,3465,105,14,91
