model,moderator,group_var,group,nboots,att,se,ci_lo,ci_hi,p,r_cv,n_treated_countries,treated_country_years,countries
IFE grouped by displaced_us,displaced_us,displaced_us_group,displaced_us_no,500,-0.09054084512814382,0.05388343926808313,-0.18882431765729032,0.025486482045407828,0.12,2,10,108,"AUS, GAB, KWT, MMR, MYS, PHL, QAT, SLB, SLE, URY"
IFE grouped by displaced_us,displaced_us,displaced_us_group,displaced_us_yes,500,-0.11992763381123209,0.047806358650276576,-0.20639488988851185,-0.01819605849542002,0.036290322580645164,2,4,53,"AGO, BRA, CHL, SAU"
IFE grouped by displaced_g7,displaced_g7,displaced_g7_group,displaced_g7_no,500,-0.10302467768963763,0.06013846197066972,-0.22035395334245994,0.01670314398603523,0.06813627254509018,2,6,55,"GAB, KWT, MMR, MYS, SLE, URY"
IFE grouped by displaced_g7,displaced_g7,displaced_g7_group,displaced_g7_yes,500,-0.09875677917834683,0.06051646134130984,-0.2188987098218037,0.021424939994731648,0.1,2,8,106,"AGO, AUS, BRA, CHL, PHL, QAT, SAU, SLB"
IFE grouped by displaced_regional_power,displaced_regional_power,displaced_regional_power_group,regional_power_no,500,-0.09188941768122365,0.07573747360666264,-0.2635422492978882,0.029682180895119897,0.13306451612903225,2,4,40,"GAB, MMR, MYS, SLE"
IFE grouped by displaced_regional_power,displaced_regional_power,displaced_regional_power_group,regional_power_yes,500,-0.1029669351949247,0.05407058171300272,-0.20819043915428925,0.008400238548713393,0.068,2,10,121,"AGO, AUS, BRA, CHL, KWT, PHL, QAT, SAU, SLB, URY"
IFE grouped by pre_entry_high_level_partner,pre_entry_partner_level,pre_entry_high_level_partner_group,high_level_partner_no,500,-0.08863996815876853,0.043731328239406585,-0.17530759706173288,0.003254981189734629,0.056,2,11,142,"AGO, AUS, BRA, CHL, GAB, KWT, MYS, PHL, SLB, SLE, URY"
IFE grouped by pre_entry_high_level_partner,pre_entry_partner_level,pre_entry_high_level_partner_group,high_level_partner_yes,500,-0.18672107301524737,0.07863760066925984,-0.31442423192255753,-0.0073398249264424965,0.037037037037037035,2,3,19,"MMR, QAT, SAU"
