rule,rule_label,iso3c,country_name,"Paper: amostra estimada
bens exportações
absorvente","Recalculado: bens + serviços
exportações
entrada observada","Recalculado: bens + serviços
two-way
entrada observada","Recalculado: bens
exportações
entrada observada"
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,EGY,Egypt,,,2015,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,ERI,Eritrea,,2014,2013,2014
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,ETH,Ethiopia,,2014,,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,GAB,Gabon,2017,2015,2017,2017
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,GMB,Gambia,,2012,2012,2011
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,GHA,Ghana,,2019,2013,2019
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,GIN,Guinea,,2019,,2019
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,IDN,Indonesia,,2013,2011,2013
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,IRQ,Iraq,,2014,2013,2014
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,KEN,Kenya,,,2011,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,KWT,Kuwait,2018,2018,2017,2018
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,KGZ,Kyrgyzstan,,,2016,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,LAO,Laos,,2014,,2014
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,LBR,Liberia,,,2019,2012
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,LBY,Libya,,,2019,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,MWI,Malawi,,2014,2019,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,MYS,Malaysia,2009,,,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,MDV,Maldives,,,2019,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,MLT,Malta,,,,2011
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,MHL,Marshall Islands,,,2018,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,MOZ,Mozambique,,2014,,2014
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,MMR,Myanmar (Burma),2014,2014,2011,2014
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,NZL,New Zealand,,2014,2017,2013
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,NGA,Nigeria,,,2020,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,PAK,Pakistan,,,2014,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,PLW,Palau,,,2020,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,PNG,Papua New Guinea,,2018,,2018
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,PER,Peru,,,2016,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,PHL,Philippines,2005,,,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,QAT,Qatar,,,2020,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,RUS,Russia,,2012,,2012
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,RWA,Rwanda,,,2013,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,SAU,Saudi Arabia,2015,2013,2015,2013
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,SLE,Sierra Leone,2012,2012,2011,2012
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,SGP,Singapore,,,2013,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,SLB,Solomon Islands,2003,,,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,LKA,Sri Lanka,,,2020,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,SYR,Syria,,,2012,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,TZA,Tanzania,,2011,,2011
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,THA,Thailand,,,2011,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,UKR,Ukraine,,2020,2020,2020
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,ARE,United Arab Emirates,,,2017,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,USA,United States,,,2014,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,URY,Uruguay,2013,2013,2013,2013
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,UZB,Uzbekistan,,2013,2015,2013
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,VUT,Vanuatu,,,2013,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,VEN,Venezuela,,,2019,
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,VNM,Vietnam,,2018,,2018
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,ZMB,Zambia,,2012,2012,2012
cutoff_not_top_through_2010,Sensibilidade: países não China #1 em nenhum ano de 2005 a 2010,ZWE,Zimbabwe,,2011,,2011
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),AGO,Angola,2007,2007,2008,2007
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),ARM,Armenia,,2020,,2015
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),AUS,Australia,2010,2009,2007,2009
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),BGD,Bangladesh,,,2010,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),BEN,Benin,,2005 (cens.),2012,2008
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),BRA,Brazil,2009,2009,2017,2009
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),BRN,Brunei,,,2020,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),BFA,Burkina Faso,,2005 (cens.),,2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),BDI,Burundi,,,2017,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),KHM,Cambodia,,,2014,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),CMR,Cameroon,,2012,2012,2012
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),CAF,Central African Republic,,2013,2020,2013
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),TCD,Chad,,2019,2019,2019
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),CHL,Chile,2008,2008,2009,2007
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),COG,Congo - Brazzaville,,2005 (cens.),2005 (cens.),2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),COD,Congo - Kinshasa,,2008,2008,2008
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),CUB,Cuba,,2006,2006,2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),DJI,Djibouti,,,2010,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),EGY,Egypt,,,2015,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),GNQ,Equatorial Guinea,,2006,2006,2006
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),ERI,Eritrea,,2014,2013,2014
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),ETH,Ethiopia,,2014,2007,2009
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),GAB,Gabon,2017,2015,2017,2017
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),GMB,Gambia,,2012,2012,2011
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),GHA,Ghana,,2019,2013,2019
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),GIN,Guinea,,2019,2010,2019
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),IDN,Indonesia,,2013,2011,2013
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),IRN,Iran,,2007,2006,2007
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),IRQ,Iraq,,2014,2013,2014
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),JPN,Japan,,2009,2008,2008
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),KAZ,Kazakhstan,,2007,2010,2007
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),KEN,Kenya,,,2011,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),KWT,Kuwait,2018,2018,2017,2018
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),KGZ,Kyrgyzstan,,,2016,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),LAO,Laos,,2014,,2014
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),LBR,Liberia,,,2019,2012
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),LBY,Libya,,,2019,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MWI,Malawi,,2014,2019,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MYS,Malaysia,2009,2009,2009,2009
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MDV,Maldives,,,2019,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MLI,Mali,,2006,,2006
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MLT,Malta,,,,2011
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MHL,Marshall Islands,,,2018,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MRT,Mauritania,,2006,2006,2006
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MNG,Mongolia,,2005 (cens.),2005 (cens.),2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MOZ,Mozambique,,2014,,2014
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),MMR,Myanmar (Burma),2014,2014,2011,2014
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),NZL,New Zealand,,2014,2017,2013
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),NER,Niger,,,2010,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),NGA,Nigeria,,,2020,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),PRK,North Korea,,2005 (cens.),2005 (cens.),2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),OMN,Oman,,2005 (cens.),2005 (cens.),2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),PAK,Pakistan,,,2014,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),PLW,Palau,,,2020,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),PNG,Papua New Guinea,,2018,,2018
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),PER,Peru,,2010,2016,2010
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),PHL,Philippines,2005,2005 (cens.),2007,2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),QAT,Qatar,,,2020,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),RUS,Russia,,2012,2010,2012
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),RWA,Rwanda,,,2013,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),SAU,Saudi Arabia,2015,2013,2015,2013
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),SLE,Sierra Leone,2012,2012,2011,2012
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),SGP,Singapore,,2005 (cens.),2013,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),SLB,Solomon Islands,2003,2005 (cens.),2005 (cens.),2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),ZAF,South Africa,,2009,2009,2009
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),KOR,South Korea,,2005 (cens.),2005 (cens.),2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),LKA,Sri Lanka,,,2020,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),SDN,Sudan,,2005 (cens.),2005 (cens.),2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),SYR,Syria,,,2012,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),TJK,Tajikistan,,,2009,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),TZA,Tanzania,,2011,2010,2011
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),THA,Thailand,,2008,2011,2008
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),TGO,Togo,,,2006,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),TKM,Turkmenistan,,2010,2010,2010
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),TUV,Tuvalu,,,2008,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),UKR,Ukraine,,2020,2020,2020
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),ARE,United Arab Emirates,,,2017,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),USA,United States,,,2014,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),URY,Uruguay,2013,2013,2013,2013
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),UZB,Uzbekistan,,2013,2015,2013
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),VUT,Vanuatu,,,2013,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),VEN,Venezuela,,,2019,
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),VNM,Vietnam,,2018,2007,2018
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),YEM,Yemen,,2005 (cens.),2005 (cens.),2005 (cens.)
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),ZMB,Zambia,,2012,2012,2012
left_censored_as_already_treated,Censurados à esquerda como já tratados desde 2005 (descritivo),ZWE,Zimbabwe,,2011,,2011
