iso3c,country_name,goods_exports,goods_services_exports,goods_services_two_way,status_goods_exports,status_goods_services_exports,status_goods_services_two_way,publicly_reported_onset,public_apparent_metric,any_services_export_change,any_two_way_change,any_change_from_goods_exports
CHL,Chile,2007,2008,2009,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,TRUE,TRUE,TRUE
CIV,Côte d'Ivoire,,,2022,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
CUB,Cuba,2005,2006,2006,left_censored_china_rank1_in_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,TRUE,TRUE,TRUE
DEU,Germany,,,2021,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
DJI,Djibouti,,,2010,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
EGY,Egypt,,,2015,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
ERI,Eritrea,2014,2014,2013,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
ETH,Ethiopia,2009,2014,2007,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,TRUE,TRUE,TRUE
GAB,Gabon,2017,2015,2017,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,TRUE,FALSE,TRUE
GHA,Ghana,2019,2019,2013,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
GIN,Guinea,2019,2019,2010,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
GMB,Gambia,2011,2012,2012,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,TRUE,TRUE,TRUE
IDN,Indonesia,2013,2013,2011,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
IRN,Iran,2007,2007,2006,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
IRQ,Iraq,2014,2014,2013,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
JPN,Japan,2008,2009,2008,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,TRUE,FALSE,TRUE
KAZ,Kazakhstan,2007,2007,2010,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
KEN,Kenya,,,2011,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
KGZ,Kyrgyzstan,,,2016,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
KHM,Cambodia,,,2014,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
KWT,Kuwait,2018,2018,2017,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
LAO,Laos,2014,2014,,observed_first_rank1_after_2005,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,,,FALSE,TRUE,TRUE
LBN,Lebanon,,,2022,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
LBR,Liberia,2012,,2019,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,TRUE,TRUE,TRUE
LBY,Libya,,,2019,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
LKA,Sri Lanka,,,2020,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
MDG,Madagascar,,,2022,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
MDV,Maldives,,,2019,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
MHL,Marshall Islands,,,2018,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
MLI,Mali,2006,2006,,observed_first_rank1_after_2005,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,,,FALSE,TRUE,TRUE
MLT,Malta,2011,,,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,TRUE,TRUE,TRUE
MMR,Myanmar (Burma),2014,2014,2011,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
MOZ,Mozambique,2014,2014,,observed_first_rank1_after_2005,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,,,FALSE,TRUE,TRUE
MWI,Malawi,,2014,2019,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,TRUE,TRUE,TRUE
NER,Niger,,,2010,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
NGA,Nigeria,,,2020,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
NZL,New Zealand,2013,2014,2017,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,TRUE,TRUE,TRUE
PAK,Pakistan,,,2014,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
PAN,Panama,2021,2021,,observed_first_rank1_after_2005,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,,,FALSE,TRUE,TRUE
PER,Peru,2010,2010,2016,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
PHL,Philippines,2005,2005,2007,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,observed_first_rank1_after_2005,,,FALSE,TRUE,TRUE
