alternative_metric,metric_label,both_treated,goods_exports_only,alternative_only,neither_treated,jaccard_treated_country_years,both_ever,jaccard_ever_treated
goods_services_exports_rank,Bens + serviços: exportações,526,28,22,2818,0.9131944444444444,61,0.9384615384615385
goods_services_two_way_rank,Bens + serviços: two-way,463,91,237,2603,0.5853350189633375,54,0.574468085106383
