metric,metric_label,observed_entry_year,n_countries
goods_exports_rank,Bens: exportações,2006,3
goods_exports_rank,Bens: exportações,2007,4
goods_exports_rank,Bens: exportações,2008,4
goods_exports_rank,Bens: exportações,2009,5
goods_exports_rank,Bens: exportações,2010,2
goods_exports_rank,Bens: exportações,2011,4
goods_exports_rank,Bens: exportações,2012,5
goods_exports_rank,Bens: exportações,2013,6
goods_exports_rank,Bens: exportações,2014,5
goods_exports_rank,Bens: exportações,2015,1
goods_exports_rank,Bens: exportações,2017,1
goods_exports_rank,Bens: exportações,2018,3
goods_exports_rank,Bens: exportações,2019,3
goods_exports_rank,Bens: exportações,2020,1
goods_exports_rank,Bens: exportações,2021,4
goods_services_exports_rank,Bens + serviços: exportações,2006,4
goods_services_exports_rank,Bens + serviços: exportações,2007,3
goods_services_exports_rank,Bens + serviços: exportações,2008,3
goods_services_exports_rank,Bens + serviços: exportações,2009,5
goods_services_exports_rank,Bens + serviços: exportações,2010,2
goods_services_exports_rank,Bens + serviços: exportações,2011,2
goods_services_exports_rank,Bens + serviços: exportações,2012,5
goods_services_exports_rank,Bens + serviços: exportações,2013,5
goods_services_exports_rank,Bens + serviços: exportações,2014,8
goods_services_exports_rank,Bens + serviços: exportações,2015,1
goods_services_exports_rank,Bens + serviços: exportações,2018,3
goods_services_exports_rank,Bens + serviços: exportações,2019,3
goods_services_exports_rank,Bens + serviços: exportações,2020,2
goods_services_exports_rank,Bens + serviços: exportações,2021,3
goods_services_exports_rank,Bens + serviços: exportações,2022,1
goods_services_two_way_rank,Bens + serviços: two-way,2006,5
goods_services_two_way_rank,Bens + serviços: two-way,2007,4
goods_services_two_way_rank,Bens + serviços: two-way,2008,4
goods_services_two_way_rank,Bens + serviços: two-way,2009,4
goods_services_two_way_rank,Bens + serviços: two-way,2010,8
goods_services_two_way_rank,Bens + serviços: two-way,2011,5
goods_services_two_way_rank,Bens + serviços: two-way,2012,5
goods_services_two_way_rank,Bens + serviços: two-way,2013,7
goods_services_two_way_rank,Bens + serviços: two-way,2014,3
goods_services_two_way_rank,Bens + serviços: two-way,2015,3
goods_services_two_way_rank,Bens + serviços: two-way,2016,2
goods_services_two_way_rank,Bens + serviços: two-way,2017,6
goods_services_two_way_rank,Bens + serviços: two-way,2018,1
goods_services_two_way_rank,Bens + serviços: two-way,2019,6
goods_services_two_way_rank,Bens + serviços: two-way,2020,7
goods_services_two_way_rank,Bens + serviços: two-way,2021,2
goods_services_two_way_rank,Bens + serviços: two-way,2022,4
