rule,rule_label,formulation,formulation_label,iso3c,country_name,onset_year,timing_status,sample_scope,source,country_label,onset_label
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,original_main_covariate_model,"Paper: amostra estimada
bens exportações
absorvente",SLB,Solomon Islands,2003,Entrada observada,Amostra estimável original 1990-2020; tratamento absorvente do paper,Target object: china_top_fect_cov_data,Solomon Islands (SLB),2003
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,original_main_covariate_model,"Paper: amostra estimada
bens exportações
absorvente",PHL,Philippines,2005,Entrada observada,Amostra estimável original 1990-2020; tratamento absorvente do paper,Target object: china_top_fect_cov_data,Philippines (PHL),2005
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",CUB,Cuba,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Cuba (CUB),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",CUB,Cuba,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Cuba (CUB),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",GNQ,Equatorial Guinea,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Equatorial Guinea (GNQ),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",GNQ,Equatorial Guinea,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Equatorial Guinea (GNQ),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",GNQ,Equatorial Guinea,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Equatorial Guinea (GNQ),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",IRN,Iran,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Iran (IRN),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",MLI,Mali,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Mali (MLI),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",MLI,Mali,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Mali (MLI),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",MRT,Mauritania,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Mauritania (MRT),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",MRT,Mauritania,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Mauritania (MRT),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",MRT,Mauritania,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Mauritania (MRT),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",TGO,Togo,2006,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Togo (TGO),2006
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,original_main_covariate_model,"Paper: amostra estimada
bens exportações
absorvente",AGO,Angola,2007,Entrada observada,Amostra estimável original 1990-2020; tratamento absorvente do paper,Target object: china_top_fect_cov_data,Angola (AGO),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",AGO,Angola,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Angola (AGO),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",AGO,Angola,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Angola (AGO),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",AUS,Australia,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Australia (AUS),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",CHL,Chile,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Chile (CHL),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",ETH,Ethiopia,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Ethiopia (ETH),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",IRN,Iran,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Iran (IRN),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",IRN,Iran,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Iran (IRN),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",KAZ,Kazakhstan,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Kazakhstan (KAZ),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",KAZ,Kazakhstan,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Kazakhstan (KAZ),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",PHL,Philippines,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Philippines (PHL),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",VNM,Vietnam,2007,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Vietnam (VNM),2007
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",AGO,Angola,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Angola (AGO),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",BEN,Benin,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Benin (BEN),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,original_main_covariate_model,"Paper: amostra estimada
bens exportações
absorvente",CHL,Chile,2008,Entrada observada,Amostra estimável original 1990-2020; tratamento absorvente do paper,Target object: china_top_fect_cov_data,Chile (CHL),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",CHL,Chile,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Chile (CHL),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",COD,Congo - Kinshasa,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Congo - Kinshasa (COD),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",COD,Congo - Kinshasa,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Congo - Kinshasa (COD),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",COD,Congo - Kinshasa,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Congo - Kinshasa (COD),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",JPN,Japan,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Japan (JPN),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",JPN,Japan,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Japan (JPN),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",THA,Thailand,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Thailand (THA),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",THA,Thailand,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Thailand (THA),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",TUV,Tuvalu,2008,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Tuvalu (TUV),2008
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",AUS,Australia,2009,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Australia (AUS),2009
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",AUS,Australia,2009,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Australia (AUS),2009
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,original_main_covariate_model,"Paper: amostra estimada
bens exportações
absorvente",BRA,Brazil,2009,Entrada observada,Amostra estimável original 1990-2020; tratamento absorvente do paper,Target object: china_top_fect_cov_data,Brazil (BRA),2009
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_exports_rank,"Recalculado: bens
exportações
entrada observada",BRA,Brazil,2009,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Brazil (BRA),2009
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_exports_rank,"Recalculado: bens + serviços
exportações
entrada observada",BRA,Brazil,2009,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Brazil (BRA),2009
clean_risk_set,Clean risk set: exclui países já China #1 em 2005,goods_services_two_way_rank,"Recalculado: bens + serviços
two-way
entrada observada",CHL,Chile,2009,Entrada observada,Painel ITPD-E/BaTIS filtrado pela regra; entrada observada sem exigir absorção,CSV: alternative_cross_country_model_panel,Chile (CHL),2009
