metric,iso3c,country_name,year,partner_iso3,partner_name,value_musd,partner_rank,top_partner_iso3,top_partner_name,top_value_musd
goods_two_way_supplemental_public_metric_check,AUS,Australia,2005,JPN,Japan,38382.242322,1,JPN,Japan,38382.242322
goods_two_way_supplemental_public_metric_check,AUS,Australia,2005,CHN,China,32347.457087000003,2,JPN,Japan,38382.242322
goods_two_way_supplemental_public_metric_check,AUS,Australia,2005,USA,United States,24266.05413700001,3,JPN,Japan,38382.242322
goods_two_way_supplemental_public_metric_check,AUS,Australia,2006,JPN,Japan,41601.432746999984,1,JPN,Japan,41601.432746999984
goods_two_way_supplemental_public_metric_check,AUS,Australia,2006,CHN,China,38000.17941,2,JPN,Japan,41601.432746999984
goods_two_way_supplemental_public_metric_check,AUS,Australia,2006,USA,United States,27292.192829000003,3,JPN,Japan,41601.432746999984
goods_two_way_supplemental_public_metric_check,AUS,Australia,2007,CHN,China,50147.506202,1,CHN,China,50147.506202
goods_two_way_supplemental_public_metric_check,AUS,Australia,2007,JPN,Japan,46997.486622,2,CHN,China,50147.506202
goods_two_way_supplemental_public_metric_check,AUS,Australia,2007,USA,United States,29271.735719,3,CHN,China,50147.506202
goods_two_way_supplemental_public_metric_check,AUS,Australia,2008,CHN,China,67097.00104799999,1,CHN,China,67097.00104799999
goods_two_way_supplemental_public_metric_check,AUS,Australia,2008,JPN,Japan,65357.802425999995,2,CHN,China,67097.00104799999
goods_two_way_supplemental_public_metric_check,AUS,Australia,2008,USA,United States,34167.25034300001,3,CHN,China,67097.00104799999
goods_two_way_supplemental_public_metric_check,AUS,Australia,2009,CHN,China,66904.563162,1,CHN,China,66904.563162
goods_two_way_supplemental_public_metric_check,AUS,Australia,2009,JPN,Japan,48615.661731,2,CHN,China,66904.563162
goods_two_way_supplemental_public_metric_check,AUS,Australia,2009,USA,United States,26331.632625,3,CHN,China,66904.563162
goods_two_way_supplemental_public_metric_check,AUS,Australia,2010,CHN,China,95348.73051599998,1,CHN,China,95348.73051599998
goods_two_way_supplemental_public_metric_check,AUS,Australia,2010,JPN,Japan,62348.234344,2,CHN,China,95348.73051599998
goods_two_way_supplemental_public_metric_check,AUS,Australia,2010,USA,United States,30569.763761,3,CHN,China,95348.73051599998
goods_two_way_supplemental_public_metric_check,AUS,Australia,2011,CHN,China,121025.28833799998,1,CHN,China,121025.28833799998
goods_two_way_supplemental_public_metric_check,AUS,Australia,2011,JPN,Japan,75292.715038,2,CHN,China,121025.28833799998
goods_two_way_supplemental_public_metric_check,AUS,Australia,2011,USA,United States,36102.635486,3,CHN,China,121025.28833799998
goods_two_way_supplemental_public_metric_check,AUS,Australia,2012,CHN,China,123493.46381600005,1,CHN,China,123493.46381600005
goods_two_way_supplemental_public_metric_check,AUS,Australia,2012,JPN,Japan,76237.081443,2,CHN,China,123493.46381600005
goods_two_way_supplemental_public_metric_check,AUS,Australia,2012,USA,United States,37967.189444,3,CHN,China,123493.46381600005
goods_two_way_supplemental_public_metric_check,AUS,Australia,2013,CHN,China,136703.96504100005,1,CHN,China,136703.96504100005
goods_two_way_supplemental_public_metric_check,AUS,Australia,2013,JPN,Japan,69252.929162,2,CHN,China,136703.96504100005
goods_two_way_supplemental_public_metric_check,AUS,Australia,2013,USA,United States,32425.463812999995,3,CHN,China,136703.96504100005
goods_two_way_supplemental_public_metric_check,AUS,Australia,2014,CHN,China,135634.10372100002,1,CHN,China,135634.10372100002
goods_two_way_supplemental_public_metric_check,AUS,Australia,2014,JPN,Japan,63567.799586999994,2,CHN,China,135634.10372100002
goods_two_way_supplemental_public_metric_check,AUS,Australia,2014,USA,United States,33829.614841999995,3,CHN,China,135634.10372100002
goods_two_way_supplemental_public_metric_check,AUS,Australia,2015,CHN,China,119051.703977,1,CHN,China,119051.703977
goods_two_way_supplemental_public_metric_check,AUS,Australia,2015,JPN,Japan,49562.59663299999,2,CHN,China,119051.703977
goods_two_way_supplemental_public_metric_check,AUS,Australia,2015,USA,United States,32482.542143,3,CHN,China,119051.703977
goods_two_way_supplemental_public_metric_check,AUS,Australia,2016,CHN,China,114282.62444,1,CHN,China,114282.62444
goods_two_way_supplemental_public_metric_check,AUS,Australia,2016,JPN,Japan,44994.30357599999,2,CHN,China,114282.62444
goods_two_way_supplemental_public_metric_check,AUS,Australia,2016,USA,United States,30108.283072999995,3,CHN,China,114282.62444
goods_two_way_supplemental_public_metric_check,AUS,Australia,2017,CHN,China,144472.12055599998,1,CHN,China,144472.12055599998
goods_two_way_supplemental_public_metric_check,AUS,Australia,2017,JPN,Japan,55568.36581500001,2,CHN,China,144472.12055599998
goods_two_way_supplemental_public_metric_check,AUS,Australia,2017,USA,United States,32856.655305,4,CHN,China,144472.12055599998
goods_two_way_supplemental_public_metric_check,AUS,Australia,2018,CHN,China,162673.35797900002,1,CHN,China,162673.35797900002
goods_two_way_supplemental_public_metric_check,AUS,Australia,2018,JPN,Japan,63238.599507,2,CHN,China,162673.35797900002
goods_two_way_supplemental_public_metric_check,AUS,Australia,2018,USA,United States,33845.69171499999,3,CHN,China,162673.35797900002
goods_two_way_supplemental_public_metric_check,AUS,Australia,2019,CHN,China,176526.09307699997,1,CHN,China,176526.09307699997
goods_two_way_supplemental_public_metric_check,AUS,Australia,2019,JPN,Japan,61043.02435400001,2,CHN,China,176526.09307699997
goods_two_way_supplemental_public_metric_check,AUS,Australia,2019,USA,United States,36197.30286899999,3,CHN,China,176526.09307699997
goods_two_way_supplemental_public_metric_check,AUS,Australia,2020,CHN,China,177057.498079,1,CHN,China,177057.498079
goods_two_way_supplemental_public_metric_check,AUS,Australia,2020,JPN,Japan,48527.62199,2,CHN,China,177057.498079
goods_two_way_supplemental_public_metric_check,AUS,Australia,2020,USA,United States,38116.11151500001,3,CHN,China,177057.498079
goods_two_way_supplemental_public_metric_check,AUS,Australia,2021,CHN,China,235202.41986800008,1,CHN,China,235202.41986800008
goods_two_way_supplemental_public_metric_check,AUS,Australia,2021,JPN,Japan,68271.681284,2,CHN,China,235202.41986800008
goods_two_way_supplemental_public_metric_check,AUS,Australia,2021,USA,United States,37733.36714,4,CHN,China,235202.41986800008
goods_two_way_supplemental_public_metric_check,AUS,Australia,2022,CHN,China,222034.0208,1,CHN,China,222034.0208
goods_two_way_supplemental_public_metric_check,AUS,Australia,2022,JPN,Japan,104257.90699899994,2,CHN,China,222034.0208
goods_two_way_supplemental_public_metric_check,AUS,Australia,2022,USA,United States,43526.573567,4,CHN,China,222034.0208
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2005,USA,United States,38835.461234999995,1,USA,United States,38835.461234999995
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2005,CHN,China,15806.383738000004,3,USA,United States,38835.461234999995
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2005,JPN,Japan,7988.913645999999,5,USA,United States,38835.461234999995
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2006,USA,United States,42602.510059,1,USA,United States,42602.510059
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2006,CHN,China,21513.455609000004,2,USA,United States,42602.510059
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2006,JPN,Japan,9123.220977,5,USA,United States,42602.510059
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2007,USA,United States,46329.912672,1,USA,United States,46329.912672
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2007,CHN,China,32000.682039,2,USA,United States,46329.912672
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2007,JPN,Japan,10827.731655,5,USA,United States,46329.912672
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2008,USA,United States,58478.097544,1,USA,United States,58478.097544
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2008,CHN,China,51612.15782599998,2,USA,United States,58478.097544
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2008,JPN,Japan,16251.464267999998,5,USA,United States,58478.097544
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2009,CHN,China,45239.119216999985,1,CHN,China,45239.119216999985
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2009,USA,United States,41322.430389999994,2,CHN,China,45239.119216999985
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2009,JPN,Japan,11924.557345,5,CHN,China,45239.119216999985
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2010,CHN,China,66004.543211,1,CHN,China,66004.543211
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2010,USA,United States,52887.64484200001,2,CHN,China,66004.543211
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2010,JPN,Japan,17082.973995,5,CHN,China,66004.543211
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2011,CHN,China,87472.95997599998,1,CHN,China,87472.95997599998
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2011,USA,United States,67215.423311,2,CHN,China,87472.95997599998
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2011,JPN,Japan,20883.042241000003,5,CHN,China,87472.95997599998
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2012,CHN,China,88802.88852400001,1,CHN,China,88802.88852400001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2012,USA,United States,65444.959596999994,2,CHN,China,88802.88852400001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2012,JPN,Japan,19931.99576,5,CHN,China,88802.88852400001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2013,CHN,China,93957.38474,1,CHN,China,93957.38474
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2013,USA,United States,64411.77247700001,2,CHN,China,93957.38474
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2013,JPN,Japan,18484.995989000003,5,CHN,China,93957.38474
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2014,CHN,China,91059.235224,1,CHN,China,91059.235224
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2014,USA,United States,65572.85315900002,2,CHN,China,91059.235224
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2014,JPN,Japan,15810.218288,5,CHN,China,91059.235224
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2015,CHN,China,76159.00827600001,1,CHN,China,76159.00827600001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2015,USA,United States,53813.687307000015,2,CHN,China,76159.00827600001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2015,JPN,Japan,12582.906252,5,CHN,China,76159.00827600001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2016,CHN,China,70339.14918400001,1,CHN,China,70339.14918400001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2016,USA,United States,48685.03753800002,2,CHN,China,70339.14918400001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2016,JPN,Japan,10410.062905,5,CHN,China,70339.14918400001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2017,CHN,China,88013.36139600001,1,CHN,China,88013.36139600001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2017,USA,United States,56330.50968099998,2,CHN,China,88013.36139600001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2017,JPN,Japan,11376.413436,5,CHN,China,88013.36139600001
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2018,CHN,China,114320.28952,1,CHN,China,114320.28952
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2018,USA,United States,63152.30634699998,2,CHN,China,114320.28952
goods_two_way_supplemental_public_metric_check,BRA,Brazil,2018,JPN,Japan,11919.646494,5,CHN,China,114320.28952
