query_partner,act_id,date_celebration,year,subject,is_principal
Argentina,7510,2014-01-29,2014,"Direito, Justiça & Segurança Pública",True
Argentina,7464,2013-08-15,2013,Energia e Recursos Estratégicos,True
Argentina,7399,2012-12-10,2012,Consulares e Migratórios,True
Argentina,7384,2012-11-22,2012,"Agricultura, Pecuária e Pesca",True
Argentina,7385,2012-11-22,2012,Meio Ambiente e Sustentabilidade,True
Argentina,7386,2012-11-22,2012,Cooperação e Desenvolvimento,True
Argentina,7387,2012-11-22,2012,Cooperação e Desenvolvimento,True
Argentina,7388,2012-11-22,2012,Cooperação e Desenvolvimento,True
Argentina,7389,2012-11-22,2012,Energia e Recursos Estratégicos,True
Argentina,7390,2012-11-22,2012,"Agricultura, Pecuária e Pesca",True
Argentina,7044,2011-01-31,2011,"Fronteira, Infraestrutura e Integração Regional",True
Argentina,7045,2011-01-31,2011,Energia e Recursos Estratégicos,True
Argentina,7046,2011-01-31,2011,Cooperação e Desenvolvimento,True
Argentina,7047,2011-01-31,2011,"Fronteira, Infraestrutura e Integração Regional",True
Argentina,7048,2011-01-31,2011,Comércio Internacional e Investimentos,True
Argentina,7049,2011-01-31,2011,"Ciência, Tecnologia e Inovação",True
Argentina,7050,2011-01-31,2011,"Fronteira, Infraestrutura e Integração Regional",True
Argentina,7051,2011-01-31,2011,Cooperação e Desenvolvimento,True
Argentina,7052,2011-01-31,2011,Cooperação e Desenvolvimento,True
Argentina,6899,2010-08-03,2010,Energia e Recursos Estratégicos,True
Argentina,6900,2010-08-03,2010,Cooperação e Desenvolvimento,True
Argentina,6901,2010-08-03,2010,Cooperação e Desenvolvimento,True
Argentina,6559,2009-11-18,2009,Serviços e Transporte,True
Argentina,6560,2009-11-18,2009,"Trabalho, Saúde e Previdência",True
Argentina,6561,2009-11-18,2009,Cooperação e Desenvolvimento,True
Argentina,6564,2009-11-18,2009,Energia e Recursos Estratégicos,True
Argentina,6354,2009-04-23,2009,Cooperação e Desenvolvimento,True
Argentina,6221,2008-09-08,2008,"Economia, Finanças e Tributos",True
Argentina,6222,2008-09-08,2008,Cooperação e Desenvolvimento,True
Argentina,6223,2008-09-08,2008,Cooperação e Desenvolvimento,True
Argentina,6224,2008-09-08,2008,Energia e Recursos Estratégicos,True
Argentina,6042,2008-02-22,2008,Cooperação e Desenvolvimento,True
Argentina,6032,2008-02-21,2008,Serviços e Transporte,True
Argentina,6033,2008-02-21,2008,Meio Ambiente e Sustentabilidade,True
Argentina,6034,2008-02-21,2008,Educação e Cultura,True
Argentina,6035,2008-02-21,2008,"Ciência, Tecnologia e Inovação",True
Argentina,6036,2008-02-21,2008,"Ciência, Tecnologia e Inovação",True
Argentina,6037,2008-02-21,2008,"Agricultura, Pecuária e Pesca",True
Argentina,6038,2008-02-21,2008,"Trabalho, Saúde e Previdência",True
Argentina,6039,2008-02-21,2008,"Fronteira, Infraestrutura e Integração Regional",True
Argentina,6040,2008-02-21,2008,Energia e Recursos Estratégicos,True
Argentina,6041,2008-02-21,2008,Energia e Recursos Estratégicos,True
Argentina,5984,2007-12-07,2007,"Fronteira, Infraestrutura e Integração Regional",True
Argentina,5824,2007-05-16,2007,"Economia, Finanças e Tributos",True
Argentina,5730,2006-11-30,2006,"Agricultura, Pecuária e Pesca",True
Argentina,5657,2006-07-19,2006,Cooperação e Desenvolvimento,True
Argentina,5620,2006-05-23,2006,Cooperação e Desenvolvimento,True
Argentina,5496,2005-11-30,2005,Cooperação e Desenvolvimento,True
Argentina,5497,2005-11-30,2005,Energia e Recursos Estratégicos,True
Argentina,5498,2005-11-30,2005,Energia e Recursos Estratégicos,True
Argentina,5499,2005-11-30,2005,Energia e Recursos Estratégicos,True
Argentina,5500,2005-11-30,2005,Meio Ambiente e Sustentabilidade,True
Argentina,5501,2005-11-30,2005,Comércio Internacional e Investimentos,True
Argentina,5502,2005-11-30,2005,Consulares e Migratórios,True
Argentina,5503,2005-11-30,2005,Consulares e Migratórios,True
Argentina,5504,2005-11-30,2005,Consulares e Migratórios,True
Argentina,5505,2005-11-30,2005,"Fronteira, Infraestrutura e Integração Regional",True
Argentina,5506,2005-11-30,2005,"Direito, Justiça & Segurança Pública",True
Argentina,5507,2005-11-30,2005,Defesa e Segurança,True
Argentina,5508,2005-11-30,2005,Defesa e Segurança,True
Argentina,5509,2005-11-30,2005,"Fronteira, Infraestrutura e Integração Regional",True
Argentina,5510,2005-11-30,2005,Cooperação e Desenvolvimento,True
Argentina,5511,2005-11-30,2005,"Trabalho, Saúde e Previdência",True
Argentina,5512,2005-11-30,2005,Energia e Recursos Estratégicos,True
Argentina,5520,2005-11-30,2005,"Agricultura, Pecuária e Pesca",True
Argentina,5425,2005-08-22,2005,"Trabalho, Saúde e Previdência",True
Argentina,5332,2005-02-18,2005,Cooperação e Desenvolvimento,True
Argentina,5165,2004-04-30,2004,"Direito, Justiça & Segurança Pública",True
Argentina,5036,2003-10-16,2003,Cooperação e Desenvolvimento,True
Argentina,5037,2003-10-16,2003,Energia e Recursos Estratégicos,True
Argentina,5038,2003-10-16,2003,"Economia, Finanças e Tributos",True
Argentina,5039,2003-10-16,2003,"Direito, Justiça & Segurança Pública",True
Argentina,5040,2003-10-16,2003,Comércio Internacional e Investimentos,True
Argentina,5041,2003-10-16,2003,Consulares e Migratórios,True
Argentina,5042,2003-10-16,2003,Cooperação e Desenvolvimento,True
Argentina,5043,2003-10-16,2003,"Direito, Justiça & Segurança Pública",True
Argentina,4998,2003-08-15,2003,Cooperação e Desenvolvimento,True
Argentina,4992,2003-07-30,2003,Cooperação e Desenvolvimento,True
Argentina,4960,2003-04-11,2003,Cooperação e Desenvolvimento,True
Argentina,4938,2002-12-09,2002,Defesa e Segurança,True
Argentina,4936,2002-12-02,2002,Relações Diplomáticas e Consulares,True
Argentina,4870,2002-07-05,2002,Cooperação e Desenvolvimento,True
