partner,year,raw_acts,distinct_dates,strategic_instrument,acts_in_packages,max_package_size,package_share,top_date_share,revision_share,distinct_subjects,post_2009,group
China,2000,2,2,0,0,1,0,0.5,0.5,2,FALSE,Tratada
China,2001,1,1,0,0,1,0,1,0,1,FALSE,Tratada
China,2002,2,2,0,0,1,0,0.5,0,2,FALSE,Tratada
China,2003,1,1,0,0,1,0,1,0,1,FALSE,Tratada
China,2004,19,2,1,19,11,1,0.5789473684210527,0.10526315789473684,8,FALSE,Tratada
China,2005,1,1,0,0,1,0,1,0,1,FALSE,Tratada
China,2006,3,2,1,2,2,0.6666666666666666,0.6666666666666666,0,2,FALSE,Tratada
China,2007,0,0,0,0,0,0,0,0,0,FALSE,Tratada
China,2008,0,0,0,0,0,0,0,0,0,FALSE,Tratada
China,2009,4,2,1,3,3,0.75,0.75,0,3,TRUE,Tratada
China,2010,4,3,1,2,2,0.5,0.5,0,4,TRUE,Tratada
China,2011,2,1,0,2,2,1,1,0,2,TRUE,Tratada
China,2012,3,1,1,3,3,1,1,0,3,TRUE,Tratada
China,2013,0,0,0,0,0,0,0,0,0,TRUE,Tratada
China,2014,2,1,0,2,2,1,1,0.5,2,TRUE,Tratada
Índia,2000,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
Índia,2001,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
Índia,2002,2,2,0,0,1,0,0.5,0,2,FALSE,Doador prioritário
Índia,2003,1,1,0,0,1,0,1,0,1,FALSE,Doador prioritário
Índia,2004,4,1,0,4,4,1,1,0,4,FALSE,Doador prioritário
Índia,2005,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
Índia,2006,7,3,0,6,4,0.8571428571428571,0.5714285714285714,0.2857142857142857,5,FALSE,Doador prioritário
Índia,2007,4,3,0,2,2,0.5,0.5,0,4,FALSE,Doador prioritário
Índia,2008,7,2,0,7,4,1,0.5714285714285714,0,4,FALSE,Doador prioritário
Índia,2009,0,0,0,0,0,0,0,0,0,TRUE,Doador prioritário
Índia,2010,0,0,0,0,0,0,0,0,0,TRUE,Doador prioritário
Índia,2011,1,1,0,0,1,0,1,1,1,TRUE,Doador prioritário
Índia,2012,4,1,0,4,4,1,1,0,3,TRUE,Doador prioritário
Índia,2013,2,1,0,2,2,1,1,0.5,2,TRUE,Doador prioritário
Índia,2014,3,1,0,3,3,1,1,0,3,TRUE,Doador prioritário
África do Sul,2000,3,2,0,2,2,0.6666666666666666,0.6666666666666666,0,1,FALSE,Doador prioritário
África do Sul,2001,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
África do Sul,2002,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
África do Sul,2003,4,2,0,3,3,0.75,0.75,0,4,FALSE,Doador prioritário
África do Sul,2004,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
África do Sul,2005,1,1,0,0,1,0,1,0,1,FALSE,Doador prioritário
África do Sul,2006,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
África do Sul,2007,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
África do Sul,2008,1,1,0,0,1,0,1,0,1,FALSE,Doador prioritário
África do Sul,2009,4,2,0,3,3,0.75,0.75,0,3,TRUE,Doador prioritário
África do Sul,2010,3,2,0,2,2,0.6666666666666666,0.6666666666666666,0,2,TRUE,Doador prioritário
África do Sul,2011,0,0,0,0,0,0,0,0,0,TRUE,Doador prioritário
África do Sul,2012,0,0,0,0,0,0,0,0,0,TRUE,Doador prioritário
África do Sul,2013,1,1,0,0,1,0,1,0,1,TRUE,Doador prioritário
África do Sul,2014,0,0,0,0,0,0,0,0,0,TRUE,Doador prioritário
México,2000,1,1,0,0,1,0,1,0,1,FALSE,Doador prioritário
México,2001,1,1,0,0,1,0,1,0,1,FALSE,Doador prioritário
México,2002,1,1,0,0,1,0,1,0,1,FALSE,Doador prioritário
México,2003,2,2,0,0,1,0,0.5,0,2,FALSE,Doador prioritário
México,2004,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
México,2005,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
México,2006,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
México,2007,4,3,0,2,2,0.5,0.5,0.25,4,FALSE,Doador prioritário
México,2008,0,0,0,0,0,0,0,0,0,FALSE,Doador prioritário
México,2009,19,2,0,18,18,0.9473684210526315,0.9473684210526315,0,3,TRUE,Doador prioritário
México,2010,1,1,0,0,1,0,1,0,1,TRUE,Doador prioritário
México,2011,1,1,0,0,1,0,1,0,1,TRUE,Doador prioritário
México,2012,12,2,0,11,11,0.9166666666666666,0.9166666666666666,0,3,TRUE,Doador prioritário
México,2013,0,0,0,0,0,0,0,0,0,TRUE,Doador prioritário
México,2014,0,0,0,0,0,0,0,0,0,TRUE,Doador prioritário
