outcome,brazil_estimate,brazil_rank_expected_direction,n_placebo_units,randomization_p_directional,randomization_p_two_sided,randomization_p_directional_strict_donor,randomization_p_two_sided_strict_donor,interpretation
closer_to_china_score,0.36053079286999684,6,95,0.06315789473684211,0.08421052631578947,0.05319148936170213,0.07446808510638298,Brazil is in the directional tail of the donor-placebo distribution.
distance_china_minus_usa,-0.36053079286999684,6,95,0.06315789473684211,0.08421052631578947,0.05319148936170213,0.07446808510638298,Brazil is in the directional tail of the donor-placebo distribution.
