theme_level,theme,year,period,n_resolutions,n_convergent,n_divergent,pct_convergent,mean_pct_same_as_brazil,median_pct_same_as_brazil,mean_pct_same_as_china,median_pct_same_as_china,mean_pct_same_as_both_when_convergent,median_pct_same_as_both_when_convergent,mean_pct_same_as_brazil_not_china_when_divergent,median_pct_same_as_brazil_not_china_when_divergent,mean_pct_same_as_china_not_brazil_when_divergent,median_pct_same_as_china_not_brazil_when_divergent,mean_support_gap_brazil_minus_china_pct,median_support_gap_brazil_minus_china_pct,mean_china_support_advantage_pct,median_china_support_advantage_pct,mean_abs_support_gap_pct,median_abs_support_gap_pct,mean_valid_electorate_n,median_valid_electorate_n,mean_comparison_electorate_n,median_comparison_electorate_n,pct_resolutions_china_more_majoritarian
familia_substantiva,Armas/desarmamento/nuclear,2005,pré-2009,25,20,5,80,81.61619049701119,93.75,77.68364436094586,92.85714285714286,89.36576398604014,94.15184678522573,50.617896540895416,51.49700598802395,30.955165860568766,14.970059880239521,3.9325461360653304,0,-3.9325461360653304,0,10.869383563856863,0,176.4,178,174.4,176,8
familia_substantiva,Armas/desarmamento/nuclear,2006,pré-2009,33,28,5,84.84848484848484,84.98425545590413,93.5672514619883,77.60486119655071,93.22033898305085,88.0050243657367,94.51796157059314,68.0679495608418,85.87570621468926,19.363947449109197,12.42603550295858,7.3793942593534245,0,-7.3793942593534245,0,10.547438336488408,0,176.6060606060606,178,174.6060606060606,176,3.0303030303030303
familia_substantiva,Armas/desarmamento/nuclear,2007,pré-2009,24,21,3,87.5,86.3819651242566,93.98613575136343,79.286578049982,93.98613575136343,88.99698350698962,94.79768786127168,68.07683644512542,64.80446927374301,11.313739850928565,7.909604519774011,7.095387074274609,0,-7.095387074274609,0,7.095387074274609,0,178.16666666666666,180,176.16666666666666,178,0
familia_substantiva,Armas/desarmamento/nuclear,2008,pré-2009,30,24,6,80,88.10417648610559,93.82022471910112,74.15793419843455,93.50102145045966,90.16917363555423,94.33314069222371,79.844187888311,83.31014223871367,10.112976449955783,9.84915378955114,13.946242287671042,0,-13.946242287671042,0,13.946242287671042,0,174.06666666666666,180,172.06666666666666,178,0
familia_substantiva,Armas/desarmamento/nuclear,2009,pós-2009,26,22,4,84.61538461538461,87.25796942223268,94.5739851735737,76.35087992029881,93.99595049149278,89.00350378188281,94.82741535920727,77.65753044415692,76.61515453639083,6.7614486815868045,6.273472453544953,10.907089501933864,0,-10.907089501933864,0,10.907089501933864,0,176.96153846153845,177,174.96153846153845,175,0
familia_substantiva,Armas/desarmamento/nuclear,2010,pós-2009,29,27,2,93.10344827586206,85.408493266757,93.88888888888889,80.57222144094624,93.88888888888889,85.94306668887555,94.47513812154696,78.19175206815656,78.19175206815656,8.065810593900482,8.065810593900482,4.836271825810765,0,-4.836271825810765,0,4.836271825810765,0,181.48275862068965,182,179.48275862068965,180,0
familia_substantiva,Armas/desarmamento/nuclear,2011,pós-2009,25,20,5,80,82.64955768971726,89.88764044943821,67.06721417747306,87.00564971751412,82.6389383095758,89.85907446200724,82.69203521028305,90.80459770114942,4.780317649062119,3.409090909090909,15.582343512244186,0,-15.582343512244186,0,15.582343512244186,0,177.76,178,175.76,176,0
familia_substantiva,Armas/desarmamento/nuclear,2012,pós-2009,28,22,6,78.57142857142857,84.12752995034225,88.61159546643418,68.34002550249573,86.64092664092664,84.16777628108406,89.03697653697654,83.97996007095563,86.47440392706872,10.304939314338553,10.624962870551892,15.787504447846517,0,-15.787504447846517,0,15.787504447846517,0,182.82142857142858,186,180.82142857142858,184,0
familia_substantiva,Descolonização,2005,pré-2009,10,9,1,90,86.98261435689491,95.66750208855473,77.78261435689492,94.10706252811516,86.0441746822642,95.90643274853801,95.42857142857143,95.42857142857143,3.4285714285714284,3.4285714285714284,9.199999999999998,0,-9.199999999999998,0,9.199999999999998,0,173.1,173,171.1,171,0
familia_substantiva,Descolonização,2006,pré-2009,15,14,1,93.33333333333333,89.9649636643417,94.56521739130434,83.90435760373563,94.56521739130434,89.65401951049597,95.88596065095943,94.31818181818181,94.31818181818181,3.409090909090909,3.409090909090909,6.060606060606059,0,-6.060606060606059,0,6.060606060606059,0,180.73333333333332,180,178.73333333333332,178,0
