case_id,theme,doc_symbol,year,country,vote,committee_record_symbol,committee_record_url,draft_symbols,speech_found_in_record,speech_found_for_case,relevance_rule,speaker_excerpt,source_note,date_accessed
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,Brazil,yes,A/C.3/62/SR.22,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.22&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,China,no,A/C.3/62/SR.22,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.22&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,TRUE,TRUE,mentions selected theme,"14. Ms. Zhang Dan (China) said that the imbalance
in geographical distribution among OHCHR staff
remained unresolved and called for increased
representation of developing countries and different
regions. It was hoped that OHCHR would exercise
objectivity and fairness in compiling information for
the universal periodic review. Further, as OHCHR had
increased its activities in various fields, she called for
OHCHR to brief Member States regularly on its use of
financial resources and progress made. Also, the
Human Rights Council should give greater policy
guidance to the Office’s operational work. Lastly,
OHCHR should give equal importance to civil and
political rights and to economic, social and cultural
rights.
15. Mr. Bollavaram (India) wondered what efforts
were being made to improve working methods and
asked for more information on the proposed unified
treaty body system. With regard…","Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,Brazil,yes,A/C.3/62/SR.23,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.23&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,TRUE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,China,no,A/C.3/62/SR.23,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.23&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,TRUE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,Brazil,yes,A/C.3/62/SR.27,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.27&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,China,no,A/C.3/62/SR.27,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.27&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,Brazil,yes,A/C.3/62/SR.29,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.29&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,China,no,A/C.3/62/SR.29,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.29&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,Brazil,yes,A/C.3/62/SR.33,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.33&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,China,no,A/C.3/62/SR.33,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.33&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,Brazil,yes,A/C.3/62/SR.42,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.42&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,China,no,A/C.3/62/SR.42,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.42&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,Brazil,yes,A/C.3/62/SR.49,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.49&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,TRUE,TRUE,mentions selected theme,"100. Ms. Ribeiro Viotti (Brazil) said that the
formation of the Human Rights Council had created an
enabling environment to address human rights through
dialogue. However, the lack of willingness on the part
of the Democratic People’s Republic of Korea to
engage in dialogue was worrying and warranted a clear
message. Her delegation had therefore voted in favour
of the revised draft resolution.
The meeting rose at 1 p.m.","Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,China,no,A/C.3/62/SR.49,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.49&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,TRUE,TRUE,mentions selected theme,"94. Ms. Zhang Dan (China) said that her country
opposed any country-specific resolutions designed to
exert pressure on developing countries, such as the
Democratic People’s Republic of Korea, which had
been taking steps to improve the situation. She hoped
that solutions could be found through dialogue and
cooperation.
95. Ms. Abdelhak (Algeria) said that her delegation
had voted against the revised draft resolution because
country-specific texts maintained a climate of
confrontation that was detrimental to human rights.A/C.3/62/SR.49
15 07-60481
The recently approved universal periodic review was
the most appropriate mechanism to examine human
rights.
96. Mr. Anshor (Indonesia) said that progress could
be achieved only through dialogue and cooperation on
the basis of mutual respect, and it was regrettable that
there had been no dialogue between the sponsors of the
draft resolution and…","Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,Brazil,yes,A/C.3/62/SR.50,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.50&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,TRUE,TRUE,mentions draft symbol,"88. Ms. Maierá (Brazil) said that, although her
delegation had abstained from voting, her country
noted with concern the human-rights situation in the
Islamic Republic of Iran, particularly with regard to
freedom of expression and opinion, violence and
discrimination against women, and the application of
cruel forms of punishment. Particularly disquieting was
the reported application of the death penalty to persons
under the age of 18, and discrimination against the
Bahá’í community, including arbitrary detentions,
imprisonment based on matters of conscience,
restrictions on the right to work and education, and
destruction of that community’s cultural legacy.
89. Brazil strongly supported consolidation of the
Human Rights Council as the main United Nations
body to promote and protect human rights by creating
an enabling environment to address human-rights
situations in a spirit of genui…","Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,China,no,A/C.3/62/SR.50,https://documents.un.org/api/symbol/access?l=en&s=A%2FC.3%2F62%2FSR.50&t=pdf,A/C.3/62/L.37; A/C.3/62/L.37/Rev.1; A/C.3/62/L.41; A/C.3/62/L.41/Rev.1; A/C.3/62/L.43; A/C.3/62/L.51; A/C.3/62/L.83,FALSE,FALSE,,,"Official Third Committee summary record, extracted from documents.un.org PDF.",2026-05-16
