case_id,theme,theme_display,case_family,pre_year,pre_doc_symbol,pre_vote_pair,pre_convergence,post_match_id,post_year,post_doc_symbol,post_vote_pair,post_convergence,transition,interpretation
N1,Country-specific human rights reports: DPRK,Direitos humanos: Coreia do Norte,negativo,2007,A/RES/62/167,BR sim / CHN não,divergente,1,2009,A/RES/64/175,BR abstenção / CHN não,divergente,divergência -> divergência,divergência persistente em resolução comparável
N1,Country-specific human rights reports: DPRK,Direitos humanos: Coreia do Norte,negativo,2007,A/RES/62/167,BR sim / CHN não,divergente,2,2011,A/RES/66/174,BR sim / CHN não,divergente,divergência -> divergência,divergência persistente em resolução comparável
N2,Country-specific human rights reports: Iran,Direitos humanos: Irã,negativo,2007,A/RES/62/168,BR abstenção / CHN não,divergente,1,2009,A/RES/64/176,BR abstenção / CHN não,divergente,divergência -> divergência,divergência persistente em resolução comparável
N2,Country-specific human rights reports: Iran,Direitos humanos: Irã,negativo,2007,A/RES/62/168,BR abstenção / CHN não,divergente,2,2011,A/RES/66/175,BR abstenção / CHN não,divergente,divergência -> divergência,divergência persistente em resolução comparável
N3,Reducing nuclear danger,Redução do perigo nuclear,negativo,2004,A/RES/59/79,BR sim / CHN abstenção,divergente,1,2009,A/RES/64/37,BR sim / CHN abstenção,divergente,divergência -> divergência,divergência persistente em resolução comparável
N3,Reducing nuclear danger,Redução do perigo nuclear,negativo,2004,A/RES/59/79,BR sim / CHN abstenção,divergente,2,2012,A/RES/67/45,BR sim / CHN abstenção,divergente,divergência -> divergência,divergência persistente em resolução comparável
N4,Moratorium on the death penalty,Moratória da pena de morte,negativo,2007,A/RES/62/149,BR sim / CHN não,divergente,1,2010,A/RES/65/206,BR sim / CHN não,divergente,divergência -> divergência,divergência persistente em resolução comparável
N4,Moratorium on the death penalty,Moratória da pena de morte,negativo,2007,A/RES/62/149,BR sim / CHN não,divergente,2,2012,A/RES/67/176,BR sim / CHN não,divergente,divergência -> divergência,divergência persistente em resolução comparável
P1,ICJ advisory opinion on nuclear weapons,Parecer da CIJ sobre armas nucleares,positivo,2008,A/RES/63/49,BR sim / CHN abstenção,divergente,1,2009,A/RES/64/55,BR sim / CHN sim,convergente,divergência -> convergência,aproximação em resolução comparável
P1,ICJ advisory opinion on nuclear weapons,Parecer da CIJ sobre armas nucleares,positivo,2008,A/RES/63/49,BR sim / CHN abstenção,divergente,2,2010,A/RES/65/76,BR sim / CHN sim,convergente,divergência -> convergência,aproximação em resolução comparável
P2,Globalization and human rights,Globalização e direitos humanos,positivo,2008,A/RES/63/176,BR abstenção / CHN sim,divergente,1,2010,A/RES/65/216,BR sim / CHN sim,convergente,divergência -> convergência,aproximação em resolução comparável
P2,Globalization and human rights,Globalização e direitos humanos,positivo,2008,A/RES/63/176,BR abstenção / CHN sim,divergente,2,2012,A/RES/67/165,BR sim / CHN sim,convergente,divergência -> convergência,aproximação em resolução comparável
P3,UN Human Rights Council reports,Relatórios do Conselho de Direitos Humanos,positivo,2008,A/RES/63/160,BR abstenção / CHN sim,divergente,1,2010,A/RES/65/195,BR sim / CHN sim,convergente,divergência -> convergência,aproximação em resolução comparável
P3,UN Human Rights Council reports,Relatórios do Conselho de Direitos Humanos,positivo,2008,A/RES/63/160,BR abstenção / CHN sim,divergente,2,2011,A/RES/66/136,BR sim / CHN sim,convergente,divergência -> convergência,aproximação em resolução comparável
