case_id,theme,doc_symbol,year,country,title,url,local_path,text_path,excerpt,date_accessed
N1,Country-specific human rights reports: DPRK,A/RES/64/175,2009,China,"Statement by Ms. ZHANG Dan, Counselor of the Chinese Delegation, at the 3rd Committee of the 64th Session of the General Assembly on Explanation of Vote before the Vote on Draft Resolution L.35 (Situation of human rights in DPRK)（2009-11-19）",https://un.china-mission.gov.cn/eng/chinaandun/socialhr/rqwt/200911/t20091120_8418000.htm,data/raw/un_docs/mission_statements/china_statement_ad152af04763.html,data/processed/un_docs/text/china_statement_ad152af04763.txt,"Statement by Ms. ZHANG Dan, Counselor of the Chinese Delegation, at the 3rd Committee of the 64th Session of the General Assembly on Explanation of Vote before the Vote on Draft Resolution L.35 (Situation of human rights in DPRK)_Permanent Mission of the People's Republic of China to the UN 中文 Home About the Mission Ambassador FU Cong, PR Ambassador GENG Shuang, DPR Welcoming Message Sections of the Mission Contact Us China & UN High-level Exchanges Highlights of the Security Council Economic Affairs and Development Social Development and Human Rights Political Issues of the General Assembly…",2026-05-16
P3,UN Human Rights Council reports,A/RES/63/160,2008,China,"Statement by Mr. GUO Jiakun, Adviser of the Chinese Delegation to the 63rd Session of the General Assembly, at the Third Committee under agenda item on the Report of the Human Rights Council（2008-10-31）",https://un.china-mission.gov.cn/eng/chinaandun/socialhr/rqwt/200811/t20081103_8417988.htm,data/raw/un_docs/mission_statements/china_statement_1a5fef4cc501.html,data/processed/un_docs/text/china_statement_1a5fef4cc501.txt,"Statement by Mr. GUO Jiakun, Adviser of the Chinese Delegation to the 63rd Session of the General Assembly, at the Third Committee under agenda item on the Report of the Human Rights Council_Permanent Mission of the People's Republic of China to the UN 中文 Home About the Mission Ambassador FU Cong, PR Ambassador GENG Shuang, DPR Welcoming Message Sections of the Mission Contact Us China & UN High-level Exchanges Highlights of the Security Council Economic Affairs and Development Social Development and Human Rights Political Issues of the General Assembly Arms Control and Disarmament Legal Affa…",2026-05-16
P3,UN Human Rights Council reports,A/RES/63/160,2008,China,"Statement by Ms. Zhang Dan, Counsellor of the Chinese Delegation, at the 3rd Committee of the 63rd Session of the General Assembly, on the Report of the Human Rights Council（2008-10-30）",https://un.china-mission.gov.cn/eng/chinaandun/socialhr/rqwt/200811/t20081106_8417989.htm,data/raw/un_docs/mission_statements/china_statement_f29d2cec0a1a.html,data/processed/un_docs/text/china_statement_f29d2cec0a1a.txt,"Statement by Ms. Zhang Dan, Counsellor of the Chinese Delegation, at the 3rd Committee of the 63rd Session of the General Assembly, on the Report of the Human Rights Council_Permanent Mission of the People's Republic of China to the UN 中文 Home About the Mission Ambassador FU Cong, PR Ambassador GENG Shuang, DPR Welcoming Message Sections of the Mission Contact Us China & UN High-level Exchanges Highlights of the Security Council Economic Affairs and Development Social Development and Human Rights Political Issues of the General Assembly Arms Control and Disarmament Legal Affairs and Treaties…",2026-05-16
P3,UN Human Rights Council reports,A/RES/66/136,2011,China,"Statement by LI Xiaomei, Representative of the Chinese Delegation, after Adoption of Resolution on Review of the Status of the Human Rights Council by the 65th Session of the General Assembly（2011-06-18）",https://un.china-mission.gov.cn/eng/chinaandun/socialhr/rqwt/201106/t20110618_8418005.htm,data/raw/un_docs/mission_statements/china_statement_81749825e296.html,data/processed/un_docs/text/china_statement_81749825e296.txt,"Statement by LI Xiaomei, Representative of the Chinese Delegation, after Adoption of Resolution on Review of the Status of the Human Rights Council by the 65th Session of the General Assembly_Permanent Mission of the People's Republic of China to the UN 中文 Home About the Mission Ambassador FU Cong, PR Ambassador GENG Shuang, DPR Welcoming Message Sections of the Mission Contact Us China & UN High-level Exchanges Highlights of the Security Council Economic Affairs and Development Social Development and Human Rights Political Issues of the General Assembly Arms Control and Disarmament Legal Aff…",2026-05-16
