meeting_symbol,meeting_pdf_path,meeting_url,download_status
A/59/PV.66,data/raw/un_docs/meeting_records/A_59_PV_66.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F59%2FPV.66&t=pdf,downloaded
A/62/PV.76,data/raw/un_docs/meeting_records/A_62_PV_76.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F62%2FPV.76&t=pdf,downloaded
A/63/PV.61,data/raw/un_docs/meeting_records/A_63_PV_61.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F63%2FPV.61&t=pdf,downloaded
A/63/PV.70,data/raw/un_docs/meeting_records/A_63_PV_70.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F63%2FPV.70&t=pdf,downloaded
A/64/PV.55,data/raw/un_docs/meeting_records/A_64_PV_55.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F64%2FPV.55&t=pdf,downloaded
A/64/PV.65,data/raw/un_docs/meeting_records/A_64_PV_65.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F64%2FPV.65&t=pdf,downloaded
A/65/PV.60,data/raw/un_docs/meeting_records/A_65_PV_60.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F65%2FPV.60&t=pdf,downloaded
A/65/PV.71,data/raw/un_docs/meeting_records/A_65_PV_71.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F65%2FPV.71&t=pdf,downloaded
A/66/PV.89,data/raw/un_docs/meeting_records/A_66_PV_89.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F66%2FPV.89&t=pdf,downloaded
A/67/PV.48,data/raw/un_docs/meeting_records/A_67_PV_48.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F67%2FPV.48&t=pdf,downloaded
A/67/PV.60,data/raw/un_docs/meeting_records/A_67_PV_60.pdf,https://documents.un.org/api/symbol/access?l=en&s=A%2F67%2FPV.60&t=pdf,downloaded
