sample_id,sample_label,anchor_id,anchor_label,anchor_type,period,n_resolution_anchor_rows,n_resolutions,n_years,mean_brazil_china_agreement,mean_brazil_anchor_agreement,mean_relative_agreement_china_minus_anchor,mean_brazil_china_similarity,mean_brazil_anchor_similarity,mean_relative_similarity_china_minus_anchor,n_anchor_ties_omitted,mean_anchor_valid_members
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,Post-2009,340,340,4,0.8558823529411764,0.9,-0.04411764705882353,0.9132352941176471,0.9485294117647058,-0.035294117647058885,0,2.985294117647059
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,Pre-2009,376,376,4,0.8111702127659575,0.8297872340425532,-0.018617021276595744,0.8856382978723405,0.9055851063829785,-0.019946808510638295,0,2.984042553191489
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,Post-2009,281,281,4,0.8790035587188612,0.900355871886121,-0.021352313167259787,0.9306049822064056,0.9483985765124555,-0.01779359430604977,0,2.6156583629893237
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,Pre-2009,291,291,4,0.8350515463917526,0.8144329896907216,0.020618556701030927,0.9037800687285223,0.8986254295532646,0.005154639175257747,0,2
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,Post-2009,354,354,4,0.847457627118644,0.9519774011299436,-0.10451977401129943,0.9096045197740112,0.9759887005649718,-0.06638418079096038,0,114.64971751412429
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,Pre-2009,394,394,4,0.8096446700507615,0.9111675126903553,-0.10152284263959391,0.884517766497462,0.9517766497461928,-0.06725888324873103,0,111.3248730964467
all_votes,All valid Brazil-China votes,india,India,individual,Post-2009,354,354,4,0.847457627118644,0.7598870056497176,0.08757062146892655,0.9096045197740112,0.8361581920903955,0.07344632768361578,0,1
all_votes,All valid Brazil-China votes,india,India,individual,Pre-2009,392,392,4,0.8086734693877551,0.7321428571428571,0.07653061224489796,0.8839285714285716,0.8252551020408164,0.058673469387755126,0,1
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,Post-2009,352,352,4,0.8494318181818182,0.9318181818181818,-0.08238636363636363,0.9105113636363636,0.9715909090909091,-0.06107954545454545,0,18.514204545454547
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,Pre-2009,391,391,4,0.8107416879795396,0.9053708439897699,-0.09462915601023018,0.884910485933504,0.9571611253196931,-0.0722506393861894,0,18.352941176470587
all_votes,All valid Brazil-China votes,russia,Russia,individual,Post-2009,352,352,4,0.8465909090909091,0.71875,0.1278409090909091,0.909090909090909,0.8366477272727272,0.07244318181818188,0,1
all_votes,All valid Brazil-China votes,russia,Russia,individual,Pre-2009,391,391,4,0.8132992327365729,0.6930946291560103,0.12020460358056266,0.8861892583120203,0.823529411764706,0.0626598465473146,0,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,Post-2009,349,349,4,0.8452722063037249,0.9312320916905444,-0.08595988538681948,0.9083094555873924,0.9613180515759312,-0.05300859598853867,0,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,Pre-2009,391,391,4,0.8107416879795396,0.887468030690537,-0.07672634271099744,0.884910485933504,0.9411764705882352,-0.056265984654731455,0,1
all_votes,All valid Brazil-China votes,united_states,United States,individual,Post-2009,351,351,4,0.8461538461538461,0.28774928774928776,0.5584045584045584,0.908831908831909,0.3874643874643876,0.5213675213675214,0,1
all_votes,All valid Brazil-China votes,united_states,United States,individual,Pre-2009,393,393,4,0.8091603053435115,0.1450381679389313,0.6641221374045801,0.8842239185750637,0.24300254452926198,0.6412213740458015,0,1
china_usa_divergent,China-U.S. divergent votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,Post-2009,253,253,4,0.8379446640316206,0.8774703557312253,-0.039525691699604744,0.9051383399209485,0.9367588932806324,-0.03162055335968388,0,2.992094861660079
china_usa_divergent,China-U.S. divergent votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,Pre-2009,330,330,4,0.803030303030303,0.8090909090909091,-0.006060606060606061,0.8833333333333334,0.893939393939394,-0.01060606060606061,0,2.984848484848485
china_usa_divergent,China-U.S. divergent votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,Post-2009,208,208,4,0.8605769230769231,0.8798076923076923,-0.019230769230769232,0.9206730769230771,0.9375,-0.016826923076923135,0,2.6009615384615383
china_usa_divergent,China-U.S. divergent votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,Pre-2009,256,256,4,0.82421875,0.7890625,0.03515625,0.8984375,0.884765625,0.013671875,0,2
china_usa_divergent,China-U.S. divergent votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,Post-2009,262,262,4,0.8244274809160306,0.9427480916030534,-0.1183206106870229,0.8988549618320609,0.9770992366412213,-0.07824427480916023,0,115.6030534351145
china_usa_divergent,China-U.S. divergent votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,Pre-2009,347,347,4,0.8011527377521613,0.9048991354466859,-0.1037463976945245,0.88184438040345825,0.9495677233429396,-0.06772334293948129,0,111.85590778097983
china_usa_divergent,China-U.S. divergent votes,india,India,individual,Post-2009,262,262,4,0.8244274809160306,0.8053435114503816,0.019083969465648856,0.8988549618320609,0.8797709923664122,0.019083969465648817,0,1
china_usa_divergent,China-U.S. divergent votes,india,India,individual,Pre-2009,345,345,4,0.8,0.7217391304347827,0.0782608695652174,0.88115942028985506,0.8231884057971015,0.057971014492753666,0,1
china_usa_divergent,China-U.S. divergent votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,Post-2009,260,260,4,0.8269230769230769,0.9153846153846154,-0.08846153846153847,0.9,0.9653846153846154,-0.0653846153846153,0,18.573076923076922
china_usa_divergent,China-U.S. divergent votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,Pre-2009,344,344,4,0.8023255813953488,0.8924418604651163,-0.09011627906976744,0.882267441860465,0.9513081395348837,-0.06904069767441859,0,18.3953488372093
china_usa_divergent,China-U.S. divergent votes,russia,Russia,individual,Post-2009,262,262,4,0.8244274809160306,0.6679389312977099,0.15648854961832062,0.8988549618320609,0.8034351145038169,0.0954198473282443,0,1
china_usa_divergent,China-U.S. divergent votes,russia,Russia,individual,Pre-2009,344,344,4,0.8052325581395349,0.6627906976744186,0.14244186046511628,0.8837209302325583,0.805232558139535,0.07848837209302328,0,1
china_usa_divergent,China-U.S. divergent votes,south_africa,South Africa,individual,Post-2009,258,258,4,0.8217054263565892,0.9341085271317829,-0.1124031007751938,0.8972868217054262,0.9670542635658915,-0.06976744186046505,0,1
china_usa_divergent,China-U.S. divergent votes,south_africa,South Africa,individual,Pre-2009,345,345,4,0.8028985507246377,0.8840579710144928,-0.08115942028985507,0.8826086956521739,0.9391304347826088,-0.056521739130434796,0,1
china_usa_divergent,China-U.S. divergent votes,united_states,United States,individual,Post-2009,262,262,4,0.8244274809160306,0.07633587786259542,0.7480916030534351,0.8988549618320609,0.200381679389313,0.698473282442748,0,1
china_usa_divergent,China-U.S. divergent votes,united_states,United States,individual,Pre-2009,347,347,4,0.8011527377521613,0.04899135446685879,0.7521613832853026,0.88184438040345825,0.1556195965417867,0.7262247838616714,0,1
china_usa_strong_divergent,China-U.S. strong yes-no divergent votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,Post-2009,187,187,4,0.8823529411764706,0.8983957219251337,-0.016042780748663103,0.9224598930481284,0.9491978609625669,-0.026737967914438457,0,2.9893048128342246
china_usa_strong_divergent,China-U.S. strong yes-no divergent votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,Pre-2009,270,270,4,0.8481481481481481,0.8185185185185185,0.02962962962962963,0.9037037037037038,0.8962962962962963,0.007407407407407411,0,2.988888888888889
china_usa_strong_divergent,China-U.S. strong yes-no divergent votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,Post-2009,155,155,4,0.9096774193548387,0.9032258064516129,0.0064516129032258064,0.9419354838709677,0.9516129032258065,-0.009677419354838675,0,2.5806451612903225
china_usa_strong_divergent,China-U.S. strong yes-no divergent votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,Pre-2009,212,212,4,0.8537735849056604,0.8113207547169812,0.04245283018867924,0.9127358490566038,0.8938679245283019,0.01886792452830189,0,2
