b,status,att_bsv_r2,att_dm_r1,att_dm_r2,diff_procedure,diff_common_r2
1,ok,-0.11467224847453017,-0.06928317945119619,-0.1376169562469504,0.04538906902333398,-0.02294470777242022
2,ok,-0.05540599673758571,0.08801729913062308,0.17671404114741104,0.1434232958682088,0.23212003788499674
3,ok,-0.07894966564266735,0.009866277808219255,-0.06118330487334812,0.08881594345088661,0.017766360769319235
4,ok,-0.10692797529511701,-0.033110626435804306,-0.07622659744219958,0.07381734885931271,0.030701377852917433
5,ok,-0.0933208548999354,0.02011995138515716,0.0013508612014151487,0.11344080628509257,0.09467171610135054
6,ok,-0.13341398894658213,-0.07530666222605087,-0.11162791081829725,0.05810732672053126,0.021786078128284883
7,ok,-0.09132546084140128,-0.045600258818665855,-0.09505890425517224,0.045725202022735424,-0.003733443413770965
8,ok,-0.04167091813520525,0.0033911539141279474,-0.02450021902450097,0.0450620720493332,0.01717069911070428
9,ok,-0.08884905553710284,-0.04264976276141884,-0.04410176325901534,0.046199292775684006,0.044747292278087505
10,ok,-0.10723835517677606,-0.041391449883724764,-0.09024321189539514,0.06584690529305129,0.016995143281380923
11,ok,-0.08407338753660351,0.0037317005255213054,-0.04392953397657418,0.08780508806212482,0.04014385356002933
12,ok,-0.04541925959592447,-0.0637702912743048,-0.02165684433590527,-0.01835103167838032,0.023762415260019203
13,ok,-0.05117728974749566,0.07639577374452391,-0.0025469861312435696,0.12757306349201958,0.04863030361625209
14,ok,-0.10658307176805544,-0.05543073711557578,-0.08608377955012828,0.05115233465247966,0.020499292217927165
15,ok,-0.07425218811376244,0.061804213911643376,-0.005822482357942067,0.1360564020254058,0.06842970575582037
16,ok,-0.062004344769623645,0.03638323262270276,-0.004118822818826907,0.0983875773923264,0.05788552195079674
17,ok,-0.10756618879829549,-0.14886630787507205,-0.05115810153181589,-0.041300119076776554,0.056408087266479605
18,ok,-0.08026740934944716,-0.058237080325853285,-0.09229421178421986,0.022030329023593878,-0.012026802434772693
19,ok,-0.11231631686424673,-0.08411048730917378,0.03577856812586763,0.028205829555072948,0.14809488499011436
20,ok,-0.16688036943702764,-0.12002709704163182,-0.1534024272454923,0.046853272395395815,0.013477942191535336
21,ok,-0.11374802828213182,-0.07311475965001163,-0.13400495899728967,0.04063326863212019,-0.020256930715157856
22,ok,-0.16475571435667147,-0.0175609597738152,-0.04728092247827147,0.14719475458285627,0.1174747918784
23,ok,-0.06087923916473702,-0.03915386095693779,0.01030882787729659,0.021725378207799226,0.0711880670420336
