contrast,observed_diff,boot_mean,boot_sd,ci_2_5,ci_97_5,p_two_sided_percentile,p_two_sided_normal,n_valid,n_failed
"UNGA-DM (r=1) minus BSV (r=2), procedure-selected",0.06850297260163345,0.06749600665029444,0.04431935413892514,-0.022246354566300044,0.14800995053430746,0.134,0.12218495944615944,1000,0
"UNGA-DM (r=2) minus BSV (r=2), common factors",0.03048273845341984,0.0380214302280283,0.04392845281973838,-0.044896739372287435,0.12879612014564773,0.356,0.4877337155907022,1000,0
