year,time_weight,time_weight_rank,high_time_weight
1997,0,8,FALSE
1998,0,8,FALSE
1999,0.009337984622492537,6,FALSE
2000,0.013880666518059139,5,FALSE
2001,0.04601232718017952,4,FALSE
2002,0.19786849004970697,3,TRUE
2003,0,8,FALSE
2004,0.005586516968971876,7,FALSE
2005,0,8,FALSE
2006,0,8,FALSE
2007,0.46516085274860575,1,TRUE
2008,0.26215316191198484,2,TRUE
