comparison_set,excluded_units,rank_one_sided_negative,rank_two_sided_absolute,denominator,p_rank_one_sided_negative,p_rank_two_sided_absolute
All valid assignments,,3,5,96,0.03125,0.052083333333333336
Exclude goods-only China-top donor assignments (harmonized: window criterion),,3,5,96,0.03125,0.052083333333333336
Exclude goods-only China-top donor assignments (legacy 5-year qualifying criterion; audit only),GAB;KWT,3,5,94,0.031914893617021274,0.05319148936170213
