group,year,mean_bsv,mean_dm
control,1990,0.680795862125,0.685435886841662
control,1991,0.71466338053,0.7254973121708861
control,1992,0.9419190112962963,0.877178257592704
control,1993,1.659193793877193,1.4790521469585123
control,1994,1.9006160572612611,1.7197089996121453
control,1995,1.7954586637105263,1.910248103940268
control,1996,1.5731963604434782,1.6903361608540044
control,1997,1.3954003156666668,1.5024296128266887
control,1998,0.7866062575625,0.9535148168318965
control,1999,0.8919809710701755,0.9905339674381344
control,2000,0.9529097076470588,1.2137700898421908
control,2001,0.8916807365932203,1.14413028063687
control,2002,0.8672937441774193,1.4583483261752541
control,2003,1.1064993689435483,1.2680124586912522
control,2004,1.009613221176,1.1762720684452284
control,2005,0.9137107428225807,1.086105321286984
control,2006,1.038975308528,1.055133952099434
control,2007,0.820637782864,0.8869518302141544
control,2008,0.84540945424,0.9494750762691277
control,2009,0.841516468,0.8777852893814405
control,2010,0.9774459004,1.0366887266180693
control,2011,0.92360121256,0.9583912595014397
control,2012,0.97379319112,1.0852086478591247
control,2013,0.7652031190399999,0.8920231677010921
control,2014,0.93090431336,0.9473164804986489
control,2015,0.745474068312,0.8415296560124651
control,2016,0.74832496272,1.0336792416701746
control,2017,0.73132539048,0.8520448617634209
control,2018,0.76544627648,1.0104377783646417
control,2019,0.708679820176,0.8640606458665775
control,2020,0.805722472288,1.2737244983791902
ever-treated,1990,0.58562324,0.5224737210133151
ever-treated,1991,0.6570874362068966,0.5650639372152569
ever-treated,1992,0.72952806553125,0.6487306186779461
ever-treated,1993,1.1162670606060607,0.9652421819488595
ever-treated,1994,1.346968648820588,1.2019809498034264
ever-treated,1995,1.2180917445714285,1.3118538963151039
ever-treated,1996,1.0281017158857142,1.1306385441650628
ever-treated,1997,0.9021592204,1.001852673122776
ever-treated,1998,0.5620160277142857,0.617077371935357
ever-treated,1999,0.5787954466764706,0.6257581132623657
ever-treated,2000,0.6022676014705882,0.7234618398676587
ever-treated,2001,0.5952524925714285,0.6637655402919693
ever-treated,2002,0.5901384452941176,0.8841609566945398
ever-treated,2003,0.67967459,0.7982686601724105
ever-treated,2004,0.6298405633333334,0.714197059607993
ever-treated,2005,0.5855490896969697,0.6611269865781816
ever-treated,2006,0.5602375760909091,0.6141063444839221
ever-treated,2007,0.5278837467058823,0.5809065633151697
ever-treated,2008,0.5121963701470588,0.589446544116831
ever-treated,2009,0.5273148511764706,0.5664609295185428
ever-treated,2010,0.5913370091176471,0.6406848750949882
ever-treated,2011,0.5064782347058824,0.584379632032569
ever-treated,2012,0.5744276197058823,0.6614464522762578
ever-treated,2013,0.5205248059375001,0.6016274865885806
ever-treated,2014,0.56998119,0.6195834815814972
ever-treated,2015,0.6472308727272728,0.5245090898955664
ever-treated,2016,0.46859530937500005,0.6026807264581795
ever-treated,2017,0.5013447278787879,0.4913599043224326
ever-treated,2018,0.49118649999999997,0.5752025534042884
ever-treated,2019,0.46923474531250003,0.4574591326671719
ever-treated,2020,0.4526887396666667,0.786394073765212
