file_id,original_filename,stored_filename,content_type,filesize,md5,sha256,publication_date,categories,description,download_url,relative_path
13402764,alt_LoanasT.R,13402764_alt_LoanasT.R,type/x-r-syntax,8864,8a6a21ab2a69c8950ea9e935ed3047b9,114fe071d63d513983a557aa2f5236680247d84bd03dca23cd3155415f4d1463,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13402764,data/raw/external/liu_pang_vreeland_2026/files/13402764_alt_LoanasT.R
13393235,BRI_2020.tab,13393235_BRI_2020.tab,text/tab-separated-values,5205,e358de977961535a52acf3abb8fc79aa,7430de5abb789d42bfdb8d3aa9e007f5e4c376ae79e6845a4264f1b60a9161eb,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13393235,data/raw/external/liu_pang_vreeland_2026/files/13393235_BRI_2020.tab
13378070,bsaNchina.csv,13378070_bsaNchina.csv,text/comma-separated-values,12443,c4230bbadb708b150785190a6b666391,2fea5d60fffcf1b6b6d40680cf1f819ebacd538644c5966580ed7dc7f8783b1f,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378070,data/raw/external/liu_pang_vreeland_2026/files/13378070_bsaNchina.csv
13378058,BSAupdate.RData,13378058_BSAupdate.RData,application/x-rlang-transport,2463251,596afd9ffe64d73d81ad1c8badabb3a2,d27809197d2b7a1565ed2e3f8a3fb110aeeb931810f652258e9b7a6a2034dbdb,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378058,data/raw/external/liu_pang_vreeland_2026/files/13378058_BSAupdate.RData
13378065,case_selection.R,13378065_case_selection.R,type/x-r-syntax,6279,1cdcd1cbfae67d466c97c66e9f42c316,d5d29ff86905dbfbf77be20a3acc5c5d6947b073d4630972e616f8343d62aeec,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378065,data/raw/external/liu_pang_vreeland_2026/files/13378065_case_selection.R
13378069,co_sponsorship.R,13378069_co_sponsorship.R,type/x-r-syntax,6693,fae680be161c3eac7eb8366b9a233fb2,ae0dfe8a3088b6d0a7c2210875c8317b4afb205f9ba5a3d71855654c72b2a782,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378069,data/raw/external/liu_pang_vreeland_2026/files/13378069_co_sponsorship.R
13378068,cosponsorship_data.RData,13378068_cosponsorship_data.RData,application/x-rlang-transport,2639018,d0682fa4fe607163d52669784a1a56da,58ecf7579a3644ba86de3c176de3a6ff0e45aefa398d83aefe392c8954bb1101,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378068,data/raw/external/liu_pang_vreeland_2026/files/13378068_cosponsorship_data.RData
13378062,currency_converted.RData,13378062_currency_converted.RData,application/x-rlang-transport,20024,9d1e1d4e4bdd3b3dc803e8d1e4f960e3,b6fc5dc4453110a0399d9288c21a04c04bab741be6642b140540c217af1d3c19,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378062,data/raw/external/liu_pang_vreeland_2026/files/13378062_currency_converted.RData
13378074,Data_SWAPNet_panel_202207.xlsx,13378074_Data_SWAPNet_panel_202207.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,164648,c64d439b578f2b4fb6b301430767ef28,36cfa92686286d07a3478e23b970c456842ae68398bd2254e96d1520fffc139a,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378074,data/raw/external/liu_pang_vreeland_2026/files/13378074_Data_SWAPNet_panel_202207.xlsx
13378071,IMF_program_data.csv,13378071_IMF_program_data.csv,text/comma-separated-values,26214,a648837d76199a661494f83700d90ce1,872ae347dcc93cd3766d7cdbb52d1abc84e07bba70e8631092390458d8bdf63b,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378071,data/raw/external/liu_pang_vreeland_2026/files/13378071_IMF_program_data.csv
13378061,ITT_confusion.csv,13378061_ITT_confusion.csv,text/comma-separated-values,1624,1261ffbc70a6853458be6fccce93463c,a6475a9ca1a3af7fc0affc0553a6d542f932dee1b262c29b16fca0b707bed5a6,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378061,data/raw/external/liu_pang_vreeland_2026/files/13378061_ITT_confusion.csv
13378073,loanasT_data.RData,13378073_loanasT_data.RData,application/x-rlang-transport,2244933,7165290b015e4d7e2e015ff4cc4b2fe5,d8384a8cc2469f50e9d1cae9f980e4f6dcf1d394d4dc1c9e14fe546739db0621,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378073,data/raw/external/liu_pang_vreeland_2026/files/13378073_loanasT_data.RData
13402763,MainCode.R,13402763_MainCode.R,type/x-r-syntax,21257,4b94ba9323085ac6709f7d4edf4571a3,14daed38dd32b9ab83d19d7a631ca805055fede6155223caea60af1c9805a3b6,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13402763,data/raw/external/liu_pang_vreeland_2026/files/13402763_MainCode.R
13378067,plot_function2.R,13378067_plot_function2.R,type/x-r-syntax,29943,fcd1d300be2f544088761dce045d391c,f1a02aded0b62a00acc2715bc2d735f812598771477df6ff7c337c8d25e410d4,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378067,data/raw/external/liu_pang_vreeland_2026/files/13378067_plot_function2.R
13393237,readme.txt,13393237_readme.txt,text/plain,2900,0a22802af56689a724a8e38813b86805,5ace4b14b65bca1296595726fa7eb4689f5ae586c0b2eda76f76edae2295692b,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13393237,data/raw/external/liu_pang_vreeland_2026/files/13393237_readme.txt
13378059,regression.R,13378059_regression.R,type/x-r-syntax,10142,08f0002080679bfc10f8c2602641f6f7,1524933b9bbf376d270ecd5cb20e863a3b5b79f759664039bf4a18ffa8a7fa4e,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378059,data/raw/external/liu_pang_vreeland_2026/files/13378059_regression.R
13378064,robustness_checks.R,13378064_robustness_checks.R,type/x-r-syntax,31383,a0c5005586eaa62f07f1c44391282051,f5b89e7002d32281ff7d33af442ec8a4d0d19edca67236d097f8272a74422745,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378064,data/raw/external/liu_pang_vreeland_2026/files/13378064_robustness_checks.R
13378072,summary_function.R,13378072_summary_function.R,type/x-r-syntax,9161,f73d3c5e8a40aee3bc8af12e25710379,b5e08f53c34794558974cb6a1bfc6b37d55fba487fb019250dea418df9c04122,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378072,data/raw/external/liu_pang_vreeland_2026/files/13378072_summary_function.R
13378066,visualization.R,13378066_visualization.R,type/x-r-syntax,3594,8a708a3c5314dca8eefec70d87dc9032,4085b85297ebf68b0943804391be6a27e9dfb2e78342e00a9b9e072922edc8aa,2026-02-27,,,https://dataverse.harvard.edu/api/access/datafile/13378066,data/raw/external/liu_pang_vreeland_2026/files/13378066_visualization.R
