iso3c,window_definition,entry_year,window_start,window_end,n_counted_public_cue_sources,n_publishers,broad_cue_salience,n_strict_m2_sources,strict_m2_evidence,source_ids
AUS,legacy_absorbing_audit,2010,2010,2011,1,1,medium,0,unresolved,aus_dfat_china_became_largest_export_market_2010
AUS,current_m2_min5,2009,2009,2010,2,2,high,0,unresolved,aus_afr_china_trading_partner_2009;aus_dfat_china_became_largest_export_market_2010
