iso3c,country_name_panel,year,abs_distance_china,country_name,cue_audit_entry_year,salience_code,display_name,country_label,period
CHL,Chile,2000,0.71022496,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Antes da entrada
CHL,Chile,2001,0.7222355,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Antes da entrada
CHL,Chile,2002,0.43262187,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Antes da entrada
CHL,Chile,2003,0.91516335,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Antes da entrada
CHL,Chile,2004,0.9442829,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Antes da entrada
CHL,Chile,2005,0.6834531300000001,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Antes da entrada
CHL,Chile,2006,0.841468356,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Antes da entrada
CHL,Chile,2007,0.62655028,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Antes da entrada
CHL,Chile,2008,0.654315685,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2009,0.53830287,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2010,0.7074399,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2011,0.6487881,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2012,0.5912183,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2013,0.3105272,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2014,0.5359572,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2015,0.095658000000000007,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2016,0.1979461,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2017,0.0176848,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2018,0.3878804,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2019,0.1387293,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2020,0.42576890000000006,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2021,0.12370109999999998,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2022,1.12083806,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
CHL,Chile,2023,0.81753593,Chile,2008,high,Chile,Chile (CHL; entrada 2008; cue high),Entrada e anos seguintes
BRA,Brazil,2000,0.7665536500000001,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Antes da entrada
BRA,Brazil,2001,0.57876749,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Antes da entrada
BRA,Brazil,2002,0.54315967,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Antes da entrada
BRA,Brazil,2003,0.88699711,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Antes da entrada
BRA,Brazil,2004,0.7644388,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Antes da entrada
BRA,Brazil,2005,0.5769612000000001,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Antes da entrada
BRA,Brazil,2006,0.7484159,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Antes da entrada
BRA,Brazil,2007,0.4232268,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Antes da entrada
BRA,Brazil,2008,0.4453566,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Antes da entrada
BRA,Brazil,2009,0.2687603,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2010,0.38309240000000006,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2011,0.22588580000000005,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2012,0.27516549999999995,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2013,0.10051470000000008,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2014,0.1619009,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2015,0.34131100000000003,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2016,0.06529859999999998,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2017,0.0798142,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2018,0.46226909,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2019,0.6599254999999999,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2020,0.9172405,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2021,0.4080059,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2022,1.2946154,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
BRA,Brazil,2023,0.48110090000000005,Brazil,2009,high,Brasil,Brasil (BRA; entrada 2009; cue high),Entrada e anos seguintes
AUS,Australia,2000,1.6577371,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
AUS,Australia,2001,1.6478793,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
AUS,Australia,2002,1.7369596,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
AUS,Australia,2003,2.2060312,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
AUS,Australia,2004,2.289749,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
AUS,Australia,2005,2.1754334,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
AUS,Australia,2006,2.4743911,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
AUS,Australia,2007,2.032488,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
AUS,Australia,2008,2.0957540999999997,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
AUS,Australia,2009,1.9030363,Australia,2010,unknown,Austrália,Austrália (AUS; entrada 2010; cue unknown),Antes da entrada
