iso3c,country,goods_entry_year,search_window,code,sources
CHL,Chile,2007,2008--2009,high,"main destination for Chilean shipments worldwide (Diario Financiero, Jan 2009); first trading partner and first destination for national exports (SUBREI / ProChile, Nov 2009)"
AUS,Australia,2009,2006--2007,high,"China is now Australia's second largest trading partner (ABC News, Jun 2006); China overtook the United States to become Australia's second-largest export destination in 2005 (Reserve Bank of Australia, Nov 2006); China has surpassed Japan as Australia's biggest trading partner (ABC News, May 2007); China has become Australia's biggest trading partner (Australian Financial Review, Jul 2007); Mainland China has become Australia's biggest trading partner, overtaking Japan (ABC News, Sep 2007)"
BRA,Brazil,2009,2009--2010,high,"largest trading partner (Agência Brasil, May 2009); largest Brazilian trading partner (Ministério das Relações Exteriores / FUNAG, May 2009)"
URY,Uruguay,2013,2013--2014,high,"main trading partner (Montevideo Portal, Sep 2013); main trade partner (MercoPress, Feb 2014)"
GAB,Gabon,2017,2017--2018,high,"China becomes Gabon's first trading partner in the first half of 2017 (Gabonreview, Nov 2017); China remains Gabon's first export client with 35 percent market share (L'Union, Jun 2018)"
QAT,Qatar,2021,2021--2022,medium,"Qatar’s largest trading partner (The Peninsula Qatar, Dec 2021)"
SLB,Solomon Islands,2003,2003--2004,unknown,None recovered in the window
PHL,Philippines,2005,2005--2006,unknown,None recovered in the window
AGO,Angola,2007,2007--2008,unknown,None recovered in the window
MYS,Malaysia,2009,2009--2010,unknown,None recovered in the window
SLE,Sierra Leone,2012,2012--2013,unknown,None recovered in the window
SAU,Saudi Arabia,2013,2013--2014,unknown,None recovered in the window
MMR,Myanmar (Burma),2014,2014--2015,unknown,None recovered in the window
KWT,Kuwait,2018,2018--2019,unknown,None recovered in the window
