salience_code,status,error_message,nboots,att,se,ci_lo,ci_hi,p,n_treated,n_control
high,ok,NA,20,-0.10902040848750856,0.032191490363786456,-0.17211572960053,-0.04592508737448711,7.07588154704769e-4,4,143
medium,skipped,"Insufficient support: treated = 1, controls = 143",20,NA,NA,NA,NA,NA,1,143
unknown,ok,NA,20,-0.08801030648215251,0.048393084684337694,-0.1828607524634544,0.00684013949914937,0.06896414089859072,9,143
