salience_code,event_time,n_countries,mean_abs_distance_china
high,-8,4,0.5364257825000001
high,-7,4,0.5861525525
high,-6,4,0.49045127
high,-5,4,0.5766515375
high,-4,4,0.5029718750000001
high,-3,4,0.6248413075
high,-2,4,0.515176364
high,-1,4,0.441060595
high,0,4,0.42865804625
high,1,4,0.40874514250000005
high,2,4,0.350874725
high,3,4,0.284696075
high,4,4,0.213607225
high,5,4,0.16281365000000003
high,6,4,0.22750740000000003
high,7,4,0.2681655425
high,8,4,0.12624751
medium,-8,1,0.44802110000000006
medium,-7,1,0.09795039999999999
medium,-6,1,0.7559252
medium,-5,1,0.3819226
medium,-4,1,0.2358284
medium,-3,1,0.17589109999999997
medium,-2,1,0.3881521
medium,-1,1,0.07563219999999993
medium,0,1,0.35098460000000004
medium,1,1,0.5546736
medium,2,1,0.1412044
unknown,-8,9,0.5939367444444444
unknown,-7,9,0.6353986222222222
unknown,-6,9,0.6647757
unknown,-5,9,0.5345421611111112
unknown,-4,9,0.5734280822222222
unknown,-3,9,0.5919209166666667
unknown,-2,9,0.5571833155555556
unknown,-1,9,0.5824387777777777
unknown,0,9,0.5809110111111111
unknown,1,9,0.5818301444444445
unknown,2,9,0.4711111155555555
unknown,3,9,0.4530024111111111
unknown,4,9,0.42742242222222226
unknown,5,9,0.35077872222222223
unknown,6,8,0.4632784375
unknown,7,7,0.46442582857142856
unknown,8,7,0.6563891571428572
