states	year	__	countryname	region
"___"	2017	"__"	"East Timor"	"Asia"
"______"	2015	"__"	"Uzbekistan"	"Asia"
"__"	2019	"__"	"Yemen"	"Asia"
"____"	2014	"__"	"Armenia"	"Asia"
"___"	2015	"__"	"Iraq"	"Asia"
"__"	2016	"__"	"Iran"	"Asia"
"___"	2014	"__"	"Qatar"	"Asia"
"_____"	2018	"__"	"Indonesia"	"Asia"
"______"	2014	"__"	"Kyrgyzstan"	"Asia"
"_____"	2014	"__"	"Kazakhstan"	"Asia"
"___"	2015	"__"	"Turkey"	"Asia"
"_____"	2015	"__"	"Tajikistan"	"Asia"
"____"	2016	"__"	"Bangladesh"	"Asia"
"___"	2017	"__"	"Nepal"	"Asia"
"____"	2017	"__"	"Pakistan"	"Asia"
"__"	2018	"__"	"Bahrain"	"Asia"
"__"	2017	"__"	"Brunei"	"Asia"
"____"	2014	"__"	"Sri Lanka"	"Asia"
"___"	2017	"__"	"Singapore"	"Asia"
"___"	2016	"__"	"Cambodia"	"Asia"
"____"	2015	"__"	"Georgia"	"Asia"
"_____"	2016	"__"	"Saudi Arabia"	"Asia"
"__"	2017	"__"	"Thailand"	"Asia"
"___"	2014	"__"	"Kuwait"	"Asia"
"__"	2017	"__"	"Myanmar"	"Asia"
"__"	2016	"__"	"Laos"	"Asia"
"___"	2018	"__"	"Philippines"	"Asia"
"__"	2017	"__"	"Mongolia"	"Asia"
"__"	2017	"__"	"Vietnam"	"Asia"
"____"	2015	"__"	"Azerbaijan"	"Asia"
"___"	2016	"__"	"Afghanistan"	"Asia"
"__"	2018	"__"	"Oman"	"Asia"
"___"	2018	"__"	"United Arab Emirates"	"Asia"
"__"	2015	"__"	"Korea"	"Asia"
"____"	2017	"__"	"Maldives"	"Asia"
"____"	2017	"__"	"Malaysia"	"Asia"
"___"	2017	"__"	"Lebanon"	"Asia"
"__"	2018	"___"	"Cuba"	"North America"
"_____"	2018	"___"	"Costa rica"	"North America"
"____"	2018	"___"	"Dominica"	"North America"
"____"	2018	"___"	"Dominican Republic�"	"North America"
"_______"	2018	"___"	"Antigua and Barbuda"	"North America"
"____"	2019	"___"	"Barbados"	"North America"
"___"	2017	"___"	"Panama"	"North America"
"____"	2018	"___"	"Grenada"	"North America"
"___"	2019	"___"	"Jamaica"	"North America"
"________"	2018	"___"	"Trinidad and Tobago"	"North America"
"____"	2018	"___"	"El Salvador"	"North America"
"___"	2018	"___"	"Uruguay"	"South America"
"____"	2018	"___"	"Ecuador"	"South America"
"___"	2018	"___"	"Guyana"	"South America"
"____"	2018	"___"	"Venezuela"	"South America"
"__"	2018	"___"	"Chile"	"South America"
"____"	2018	"___"	"Bolivia"	"South America"
"__"	2019	"___"	"Peru"	"South America"
"___"	2018	"___"	"Suriname"	"South America"
"____"	2020	"___"	"Kiribati"	"Ocean"
"________"	2018	"___"	"Federated States of Micronesia"	"Ocean"
"_______"	2018	"___"	"Papua New Guinea"	"Ocean"
"____"	2018	"___"	"Cook Islands"	"Ocean"
"_____"	2019	"___"	"Solomon Islands"	"Ocean"
"__"	2018	"___"	"Fiji"	"Ocean"
"___"	2017	"___"	"new Zealand"	"Ocean"
"__"	2018	"___"	"Tonga"	"Ocean"
"____"	2018	"___"	"Vanuatu"	"Ocean"
"__"	2018	"___"	"Niue"	"Ocean"
"___"	2018	"___"	"Samoa"	"Ocean"
"___"	2015	"__"	"Ukraine"	"Europe"
"___"	2015	"__"	"Russia"	"Europe"
"____"	2015	"__"	"Bulgaria"	"Europe"
"____"	2017	"__"	"Croatia"	"Europe"
"___"	2015	"__"	"Hungary"	"Europe"
"__________"	2015	"__"	"Northern Macedonia (formerly Macedonia)"	"Europe"
"___"	2019	"__"	"Luxembourg"	"Europe"
"____"	2015	"__"	"Serbia"	"Europe"
"____"	2019	"__"	"Cyprus"	"Europe"
"___"	2018	"__"	"Austria"	"Europe"
"__"	2018	"__"	"Greece"	"Europe"
"___"	2019	"__"	"Italy"	"Europe"
"____"	2016	"__"	"Latvia"	"Europe"
"__"	2015	"__"	"Czech Republic"	"Europe"
"____"	2014	"__"	"Moldova"	"Europe"
"____"	2015	"__"	"Slovakia"	"Europe"
"_____"	2017	"__"	"Slovenia"	"Europe"
"__"	2015	"__"	"Poland"	"Europe"
"__"	2017	"__"	"Bosnia and Herzegovina"	"Europe"
"____"	2017	"__"	"Estonia"	"Europe"
"____"	2014	"__"	"Belarus"	"Europe"
"___"	2017	"__"	"Lithuania"	"Europe"
"____"	2015	"__"	"Romania"	"Europe"
"___"	2018	"__"	"Portugal"	"Europe"
"_____"	2017	"__"	"Albania"	"Europe"
"___"	2018	"__"	"Malta"	"Europe"
"__"	2017	"__"	"Montenegro"	"Europe"
"___"	2018	"__"	"Uganda"	"Africa"
"__"	2018	"__"	"Chad"	"Africa"
"___"	2018	"__"	"Cape verde"	"Africa"
"___"	2018	"__"	"Gambia"	"Africa"
"___"	2018	"__"	"Guinea"	"Africa"
"___"	2018	"__"	"Republic of Congo"	"Africa"
"___"	2018	"__"	"Libya"	"Africa"
"____"	2019	"__"	"Liberia"	"Africa"
"__"	2018	"__"	"Ghana"	"Africa"
"__"	2018	"__"	"Gabon"	"Africa"
"___"	2018	"__"	"South Sudan"	"Africa"
"__"	2015	"__"	"South Africa"	"Africa"
"___"	2018	"__"	"Rwanda"	"Africa"
"___"	2018	"__"	"Djibouti"	"Africa"
"___"	2018	"__"	"Cameroon"	"Africa"
"____"	2018	"__"	"Tanzania"	"Africa"
"__"	2016	"__"	"Egypt"	"Africa"
"_____"	2018	"__"	"Ethiopia"	"Africa"
"____"	2018	"__"	"Senegal"	"Africa"
"____"	2018	"__"	"Sierra Leone"	"Africa"
"___"	2018	"__"	"Seychelles"	"Africa"
"__"	2018	"__"	"Togo"	"Africa"
"___"	2018	"__"	"Angola"	"Africa"
"____"	2018	"__"	"Nigeria"	"Africa"
"___"	2019	"__"	"Niger"	"Africa"
"___"	2018	"__"	"Burundi"	"Africa"
"___"	2017	"__"	"Morocco"	"Africa"
"_____"	2018	"__"	"Mauritania"	"Africa"
"____"	2018	"__"	"Zimbabwe"	"Africa"
"___"	2019	"__"	"Comoros"	"Africa"
"____"	2018	"__"	"Ivory Coast"	"Africa"
"___"	2018	"__"	"Tunisia"	"Africa"
"___"	2018	"__"	"Somalia"	"Africa"
"____"	2018	"__"	"Namibia"	"Africa"
"___"	2018	"__"	"Kenya"	"Africa"
"__"	2017	"__"	"Sudan"	"Africa"
"____"	2018	"__"	"Mozambique"	"Africa"
"___"	2019	"__"	"Lesotho"	"Africa"
"__"	2019	"__"	"Benin"	"Africa"
"___"	2018	"__"	"Zambia"	"Africa"
"_____"	2019	"__"	"Equatorial Guinea"	"Africa"
"_____"	2018	"__"	"Algeria"	"Africa"
"_____"	2017	"__"	"Madagascar"	"Africa"
"__"	2019	"__"	"Mali"	"Africa"
