,partner_A,ISO3_A,partner_B,ISO3_B,startyear,endyear,swap_Asize,swap_Bsize,ccode_A,ccode_B
1,United States,USA,European Central Bank,ECB,2008,2009,1100,NA,2,NA
2,United States,USA,European Central Bank,ECB,2009,2009,1100,NA,2,NA
3,United States,USA,European Central Bank,ECB,2009,2009,NA,800,2,NA
4,United States,USA,European Central Bank,ECB,2009,2010,1100,NA,2,NA
5,United States,USA,European Central Bank,ECB,2009,2010,NA,800,2,NA
6,United States,USA,European Central Bank,ECB,2010,2011,NA,NA,2,NA
7,United States,USA,European Central Bank,ECB,2011,2011,NA,NA,2,NA
8,United States,USA,European Central Bank,ECB,2011,2012,NA,NA,2,NA
9,United States,USA,European Central Bank,ECB,2012,2013,NA,NA,2,NA
10,United States,USA,European Central Bank,ECB,2013,2014,NA,NA,2,NA
11,United States,USA,European Central Bank,ECB,2011,2013,NA,NA,2,NA
12,United States,USA,European Central Bank,ECB,2013,2014,NA,NA,2,NA
13,United States,USA,European Central Bank,ECB,2013,NA,NA,NA,2,NA
14,United States,USA,United Kingdom,GBR,2008,2009,400,NA,2,200
15,United States,USA,United Kingdom,GBR,2009,2009,400,NA,2,200
16,United States,USA,United Kingdom,GBR,2009,2009,NA,300,2,200
17,United States,USA,United Kingdom,GBR,2009,2010,400,NA,2,200
18,United States,USA,United Kingdom,GBR,2009,2010,NA,300,2,200
19,United States,USA,United Kingdom,GBR,2010,2011,NA,NA,2,200
20,United States,USA,United Kingdom,GBR,2011,2011,NA,NA,2,200
21,United States,USA,United Kingdom,GBR,2011,2012,NA,NA,2,200
22,United States,USA,United Kingdom,GBR,2012,2013,NA,NA,2,200
23,United States,USA,United Kingdom,GBR,2013,2014,NA,NA,2,200
24,United States,USA,United Kingdom,GBR,2011,2013,NA,NA,2,200
25,United States,USA,United Kingdom,GBR,2013,2014,NA,NA,2,200
26,United States,USA,United Kingdom,GBR,2013,NA,NA,NA,2,200
27,United States,USA,Switzerland,CHE,2008,2009,270,NA,2,225
28,United States,USA,Switzerland,CHE,2009,2009,270,NA,2,225
29,United States,USA,Switzerland,CHE,2009,2009,NA,400,2,225
30,United States,USA,Switzerland,CHE,2009,2010,270,NA,2,225
31,United States,USA,Switzerland,CHE,2009,2010,NA,400,2,225
32,United States,USA,Switzerland,CHE,2010,2011,NA,NA,2,225
33,United States,USA,Switzerland,CHE,2011,2011,NA,NA,2,225
34,United States,USA,Switzerland,CHE,2011,2012,NA,NA,2,225
35,United States,USA,Switzerland,CHE,2012,2013,NA,NA,2,225
36,United States,USA,Switzerland,CHE,2013,2014,NA,NA,2,225
37,United States,USA,Switzerland,CHE,2011,2013,NA,NA,2,225
38,United States,USA,Switzerland,CHE,2013,2014,NA,NA,2,225
39,United States,USA,Switzerland,CHE,2013,NA,NA,NA,2,225
40,United States,USA,Japan,JPN,2008,2009,600,NA,2,740
41,United States,USA,Japan,JPN,2009,2009,NA,1.00E+05,2,740
42,United States,USA,Japan,JPN,2009,2010,NA,1.00E+05,2,740
43,United States,USA,Japan,JPN,2010,2011,NA,NA,2,740
44,United States,USA,Japan,JPN,2011,2011,NA,NA,2,740
45,United States,USA,Japan,JPN,2011,2012,NA,NA,2,740
46,United States,USA,Japan,JPN,2012,2013,NA,NA,2,740
47,United States,USA,Japan,JPN,2013,2014,NA,NA,2,740
48,United States,USA,Japan,JPN,2011,2013,NA,NA,2,740
49,United States,USA,Japan,JPN,2013,2014,NA,NA,2,740
50,United States,USA,Japan,JPN,2013,NA,NA,NA,2,740
51,United States,USA,Canada,CAN,2008,2009,100,NA,2,20
52,United States,USA,Canada,CAN,2009,2009,100,NA,2,20
53,United States,USA,Canada,CAN,2009,2010,100,NA,2,20
54,United States,USA,Canada,CAN,2010,2011,300,NA,2,20
55,United States,USA,Canada,CAN,2011,2011,300,NA,2,20
56,United States,USA,Canada,CAN,2011,2012,300,NA,2,20
57,United States,USA,Canada,CAN,2012,2012,300,NA,2,20
58,United States,USA,Canada,CAN,2013,2014,300,NA,2,20
59,United States,USA,Canada,CAN,2011,2013,NA,300,2,20
60,United States,USA,Canada,CAN,2013,2014,NA,300,2,20
61,United States,USA,Canada,CAN,2013,NA,NA,NA,2,20
62,United States,USA,Australia,AUS,2008,2009,100,NA,2,900
63,United States,USA,Australia,AUS,2009,2009,100,NA,2,900
64,United States,USA,Australia,AUS,2009,2010,100,NA,2,900
65,United States,USA,Australia,AUS,2020,NA,600,NA,2,900
66,United States,USA,Sweden,SWE,2008,2009,100,NA,2,380
67,United States,USA,Sweden,SWE,2009,2009,100,NA,2,380
68,United States,USA,Sweden,SWE,2009,2010,100,NA,2,380
69,United States,USA,Sweden,SWE,2020,NA,300,NA,2,380
70,United States,USA,Denmark,DNK,2008,2009,50,NA,2,390
71,United States,USA,Denmark,DNK,2009,2009,50,NA,2,390
72,United States,USA,Denmark,DNK,2009,2010,50,NA,2,390
73,United States,USA,Denmark,DNK,2020,NA,300,NA,2,390
74,United States,USA,Norway,NOR,2008,2009,50,NA,2,385
75,United States,USA,Norway,NOR,2009,2009,50,NA,2,385
76,United States,USA,Norway,NOR,2009,2010,50,NA,2,385
77,United States,USA,Norway,NOR,2020,NA,300,NA,2,385
78,United States,USA,New Zealand,NZL,2008,2009,150,NA,2,920
79,United States,USA,New Zealand,NZL,2009,2009,150,NA,2,920
80,United States,USA,New Zealand,NZL,2009,2010,150,NA,2,920
81,United States,USA,New Zealand,NZL,2020,NA,300,NA,2,920
82,United States,USA,Brazil,BRA,2008,2009,300,NA,2,140
83,United States,USA,Brazil,BRA,2009,2009,300,NA,2,140
84,United States,USA,Brazil,BRA,2009,2010,300,NA,2,140
85,United States,USA,Brazil,BRA,2020,NA,600,NA,2,140
86,United States,USA,Mexico,MEX,2008,2009,300,NA,2,70
87,United States,USA,Mexico,MEX,2009,2009,300,NA,2,70
88,United States,USA,Mexico,MEX,2009,2010,300,NA,2,70
89,United States,USA,Mexico,MEX,2020,NA,600,NA,2,70
90,United States,USA,South Korea,PRK,2008,2009,300,NA,2,731
91,United States,USA,South Korea,PRK,2009,2009,300,NA,2,731
92,United States,USA,South Korea,PRK,2009,2010,300,NA,2,731
93,United States,USA,South Korea,PRK,2020,2020,600,NA,2,731
94,United States,USA,Singapore,SGP,2008,2009,300,NA,2,830
95,United States,USA,Singapore,SGP,2009,2009,300,NA,2,830
96,United States,USA,Singapore,SGP,2009,2010,300,NA,2,830
97,United States,USA,Singapore,SGP,2020,2020,600,NA,2,830
98,United Kingdom,GBR,European Central Bank,ECB,2010,2011,100,NA,200,NA
99,United Kingdom,GBR,European Central Bank,ECB,2011,2012,100,NA,200,NA
100,United Kingdom,GBR,European Central Bank,ECB,2012,2013,100,NA,200,NA
101,United Kingdom,GBR,European Central Bank,ECB,2013,2014,100,NA,200,NA
102,United Kingdom,GBR,European Central Bank,ECB,2011,2013,NA,NA,200,NA
103,United Kingdom,GBR,European Central Bank,ECB,2013,2014,NA,NA,200,NA
104,United Kingdom,GBR,European Central Bank,ECB,2013,NA,NA,NA,200,NA
105,United Kingdom,GBR,Japan,JPN,2011,2013,NA,NA,200,740
106,United Kingdom,GBR,Japan,JPN,2013,2014,NA,NA,200,740
107,United Kingdom,GBR,Japan,JPN,2013,NA,NA,NA,200,740
108,United Kingdom,GBR,Switzerland,CHE,2011,2013,NA,NA,200,225
109,United Kingdom,GBR,Switzerland,CHE,2013,2014,NA,NA,200,225
110,United Kingdom,GBR,Switzerland,CHE,2013,NA,NA,NA,200,225
111,United Kingdom,GBR,Canada,CAN,2011,2013,NA,NA,200,20
112,United Kingdom,GBR,Canada,CAN,2013,2014,NA,NA,200,20
113,United Kingdom,GBR,Canada,CAN,2013,NA,NA,NA,200,20
114,European Central Bank,ECB,Canada,CAN,2011,2013,NA,NA,NA,20
