spec_id,comparison_rule,focal_cases,estimate,se_bootstrap,ci_95_low,ci_95_high,p_normal_two_sided,selected_factors,n_treated_units,n_never_treated_units,n_treated_country_years,bootstrap_replications,bootstrap_seed,elapsed_seconds,fect_version
gate_4case,clean_controls,AUS;BRA;CHL;URY,-0.08829252165811687,0.08330195300756046,-0.25156134939478336,0.07497630607854965,0.28918582630328526,0,4,105,55,1000,42,16.242,2.4.5
gate_4case,full_switching,AUS;BRA;CHL;URY,-0.004665148344485597,0.09397413169213627,-0.18885106193949672,0.17952076525052554,0.9604069601600009,1,4,152,55,1000,42,67.047,2.4.5
four_case_chl2007,clean_controls,AUS;BRA;CHL;URY,-0.08366614901084916,0.08098622703814094,-0.2423962372493893,0.07506393922769099,0.3015612758335003,0,4,105,56,1000,42,12.588999999999999,2.4.5
four_case_chl2007,full_switching,AUS;BRA;CHL;URY,0.0022682077999659628,0.09106732339337238,-0.17622046621950582,0.18075688181943772,0.9801291965358827,1,4,152,56,1000,42,66.53500000000001,2.4.5
seven_case,clean_controls,AUS;BRA;CHL;KOR;NZL;URY;ZAF,-0.045605449890077136,0.06352306390001278,-0.17010836732173862,0.07889746754158433,0.47279718148586947,0,7,105,99,1000,42,12.794000000000011,2.4.5
seven_case,full_switching,AUS;BRA;CHL;KOR;NZL;URY;ZAF,0.021218197824177276,0.06196184514822478,-0.10022478708199116,0.14266118273034573,0.7320199898869282,1,7,148,99,1000,42,68.63,2.4.5
