coding_source,coded_category,in_strict_universe,n_records
manual_pdf_first_page_or_full_text,BILATERAL_DISPUTE_NOT_COAUTHOR,0,9
manual_pdf_first_page_or_full_text,BILATERAL_OBJECTION_NOT_COAUTHOR,0,1
manual_pdf_first_page_or_full_text,BILATERAL_QUESTION_NOT_COAUTHOR,0,3
manual_pdf_first_page_or_full_text,BILATERAL_REPLY_NOT_COAUTHOR,0,1
manual_pdf_first_page_or_full_text,DISPUTE_ACTION,0,1
manual_pdf_first_page_or_full_text,FAMILY_ADDENDUM,1,2
manual_pdf_first_page_or_full_text,FORMAL_JOINT_LETTER,0,1
manual_pdf_first_page_or_full_text,FORMAL_JOINT_STATEMENT,0,3
manual_pdf_first_page_or_full_text,NEGOTIATION_SUBMISSION,1,24
manual_pdf_first_page_or_full_text,NEGOTIATION_SUBMISSION_REVISION,1,4
manual_pdf_first_page_or_full_text,THIRD_COUNTRY_QUESTIONS_NOT_COAUTHOR,0,5
manual_pdf_first_page_or_full_text,THIRD_PARTY_RESPONSE_NOT_COAUTHOR,0,1
title_rule_unvalidated,FORMAL_JOINT_STATEMENT,0,7
title_rule_unvalidated,NEGOTIATION_SUBMISSION,0,29
title_rule_unvalidated,NEGOTIATION_SUBMISSION,1,94
title_rule_unvalidated,RELATIONAL_OR_DISPUTE_EXCLUDED,0,46
title_rule_unvalidated,UNRESOLVED_TITLE_ROLE,0,11
