catalogue_id,symbol,family_root,revision_type,title,date,year,period_2009,window_2005_2012,body_label,topic,access,pages,languages_available,english_url,query_partners,authorship_segment_heuristic,author_countries_heuristic,formal_partners_heuristic,predicted_formal_coauthorship,heuristic_reason,raw_files,canonical_family,coding_source,coded_category,coded_authors,coded_partner_authors,authors_inferred_from_truncated_query,china_hong_kong_ambiguity,is_joint_document,in_strict_universe,in_broad_coordination_universe
95091,G/SCM/W/474,G/SCM/W/474,original_or_unspecified,Committee on Subsidies and Countervailing Measures - Implementation-Related Issues Referredto the Committee by Ministers - Questions from Australia to Brazil and India,2002-01-15,2002,pre,0,Committee on Subsidies and Countervailing Measures,defesa_comercial,Derestricted,2,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/SCM/W474.pdf&Open=True,IND,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json,G/SCM/W/474,manual_pdf_first_page_or_full_text,THIRD_COUNTRY_QUESTIONS_NOT_COAUTHOR,,,,,0,0,0
45895,G/AG/NG/W/38/Corr.1,G/AG/NG/W/38,corrigendum,"Committee on Agriculture - Special Session - Export Subsidies - Food Security or Food Dependency? - A Discussion Paper Presented by Argentina, Brazil, Paraguay and Uruguay (MERCOSUR), Chile, Bolivia and Costa Rica - Corrigendum",2001-12-11,2001,pre,0,Committee on Agriculture,agricultura,Unrestricted,1,English,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/AG/NGW38C1.pdf&Open=True,ARG,,,,0,no_formal_marker_in_title,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_argentina_2000_2014.json,G/AG/NG/W/38,title_rule_unvalidated,NEGOTIATION_SUBMISSION,ARG;BRA,ARG,,,1,1,1
47657,S/CSS/W/130,S/CSS/W/130,original_or_unspecified,"Council for Trade in Services - Special Session - Communication from Brazil, Colombia, Cuba, Ecuador, Dominican Republic, Guatemala, Honduras, Indonesia, Malaysia, Nicaragua, Pakistan, Panama, Paraguay, Peru, Philippines, Senegal, Uruguay and Venezuela - Autonomous Lib[...]zation and Developing Countries",2001-11-30,2001,pre,0,Council for Trade in Services,servicos,Derestricted,3,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/S/CSS/W130.pdf&Open=True,IDN,"Brazil, Colombia, Cuba, Ecuador, Dominican Republic, Guatemala, Honduras, Indonesia, Malaysia, Nicaragua, Pakistan, Panama, Paraguay, Peru, Philippines, Senegal, Uruguay and Venezuela",BRA;IDN,IDN,1,formal_marker:communication from,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json,S/CSS/W/130,title_rule_unvalidated,NEGOTIATION_SUBMISSION,BRA;IDN,IDN,,,1,1,1
41632,WT/DS241/2,WT/DS241/2,original_or_unspecified,Argentina - Definitive Anti-Dumping Duties on Poultry from Brazil - Request to Join Consultations - Communication from the European Communities,2001-11-22,2001,pre,0,Argentina,solucao_de_controversias,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/241-2.pdf&Open=True,ARG,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_argentina_2000_2014.json,WT/DS241/2,title_rule_unvalidated,RELATIONAL_OR_DISPUTE_EXCLUDED,,,,,0,0,0
70717,WT/DS217/6/Corr.1 ; WT/DS234/14/Corr.1,WT/DS217/6 ; WT/DS234/14,corrigendum,"United States - Continued Dumping and Subsidy Offset Act of 2000 - Constitution of the Panel Established at the Request of Australia, Brazil, Canada, Chile, the European Communities, India, Indonesia, Japan, Korea, Mexico and Thailand - Corrigendum",2001-11-12,2001,pre,0,United States,solucao_de_controversias,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/234-14C1.pdf&Open=True,IDN;IND;MEX,,,,0,no_formal_marker_in_title,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014_retry1.json,WT/DS217/6,title_rule_unvalidated,RELATIONAL_OR_DISPUTE_EXCLUDED,,,,,0,0,0
48572,G/ADP/D38/1 ; G/L/505 ; G/VAL/D/6 ; WT/DS241/1,G/ADP/D38/1 ; G/L/505 ; G/VAL/D/6 ; WT/DS241/1,original_or_unspecified,Argentina - Definitive Anti-Dumping Duties on Poultry from Brazil - Request for Consultations by Brazil,2001-11-12,2001,pre,0,Argentina,defesa_comercial,Unrestricted,2,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/VAL/D6.pdf&Open=True,ARG,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_argentina_2000_2014.json,G/ADP/D38/1,title_rule_unvalidated,RELATIONAL_OR_DISPUTE_EXCLUDED,,,,,0,0,0
70836,WT/DS217/6 ; WT/DS234/14,WT/DS217/6 ; WT/DS234/14,original_or_unspecified,"United States - Continued Dumping and Subsidy Offset Act of 2000 - Constitution of the Panel Established at the Request of Australia, Brazil, Canada, Chile, the European Communities, India, Indonesia, Japan, Korea, Mexico and Thailand - Note by the Secretariat",2001-11-05,2001,pre,0,United States,solucao_de_controversias,Unrestricted,2,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/234-14.pdf&Open=True,IDN;IND;MEX,,,,0,no_formal_marker_in_title,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014_retry1.json,WT/DS217/6,title_rule_unvalidated,RELATIONAL_OR_DISPUTE_EXCLUDED,,,,,0,0,0
82740,IP/C/W/312 ; WT/GC/W/450,IP/C/W/312 ; WT/GC/W/450,original_or_unspecified,"Council for Trade-Related Aspects of Intellectual Property Rights - General Council - Proposal by the African Group, Bangladesh, Barbados, Bolivia, Brazil, Cuba, Dominican Republic, Ecuador, Haiti, Honduras, India, Indonesia, Jamaica, Pakistan, Paraguay, Philippines, P[...]i Lanka, Thailand and Venezuela",2001-10-04,2001,pre,0,Council for Trade-Related Aspects of Intellectual Property Rights,trips_biodiversidade,Unrestricted,4,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/GC/W450.pdf&Open=True,IDN;IND,"the African Group, Bangladesh, Barbados, Bolivia, Brazil, Cuba, Dominican Republic, Ecuador, Haiti, Honduras, India, Indonesia, Jamaica, Pakistan, Paraguay, Philippines, P[...]i Lanka, Thailand and Venezuela",BRA;IND;IDN,IDN;IND,1,formal_marker:proposal by,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json,IP/C/W/312,title_rule_unvalidated,NEGOTIATION_SUBMISSION,BRA;IDN;IND,IDN;IND,,,1,1,1
58527,WT/DS217/5,WT/DS217/5,original_or_unspecified,"United States - Continued Dumping and Subsidy Offset Act of 2000 - Request for the Establishment of a Panel by Australia, Brazil, Chile, the European Communities, India, Indonesia, Japan, Korea and Thailand",2001-07-13,2001,pre,0,United States,solucao_de_controversias,Unrestricted,2,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/217-5.pdf&Open=True,IDN;IND,,,,0,no_formal_marker_in_title,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json,WT/DS217/5,title_rule_unvalidated,RELATIONAL_OR_DISPUTE_EXCLUDED,,,,,0,0,0
20804,IP/C/W/296,IP/C/W/296,original_or_unspecified,"Council for Trade-Related Aspects of Intellectual Property Rights - Submission by the African Group, Barbados, Bolivia, Brazil, Cuba, Dominican Republic, Ecuador, Honduras, India, Indonesia, Jamaica, Pakistan, Paraguay, Philippines, Peru, Sri Lanka, Thailand and Venezuela",2001-06-29,2001,pre,0,Council for Trade-Related Aspects of Intellectual Property Rights,trips_biodiversidade,Derestricted,9,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/IP/C/W296.pdf&Open=True,IDN;IND,"the African Group, Barbados, Bolivia, Brazil, Cuba, Dominican Republic, Ecuador, Honduras, India, Indonesia, Jamaica, Pakistan, Paraguay, Philippines, Peru, Sri Lanka, Thailand and Venezuela",BRA;IND;IDN,IDN;IND,1,formal_marker:submission by,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json,IP/C/W/296,manual_pdf_first_page_or_full_text,NEGOTIATION_SUBMISSION,BRA;IDN;IND,IDN;IND,,,1,1,1
43525,S/L/95,S/L/95,original_or_unspecified,"Council for Trade in Services - Certification - Schedule of Specific Commitments in Basic Telecommunications of: Brazil - Notification of Objection from Hong Kong, China",2001-06-11,2001,pre,0,Council for Trade in Services,servicos,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/S/L/95.pdf&Open=True,CHN,,,,0,no_formal_marker_in_title,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_china_2000_2014.json,S/L/95,manual_pdf_first_page_or_full_text,BILATERAL_OBJECTION_NOT_COAUTHOR,HKG,,,,0,0,0
88943,G/ADP/D35/1 ; G/L/447 ; WT/DS229/1,G/ADP/D35/1 ; G/L/447 ; WT/DS229/1,original_or_unspecified,Brazil - Anti-Dumping Duties on Jute Bags from India - Request for Consultations by India,2001-04-17,2001,pre,0,Brazil,defesa_comercial,Unrestricted,2,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/ADP/D35-1.pdf&Open=True,IND,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json,G/ADP/D35/1,manual_pdf_first_page_or_full_text,BILATERAL_DISPUTE_NOT_COAUTHOR,IND,IND,,,0,0,0
2597,G/AG/NG/W/139 ; G/AG/W/50,G/AG/NG/W/139 ; G/AG/W/50,original_or_unspecified,"Committee on Agriculture - Special Session - WTO Negotiations on Agriculture - Export Credits for Agricultural Products - Proposal by MERCOSUR (Argentina, Brazil, Paraguay and Uruguay), Bolivia, Chile, Costa Rica, Guatemala, India and Malaysia",2001-03-20,2001,pre,0,Committee on Agriculture,agricultura,Unrestricted,3,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/AG/W50.pdf&Open=True,IND,"MERCOSUR (Argentina, Brazil, Paraguay and Uruguay), Bolivia, Chile, Costa Rica, Guatemala, India and Malaysia",BRA;IND;ARG,IND,1,formal_marker:proposal by,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json,G/AG/NG/W/139,manual_pdf_first_page_or_full_text,NEGOTIATION_SUBMISSION,ARG;BRA;IND,ARG;IND,,,1,1,1
895,G/AG/NG/W/104/Corr.1,G/AG/NG/W/104,corrigendum,"Committee on Agriculture - Special Session - State Trading Enterprises - Proposal by Argentina, Brazil, Paraguay and Uruguay (MERCOSUR), Bolivia, Chile and Colombia - Corrigendum",2001-02-14,2001,pre,0,Committee on Agriculture,agricultura,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/AG/NGW104C1.pdf&Open=True,ARG,"Argentina, Brazil, Paraguay and Uruguay (MERCOSUR), Bolivia, Chile and Colombia",BRA;ARG,ARG,1,formal_marker:proposal by,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_argentina_2000_2014.json,G/AG/NG/W/104,title_rule_unvalidated,NEGOTIATION_SUBMISSION,ARG;BRA,ARG,,,1,1,1
2287,S/CSS/W/13/Corr.1,S/CSS/W/13,corrigendum,"Council for Trade in Services - Special Session - Communication from Argentina, Brazil, Cuba, the Dominican Republic, El Salvador, Honduras, India, Indonesia, Malaysia, Mexico, Nicaragua, Pakistan, Panama, Paraguay, Philippines, Sri Lanka, Thailand, Uruguay, and the Me[...]es and Procedures - Corrigendum",2001-02-06,2001,pre,0,Council for Trade in Services,servicos,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/S/CSS/W13C1.pdf&Open=True,ARG;IDN;IND;MEX,"Argentina, Brazil, Cuba, the Dominican Republic, El Salvador, Honduras, India, Indonesia, Malaysia, Mexico, Nicaragua, Pakistan, Panama, Paraguay, Philippines, Sri Lanka, Thailand, Uruguay, and the Me[...]es and Procedures",BRA;IND;MEX;IDN;ARG,ARG;IDN;IND;MEX,1,formal_marker:communication from,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_argentina_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014_retry1.json,S/CSS/W/13,title_rule_unvalidated,NEGOTIATION_SUBMISSION,ARG;BRA;IDN;IND;MEX,ARG;IDN;IND;MEX,,,1,1,1
755,G/AG/NG/W/104,G/AG/NG/W/104,original_or_unspecified,"Committee on Agriculture - Special Session - State Trading Enterprises - Proposal by Argentina, Brazil, Paraguay and Uruguay (MERCOSUR), Chile and Colombia",2001-01-23,2001,pre,0,Committee on Agriculture,agricultura,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/AG/NGW104.pdf&Open=True,ARG,"Argentina, Brazil, Paraguay and Uruguay (MERCOSUR), Chile and Colombia",BRA;ARG,ARG,1,formal_marker:proposal by,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_argentina_2000_2014.json,G/AG/NG/W/104,title_rule_unvalidated,NEGOTIATION_SUBMISSION,ARG;BRA,ARG,,,1,1,1
7331,G/ADP/Q1/TUR/5 ; G/SCM/Q1/TUR/5,G/ADP/Q1/TUR/5 ; G/SCM/Q1/TUR/5,original_or_unspecified,"Committee on Anti-Dumping Practices - Committee on Subsidies and Countervailing Measures - Notification of Laws and Regulations under Articles 18.5 and 32.6 of the Agreements - Replies to Questions Posed by Japan, the United States, and Brazil Regarding the Notificatio[...]ing the Notification of Turkey",2001-01-10,2001,pre,0,Committee on Anti-Dumping Practices,defesa_comercial,Derestricted,14,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/SCMQ1/TUR5.pdf&Open=True,TUR,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_turkey_2000_2014.json,G/ADP/Q1/TUR/5,title_rule_unvalidated,RELATIONAL_OR_DISPUTE_EXCLUDED,,,,,0,0,0
44379,G/ADP/D31/1 ; G/L/430 ; G/SCM/D39/1 ; WT/DS217/1,G/ADP/D31/1 ; G/L/430 ; G/SCM/D39/1 ; WT/DS217/1,original_or_unspecified,"United States - Continued Dumping and Subsidy Offset Act of 2000 - Request for Consultations by Australia, Brazil, Chile, the European Communities, India, Indonesia, Japan, Korea and Thailand",2001-01-09,2001,pre,0,United States,defesa_comercial,Unrestricted,3,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/SCM/D39-1.pdf&Open=True,IDN;IND,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_india_2000_2014_retry1.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json,G/ADP/D31/1,title_rule_unvalidated,RELATIONAL_OR_DISPUTE_EXCLUDED,,,,,0,0,0
3403,G/ADP/D30/1 ; G/L/429 ; WT/DS216/1,G/ADP/D30/1 ; G/L/429 ; WT/DS216/1,original_or_unspecified,Mexico - Provisional Anti-Dumping Measure on Electric Transformers - Request for Consultations by Brazil,2001-01-04,2001,pre,0,Mexico,defesa_comercial,Unrestricted,2,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/ADP/D30-1.pdf&Open=True,MEX,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014_retry1.json,G/ADP/D30/1,title_rule_unvalidated,RELATIONAL_OR_DISPUTE_EXCLUDED,,,,,0,0,0
