partner,period_2009,topic,n_new_families,share_within_partner_period
ARG,post,acesso_a_mercados_nama,2,0.3333333333333333
ARG,post,medidas_sps,2,0.3333333333333333
ARG,post,committee_on_trade_and_environment,1,0.16666666666666666
ARG,post,servicos,1,0.16666666666666666
ARG,pre,acesso_a_mercados_nama,3,0.13043478260869565
ARG,pre,agricultura,3,0.13043478260869565
ARG,pre,council_for_trade_in_services,3,0.13043478260869565
ARG,pre,dispute_settlement_body,2,0.08695652173913043
ARG,pre,negotiating_group_on_market_access,2,0.08695652173913043
ARG,pre,trips_biodiversidade,2,0.08695652173913043
ARG,pre,[committee_on_agriculture],1,0.043478260869565216
ARG,pre,comercio_de_bens,1,0.043478260869565216
ARG,pre,comercio_e_desenvolvimento,1,0.043478260869565216
ARG,pre,committee_on_agriculture,1,0.043478260869565216
ARG,pre,conferencia_ministerial,1,0.043478260869565216
ARG,pre,negotiating_group_on_rules,1,0.043478260869565216
ARG,pre,negotiating_group_on_trade_facilitation,1,0.043478260869565216
ARG,pre,servicos,1,0.043478260869565216
CHN,post,negotiating_group_on_rules,2,0.2857142857142857
CHN,post,comercio_de_bens,1,0.14285714285714285
CHN,post,conferencia_ministerial,1,0.14285714285714285
CHN,post,orcamento_secretariado,1,0.14285714285714285
CHN,post,servicos,1,0.14285714285714285
CHN,post,trips_biodiversidade,1,0.14285714285714285
CHN,pre,trips_biodiversidade,4,0.2857142857142857
CHN,pre,council_for_trade_in_services,2,0.14285714285714285
CHN,pre,[committee_on_agriculture],1,0.07142857142857142
CHN,pre,[council_for_trade-related_aspects_of_intellectual_property_rights],1,0.07142857142857142
CHN,pre,acesso_a_mercados_nama,1,0.07142857142857142
CHN,pre,comercio_de_bens,1,0.07142857142857142
CHN,pre,committee_on_trade_and_development,1,0.07142857142857142
CHN,pre,conferencia_ministerial,1,0.07142857142857142
CHN,pre,conselho_geral,1,0.07142857142857142
CHN,pre,negotiating_group_on_rules,1,0.07142857142857142
IDN,post,servicos,1,0.5
IDN,post,trips_biodiversidade,1,0.5
IDN,pre,trips_biodiversidade,4,0.25
IDN,pre,council_for_trade_in_services,3,0.1875
IDN,pre,servicos,2,0.125
IDN,pre,[council_for_trade-related_aspects_of_intellectual_property_rights],1,0.0625
IDN,pre,acesso_a_mercados_nama,1,0.0625
IDN,pre,comercio_de_bens,1,0.0625
IDN,pre,comercio_e_desenvolvimento,1,0.0625
IDN,pre,conselho_geral,1,0.0625
IDN,pre,negotiating_group_on_market_access,1,0.0625
IDN,pre,negotiating_group_on_rules,1,0.0625
IND,post,acesso_a_mercados_nama,2,0.2222222222222222
IND,post,comercio_de_bens,1,0.1111111111111111
IND,post,conferencia_ministerial,1,0.1111111111111111
IND,post,negotiating_group_on_market_access,1,0.1111111111111111
IND,post,negotiating_group_on_rules,1,0.1111111111111111
IND,post,orcamento_secretariado,1,0.1111111111111111
IND,post,servicos,1,0.1111111111111111
IND,post,trips_biodiversidade,1,0.1111111111111111
IND,pre,trips_biodiversidade,12,0.3157894736842105
IND,pre,council_for_trade_in_services,5,0.13157894736842105
IND,pre,acesso_a_mercados_nama,2,0.05263157894736842
IND,pre,comercio_de_bens,2,0.05263157894736842
IND,pre,committee_on_trade_and_development,2,0.05263157894736842
IND,pre,conselho_geral,2,0.05263157894736842
IND,pre,dispute_settlement_body,2,0.05263157894736842
IND,pre,negotiating_group_on_rules,2,0.05263157894736842
IND,pre,[committee_on_agriculture],1,0.02631578947368421
IND,pre,[council_for_trade-related_aspects_of_intellectual_property_rights],1,0.02631578947368421
IND,pre,agricultura,1,0.02631578947368421
IND,pre,comercio_e_desenvolvimento,1,0.02631578947368421
IND,pre,committee_on_trade-related_investment_measures,1,0.02631578947368421
IND,pre,conferencia_ministerial,1,0.02631578947368421
IND,pre,council_for_trade_in_goods,1,0.02631578947368421
IND,pre,negotiating_group_on_market_access,1,0.02631578947368421
IND,pre,servicos,1,0.02631578947368421
MEX,post,negotiating_group_on_rules,2,0.3333333333333333
MEX,post,conferencia_ministerial,1,0.16666666666666666
MEX,post,conselho_geral,1,0.16666666666666666
MEX,post,general_council,1,0.16666666666666666
MEX,post,working_party_on_the_accession_of_kazakhstan,1,0.16666666666666666
MEX,pre,negotiating_group_on_rules,13,0.5416666666666666
MEX,pre,council_for_trade_in_services,4,0.16666666666666666
MEX,pre,[committee_on_agriculture],1,0.041666666666666664
MEX,pre,acesso_a_mercados_nama,1,0.041666666666666664
MEX,pre,conferencia_ministerial,1,0.041666666666666664
MEX,pre,dispute_settlement_body,1,0.041666666666666664
MEX,pre,negotiating_group_on_trade_facilitation,1,0.041666666666666664
MEX,pre,servicos,1,0.041666666666666664
MEX,pre,trips_biodiversidade,1,0.041666666666666664
TUR,post,conferencia_ministerial,1,0.5
TUR,post,servicos,1,0.5
TUR,pre,negotiating_group_on_rules,13,0.8666666666666667
TUR,pre,[council_for_trade-related_aspects_of_intellectual_property_rights],1,0.06666666666666667
TUR,pre,trips_biodiversidade,1,0.06666666666666667
ZAF,post,conferencia_ministerial,1,0.3333333333333333
ZAF,post,orcamento_secretariado,1,0.3333333333333333
ZAF,post,servicos,1,0.3333333333333333
ZAF,pre,[committee_on_agriculture],1,0.16666666666666666
ZAF,pre,acesso_a_mercados_nama,1,0.16666666666666666
ZAF,pre,comercio_e_desenvolvimento,1,0.16666666666666666
ZAF,pre,conferencia_ministerial,1,0.16666666666666666
ZAF,pre,negotiating_group_on_market_access,1,0.16666666666666666
ZAF,pre,trips_biodiversidade,1,0.16666666666666666
