subset,period_2009,n_family_events
Brasil-China sem Índia nem África do Sul,post,1
Brasil-China sem Índia nem África do Sul,pre,1
Brasil-África do Sul sem China,post,0
Brasil-África do Sul sem China,pre,2
Brasil-Índia sem China,post,3
Brasil-Índia sem China,pre,26
