window,donor_pool,pseudo_treated,reassignment_estimate,china_two_sided_randomization_p,number_of_possible_assignments,minimum_attainable_p
2000-2014,primário: CHN+IND+ZAF,CHN,1.0555555555555558,1,3,0.3333333333333333
2000-2014,primário: CHN+IND+ZAF,IND,-2.4444444444444446,1,3,0.3333333333333333
2000-2014,primário: CHN+IND+ZAF,ZAF,1.3888888888888888,1,3,0.3333333333333333
2000-2014,ampliado: sete parceiros,CHN,1.0925925925925926,0.42857142857142855,7,0.14285714285714285
2000-2014,ampliado: sete parceiros,IND,-1.6296296296296298,0.42857142857142855,7,0.14285714285714285
2000-2014,ampliado: sete parceiros,ZAF,1.351851851851852,0.42857142857142855,7,0.14285714285714285
2000-2014,ampliado: sete parceiros,MEX,-0.3981481481481479,0.42857142857142855,7,0.14285714285714285
2000-2014,ampliado: sete parceiros,IDN,-0.13888888888888884,0.42857142857142855,7,0.14285714285714285
2000-2014,ampliado: sete parceiros,TUR,-0.009259259259259522,0.42857142857142855,7,0.14285714285714285
2000-2014,ampliado: sete parceiros,ARG,-0.2685185185185184,0.42857142857142855,7,0.14285714285714285
2005-2012,primário: CHN+IND+ZAF,CHN,1.25,0.6666666666666666,3,0.3333333333333333
2005-2012,primário: CHN+IND+ZAF,IND,-2.125,0.6666666666666666,3,0.3333333333333333
2005-2012,primário: CHN+IND+ZAF,ZAF,0.875,0.6666666666666666,3,0.3333333333333333
2005-2012,ampliado: sete parceiros,CHN,1,0.2857142857142857,7,0.14285714285714285
2005-2012,ampliado: sete parceiros,IND,-1.625,0.2857142857142857,7,0.14285714285714285
2005-2012,ampliado: sete parceiros,ZAF,0.7083333333333333,0.2857142857142857,7,0.14285714285714285
2005-2012,ampliado: sete parceiros,MEX,0.41666666666666674,0.2857142857142857,7,0.14285714285714285
2005-2012,ampliado: sete parceiros,IDN,-0.45833333333333326,0.2857142857142857,7,0.14285714285714285
2005-2012,ampliado: sete parceiros,TUR,-0.16666666666666674,0.2857142857142857,7,0.14285714285714285
2005-2012,ampliado: sete parceiros,ARG,0.125,0.2857142857142857,7,0.14285714285714285
