window,donor_pool,treated_dyads,donor_dyads,pre_years,post_years,possible_treatment_reassignments,minimum_two_sided_randomization_p,descriptive_did,design_assessment
2000-2014,primário: IND+ZAF,1,2,9,6,3,0.3333333333333333,1.0555555555555558,"SDiD/efeitos fixos são calculáveis apenas como diagnóstico; uma díade tratada, poucos doadores, desfecho de contagem esparso e composição temática mutável não sustentam inferência causal definitiva."
2000-2014,ampliado: seis parceiros,1,6,9,6,7,0.14285714285714285,1.0925925925925926,"SDiD/efeitos fixos são calculáveis apenas como diagnóstico; uma díade tratada, poucos doadores, desfecho de contagem esparso e composição temática mutável não sustentam inferência causal definitiva."
2005-2012,primário: IND+ZAF,1,2,4,4,3,0.3333333333333333,1.25,"SDiD/efeitos fixos são calculáveis apenas como diagnóstico; uma díade tratada, poucos doadores, desfecho de contagem esparso e composição temática mutável não sustentam inferência causal definitiva."
2005-2012,ampliado: seis parceiros,1,6,4,4,7,0.14285714285714285,1,"SDiD/efeitos fixos são calculáveis apenas como diagnóstico; uma díade tratada, poucos doadores, desfecho de contagem esparso e composição temática mutável não sustentam inferência causal definitiva."
