canonical_family,partner,event_date,year,period_2009,window_2005_2012,topic,symbol_at_first_observed_pair_authorship,catalogue_id,revision_type,authors_at_event,china_without_india_or_south_africa,india_or_south_africa_without_china,coding_source,coverage_note
TN/RL/W/76,TUR,2003-03-19,2003,pre,0,negotiating_group_on_rules,TN/RL/W/76,25848,original_or_unspecified,BRA;HKG;TUR,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/RL/W/104,TUR,2003-05-06,2003,pre,0,negotiating_group_on_rules,TN/RL/W/104,14756,original_or_unspecified,BRA;HKG;TUR,0,0,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
TN/C/W/13,ARG,2003-06-06,2003,pre,0,trips_biodiversidade,TN/C/W/13,8983,original_or_unspecified,ARG;BRA;CHN;IND;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/C/W/13,CHN,2003-06-06,2003,pre,0,trips_biodiversidade,TN/C/W/13,8983,original_or_unspecified,ARG;BRA;CHN;IND;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/C/W/13,IND,2003-06-06,2003,pre,0,trips_biodiversidade,TN/C/W/13,8983,original_or_unspecified,ARG;BRA;CHN;IND;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/C/W/13,MEX,2003-06-06,2003,pre,0,trips_biodiversidade,TN/C/W/13,8983,original_or_unspecified,ARG;BRA;CHN;IND;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/RL/W/113,MEX,2003-06-06,2003,pre,0,negotiating_group_on_rules,TN/RL/W/113,36536,original_or_unspecified,BRA;HKG;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/RL/W/119,MEX,2003-06-16,2003,pre,0,negotiating_group_on_rules,TN/RL/W/119,103230,original_or_unspecified,BRA;HKG;MEX;TUR,0,0,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
TN/RL/W/119,TUR,2003-06-16,2003,pre,0,negotiating_group_on_rules,TN/RL/W/119,103230,original_or_unspecified,BRA;HKG;MEX;TUR,0,0,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
IP/C/W/403,IND,2003-06-24,2003,pre,0,trips_biodiversidade,IP/C/W/403,70734,original_or_unspecified,BRA;IND,0,1,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
WT/GC/W/503,CHN,2003-07-14,2003,pre,0,conselho_geral,WT/GC/W/503,10036,original_or_unspecified,BRA;CHN;HKG;IDN;IND,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
WT/GC/W/503,IDN,2003-07-14,2003,pre,0,conselho_geral,WT/GC/W/503,10036,original_or_unspecified,BRA;CHN;HKG;IDN;IND,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
WT/GC/W/503,IND,2003-07-14,2003,pre,0,conselho_geral,WT/GC/W/503,10036,original_or_unspecified,BRA;CHN;HKG;IDN;IND,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
JOB(03)/162,ARG,2003-08-20,2003,pre,0,[committee_on_agriculture],JOB(03)/162,1060,original_or_unspecified,ARG;BRA;CHN;IND;MEX;ZAF,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
JOB(03)/162,CHN,2003-08-20,2003,pre,0,[committee_on_agriculture],JOB(03)/162,1060,original_or_unspecified,ARG;BRA;CHN;IND;MEX;ZAF,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
JOB(03)/162,IND,2003-08-20,2003,pre,0,[committee_on_agriculture],JOB(03)/162,1060,original_or_unspecified,ARG;BRA;CHN;IND;MEX;ZAF,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
JOB(03)/162,MEX,2003-08-20,2003,pre,0,[committee_on_agriculture],JOB(03)/162,1060,original_or_unspecified,ARG;BRA;CHN;IND;MEX;ZAF,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
JOB(03)/162,ZAF,2003-08-20,2003,pre,0,[committee_on_agriculture],JOB(03)/162,1060,original_or_unspecified,ARG;BRA;CHN;IND;MEX;ZAF,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/MA/W/45,ARG,2003-09-01,2003,pre,0,acesso_a_mercados_nama,TN/MA/W/45,20120,original_or_unspecified,ARG;BRA;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/MA/W/45,MEX,2003-09-01,2003,pre,0,acesso_a_mercados_nama,TN/MA/W/45,20120,original_or_unspecified,ARG;BRA;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
