display_order,Headline,Classification,Date
1,"Disputa com Brasil é 'conflito menor' para China, dizem analistas",china-brazil relations,2005-10-05
2,Lula vai se encontrar com presidente da China na segunda,china-brazil relations,2004-05-23
3,China lidera as aquisições de empresas brasileiras,china-brazil trade,2013-03-01
4,China aceita nova regra brasileira e suspende embargo à soja,china-brazil trade,2004-06-21
5,PIB da China dobra participação no total mundial em 5 anos,chinese economy,2011-03-25
6,BHP prevê produção recorde de minério de ferro e aposta na China,chinese economy,2012-01-18
7,"China ameaça Google com ""consequências"" caso empresa largue autocensura",chinese politics and policy,2010-03-12
8,China anuncia fechamento de 700 websites,chinese politics and policy,2004-08-01
9,China não quer interferência dos EUA na questão do Tibete,diplomacy,2011-09-28
10,Chega a Taiwan primeiro vôo direto da China em quase 60 anos,diplomacy,2008-07-04
11,Incêndio em prédio residencial deixa 12 mortos na China,disaster and accidents,2010-07-19
12,China detona barragens e prédios danificados; veja vídeo,disaster and accidents,2008-06-06
13,Uma em três chinesas da zona rural se mata por ano,health,2002-11-29
14,China suspende viagens ao Tibete para controlar Sars,health,2003-05-13
