"iso3c","country_name","t0","pre_entry_partner_level","pre_entry_high_level_partner","pre_entry_partner_level_raw","pre_entry_bsa_with_china","bri_mou_year","pre_entry_bri_mou","bri_mou_at_or_before_t0","bri_mou_post_t0","source","date_accessed","construction_note"
"OMN","Oman",2000,1,0,,0,2018,FALSE,FALSE,TRUE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
"SDN","Sudan",2000,1,0,,0,2017,FALSE,FALSE,TRUE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
"COG","Congo - Brazzaville",2003,1,0,,0,2018,FALSE,FALSE,TRUE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
"KOR","South Korea",2003,1,0,,0,2015,FALSE,FALSE,TRUE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
"LAO","Laos",2003,1,0,,0,2016,FALSE,FALSE,TRUE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
"SLB","Solomon Islands",2003,0,0,,0,2019,FALSE,FALSE,TRUE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
"YEM","Yemen",2003,1,0,,0,2019,FALSE,FALSE,TRUE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
"BEN","Benin",2004,1,0,,0,2019,FALSE,FALSE,TRUE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
"CUB","Cuba",2004,1,0,,0,2018,FALSE,FALSE,TRUE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
"BFA","Burkina Faso",2005,1,0,,0,,FALSE,FALSE,FALSE,"Liu, Pang & Vreeland 2026 Harvard Dataverse DOI 10.7910/DVN/MWAPWV","2026-05-19","pre_entry_partner_level uses partner_level_lag1 on the Vreeland row for t0, equivalent to partner_level at t0 - 1; pre_entry_partner_level_raw is level_raw at t0 - 1."
