"iso3c","country_name","t0","displaced_partner","displaced_partner_name","displaced_partner_region","treated_country_region","rank_CHN_at_t0_minus_1","rank_USA_at_t0_minus_1","displaced_exports_t0_minus_1","china_exports_t0_minus_1","total_exports_t0_minus_1","displaced_export_share_t0_minus_1","china_export_share_t0_minus_1","export_share_margin_over_china_t0_minus_1","pre_window_years_observed","displaced_partner_mean_share_pre5","china_mean_share_pre5","mean_margin_over_china_pre5","top_partner_years_observed_pre5","displaced_partner_top_years_pre5","modal_top_partner_pre5","displaced_partner_modal_top_pre5","hub_entrepot_incumbent","displacement_salience_warning","displaced_us","displaced_g7","displaced_regional_power","displaced_regional_power_same_macroregion","regional_power_list_version","hub_entrepot_list_version","min_year","min_entry_year","source_targets","construction_function","creation_date","creation_timestamp"
"OMN","Oman",2000,"JPN","Japan","East Asia & Pacific","Middle East & North Africa",5,7,1672.8933820000004,635.789169,6719.279244000001,0.2489691708368595,0.0946216321590935,0.154347538677766,5,0.24461210494840507,0.11845802466046082,0.12615408028794423,5,4,"JPN",TRUE,FALSE,"none",FALSE,TRUE,TRUE,FALSE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
"SDN","Sudan",2000,"SAU","Saudi Arabia","Middle East & North Africa","Sub-Saharan Africa",5,75,119.88911599999997,53.654475,727.8369970000001,0.1647197332564285,0.07371770770262176,0.09100202555380674,5,0.11845043682485398,0.06218531688355073,0.05626511994130325,5,3,"SAU",TRUE,FALSE,"none",FALSE,FALSE,TRUE,FALSE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
"COG","Congo - Brazzaville",2003,"KOR","South Korea","East Asia & Pacific","Sub-Saharan Africa",3,4,508.72879,251.27442399999995,2202.7480950000017,0.23095186923768493,0.1140731546064507,0.11687871463123423,5,0.18849454363931817,0.07106246663524653,0.11743207700407163,5,2,"TWN",FALSE,FALSE,"weak_pre_entry_persistence",FALSE,FALSE,TRUE,FALSE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
"KOR","South Korea",2003,"USA","United States","North America","East Asia & Pacific",2,1,40912.754643964836,30119.08728003802,184186.02453649722,0.2221273560082611,0.16352536711638402,0.058601988891877094,5,0.22154655535203163,0.13325281096419297,0.08829374438783864,5,5,"USA",TRUE,FALSE,"none",TRUE,TRUE,TRUE,FALSE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
"LAO","Laos",2003,"THA","Thailand","East Asia & Pacific","East Asia & Pacific",9,13,91.549571,9.70942,333.75625799999983,0.27430068741962,0.029091349651936726,0.24520933776768328,5,0.22637293021445226,0.03026634199393103,0.19610658822052124,5,4,"THA",TRUE,FALSE,"none",FALSE,FALSE,FALSE,FALSE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
"SLB","Solomon Islands",2003,"JPN","Japan","East Asia & Pacific","East Asia & Pacific",2,13,20.571602999999996,18.231233000000003,95.05788700000004,0.21641132208209077,0.1917908505582498,0.024620471523840975,5,0.2599425575830539,0.10215072492075407,0.15779183266229982,5,5,"JPN",TRUE,FALSE,"none",FALSE,TRUE,TRUE,TRUE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
"YEM","Yemen",2003,"THA","Thailand","East Asia & Pacific","Middle East & North Africa",3,5,648.6652849999999,425.57729600000005,2746.4119610000002,0.2361864477038665,0.15495755991575366,0.08122888778811282,5,0.24269583943971593,0.21959553640514082,0.02310030303457511,5,4,"THA",TRUE,FALSE,"none",FALSE,FALSE,FALSE,FALSE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
"BEN","Benin",2004,"BFA","Burkina Faso","Sub-Saharan Africa","Sub-Saharan Africa",2,31,79.117516,68.61460800000002,422.1142349999999,0.18743152786591055,0.1625498557280354,0.02488167213787515,5,0.04285165779764913,0.04837289908721474,-0.005521241289565607,5,1,"IND",FALSE,FALSE,"weak_pre_entry_persistence",FALSE,FALSE,FALSE,FALSE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
"CUB","Cuba",2004,"RUS","Russia","Europe & Central Asia","Latin America & Caribbean",4,102,182.36476701652458,121.759043,1142.9460530165247,0.15955675819975726,0.10653087490756627,0.05302588329219099,5,0.24112935856513693,0.07686880959916856,0.16426054896596837,5,5,"RUS",TRUE,FALSE,"none",FALSE,FALSE,TRUE,FALSE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
"BFA","Burkina Faso",2005,"GHA","Ghana","Sub-Saharan Africa","Sub-Saharan Africa",2,32,242.17437800000002,124.134551,631.1903599999997,0.38367882868173103,0.1966673746411464,0.18701145404058464,5,0.25889765689861244,0.054639748586631176,0.20425790831198126,5,4,"GHA",TRUE,FALSE,"none",FALSE,FALSE,FALSE,FALSE,"strict_pre_specified_ri_ipe_2026_05_19","observed_hub_entrepot_cases_2026_05_19",1990,2000,"trade_data; unga_data","build_china_top_partner_panel","2026-05-19","2026-05-19 23:14:02 -03"
