iso3c,country_name,pre_window_start,pre_window_end,observed_years,pre_total_exports_all_sectors,pre_services_exports,pre_goods_exports,pre_primary_exports,pre_primary_share,pre_agriculture_share,pre_mining_energy_share
ABW,Aruba,2004,2008,5,20731.898009999954,0.2026909999549389,20731.695319,182.865477,0.008820575171795481,2.5529653598320857e-5,0.00879504551819716
AFG,Afghanistan,2004,2008,5,1591.770115955441,1.7533919866909855,1590.01672396875,939.9928660000002,0.5911842635552521,0.5696457297249166,0.021538533830335407
AGO,Angola,2004,2008,5,177844.73561983116,162.61448983129958,177682.12112999987,172595.21049499998,0.9713707231619658,2.0131498753230822e-4,0.9711694081744335
AIA,Anguilla,2004,2008,5,90.56165298798325,1.388054987983196,89.17359800000006,0.6045860000000001,0.006779876707453249,0,0.006779876707453249
ALB,Albania,2004,2008,5,60265.60627320444,49667.6884862845,10597.917786919928,6062.861739660153,0.5720804653856635,0.3429053810443051,0.22917508434135833
AND,Andorra,2004,2008,5,827.4035926811088,29.135355681108194,798.2682370000006,2.991711,0.003747751521773248,5.341700699535658e-4,0.0032135814518196824
ANT,ANT,2004,2008,5,15962.397368000016,0,15962.397368000016,388.20116899999994,0.024319728424893796,1.24332326419754e-4,0.024195396098474042
ARE,United Arab Emirates,2004,2008,5,925522.6810916555,2719.965481652267,922802.7156100033,681905.2783009999,0.7389502293025197,0.0057583700666586825,0.733191859235861
ARG,Argentina,2004,2008,5,458622.0107009085,19748.864096909747,438873.1466039988,239856.722986,0.5465285922413157,0.21522019114381474,0.331308401097501
ARM,Armenia,2004,2008,5,12989.726309489066,324.8120084974803,12664.914300991584,5839.358514999998,0.4610657740133948,0.2737943003474179,0.18727147366597693
ASM,American Samoa,2004,2008,5,249.46660599995718,0.00913699995726347,249.45746899999992,95.17944,0.38154576161437775,0.0012601105962475715,0.3802856510181302
ATA,Antarctica,2004,2008,5,9.647262999999999,0,9.647262999999999,0.5398479999999999,0.05595866931377324,0.05404102697314254,0.0019176423406307057
ATF,French Southern Territories,2004,2008,5,53.646479,0,53.646479,0.291705,0.005437542322209068,5.148520558078005e-4,0.004922690266401268
ATG,Antigua & Barbuda,2004,2008,5,1584.5921469657437,1.5460529657430016,1583.0460940000007,40.900687999999995,0.025836700621049622,0.0226503461496807,0.003186354471368916
AUS,Australia,2004,2008,5,1711751.920300527,140110.61978452798,1571641.300515999,612191.0204270001,0.3895233729388547,0.06050808650216694,0.32901528643668787
AUT,Austria,2004,2008,5,2852588.2027410315,1815688.8672888447,1036899.3354521869,165354.451302,0.15947011021073682,0.01535389416278986,0.14411621604794697
AZE,Azerbaijan,2004,2008,5,138967.65199428675,46097.52392542211,92870.12806886462,70273.01604125,0.7566805118341333,0.09222932663179553,0.6644511852023378
BDI,Burundi,2004,2008,5,7480.986024312163,0.015099999662197659,7480.970924312501,5712.575728,0.763614213421767,0.7610319159906651,0.0025822974311018763
BEL,Belgium,2004,2008,5,4787360.1658845935,2785084.0953779677,2002276.070506626,280400.8527420001,0.14004105471382458,0.020517504481589986,0.1195235502322346
BEN,Benin,2004,2008,5,3103.747153000133,0.3380380001353842,3103.4091149999977,1347.6291639999993,0.43424154343247146,0.4336812212398237,5.603221926478106e-4
BFA,Burkina Faso,2004,2008,5,13021.977605755186,6768.979224755189,6252.998380999998,5465.644761999998,0.8740838281051844,0.8737944848350022,2.893432701817935e-4
BGD,Bangladesh,2004,2008,5,101629.55980165426,112.8009725134907,101516.75882914077,24475.553487000027,0.241098649812037,0.24069009887445433,4.0855093758267733e-4
BGR,Bulgaria,2004,2008,5,376750.1709847531,233450.3930548631,143299.77792989003,31971.658821999998,0.22311031659548178,0.07559037640169713,0.14751994019378467
BHR,Bahrain,2004,2008,5,53459.63579273966,3857.5591537395467,49602.07663900011,17901.936052,0.36091101955849225,0.0012273588753768598,0.3596836606831154
BHS,Bahamas,2004,2008,5,36043.93882960174,25116.45166360174,10927.487165999999,489.05107899999996,0.04475421215974,0.00465038779986978,0.04010382435987023
BIH,Bosnia & Herzegovina,2004,2008,5,66815.24264731508,46623.191588315094,20192.05105899999,4933.168490999997,0.244312401775608,0.17870810812909596,0.06560429364651206
BLR,Belarus,2004,2008,5,114143.70912915579,4824.388429155759,109319.32070000003,22520.936025000006,0.2060105741674262,0.13810438501928965,0.06790618914813654
BLZ,Belize,2004,2008,5,9523.183453037542,5530.594258037541,3992.5891949999996,1039.809267,0.26043482467521933,0.18344800234325145,0.07698682233196798
BMU,Bermuda,2004,2008,5,111875.02904992175,108522.32821453112,3352.700835390624,271.754644,0.08105544077520946,3.961045333903978e-5,0.0810158303218704
BOL,Bolivia,2004,2008,5,24908.449686997694,0.34630299771379214,24908.10338399998,18948.036946999993,0.7607177734444243,0.25835386375237473,0.5023639096920494
BRA,Brazil,2004,2008,5,5846052.389401045,3775897.007247048,2070155.3821539972,439553.8716139992,0.21232892728885078,0.1260555041923839,0.08627342309646695
BRB,Barbados,2004,2008,5,2674.6923672057055,14.705157205709838,2659.9872099999957,228.115631,0.08575816836352397,0.03447308229726419,0.05128508606625978
BRN,Brunei,2004,2008,5,38503.35325104618,308.16756504622026,38195.18568599997,36376.589557,0.9523867708367614,0.0017690996073562084,0.9506176712294052
BTN,Bhutan,2004,2008,5,1919.947627999998,0,1919.947627999998,901.9195419999999,0.46976257521124465,0.45049847213853317,0.019264103072711543
BVT,Bouvet Island,2004,2008,5,42.486469999999976,0,42.486469999999976,0.02332,5.488806201127092e-4,0,5.488806201127092e-4
BWA,Botswana,2004,2008,5,26314.0476690271,1.5130890270866075,26312.534580000018,19782.593188000003,0.7518315321488117,0.0014716675006076125,0.750359864648204
CAF,Central African Republic,2004,2008,5,1021.3915689506468,2.8130989506462356,1018.5784700000006,637.7873900000001,0.6261543992776518,0.40253257954686567,0.22362181973078604
CAN,Canada,2004,2008,5,5758729.836500142,3000218.9183141408,2758510.918186001,485129.3194240002,0.17586637639376163,0.03881665091266473,0.13704972548109695
CCK,Cocos (Keeling) Islands,2004,2008,5,40.82101199999999,0,40.82101199999999,0.078655,0.0019268263119003523,4.7046849303981013e-4,0.0014563578188605422
CHE,Switzerland,2004,2008,5,3721433.025029531,2876927.946700531,844505.0783289997,37485.928135000024,0.044388043478876954,0.016446045895285057,0.0279419975835919
CHL,Chile,2004,2008,5,423188.10854688985,24761.615374827852,398426.493172062,98800.863173,0.2479776442234038,0.0794307014276107,0.16854694279579313
