model_id,australia_cue_year,estimate,se_bootstrap,ci_95_low,ci_95_high,p_normal_two_sided,selected_factors,n_treated_units,n_never_treated_units,n_treated_country_years,bootstrap_replications,bootstrap_seed,elapsed_seconds,fect_version
clean_controls,2007,0.020946780674051327,0.10230830344936992,-0.17957380940610868,0.2214673707542113,0.8377739026801031,1,5,105,49,1000,42,65.687,2.4.5
full_switching,2007,0.02369885886507585,0.09109228285942549,-0.15483873480893334,0.20223645253908507,0.7947378971666723,1,5,153,49,1000,42,58.214,2.4.5
clean_controls_without_gab_qat,2007,-0.088292521658117,0.08330195300756046,-0.25156134939478353,0.0749763060785495,0.28918582630328443,0,4,105,55,1000,42,12.143,2.4.5
full_switching_without_gab_qat,2007,-0.004665148344485736,0.09397413169213638,-0.18885106193949708,0.17952076525052563,0.9604069601599998,1,4,152,55,1000,42,60.507000000000005,2.4.5
