cue_year,treated_label,n_treated,window_end,n_pre_years,att,weight
2003,KOR,1,2009,6,0.061938133716819,0.14285714285714285
2007,AUS,1,2013,10,0.14109734542685562,0.14285714285714285
2009,BRA+CHL,2,2015,12,-0.20945013156468364,0.2857142857142857
2010,ZAF,1,2016,13,0.08516446763769236,0.14285714285714285
2013,NZL+URY,2,2019,16,-0.19038643111650036,0.2857142857142857
