replication,placebo_att
1,0.01784957473431159
2,-3.393862673806711e-5
3,-0.06381006182750923
4,0.12196179434106022
5,-0.0703370284854038
6,-0.03565934231205018
7,0.03644834205967839
8,-0.07405052511487199
9,0.006596968944771828
10,-0.09930158102666926
11,-0.03535289719972118
12,-0.08672216743293029
13,-0.010282685845124491
14,0.01220412678546422
15,0.06446653859453505
16,0.02061418130131017
17,0.0041181413221413644
18,-0.016171690810245443
19,-0.06318484044962691
20,-0.029766137643977862
21,0.07502905427694159
22,-0.01470955699683809
23,-0.015038260860682133
24,-0.09333622473687173
25,0.1298023174119953
26,0.11239955014599433
27,-0.1282091126278539
28,-0.1182249078594554
29,0.13655092139795375
30,-0.06668136982201452
31,-0.025105596902913377
32,-0.035944432240868705
33,-0.012389419431958017
34,-0.026198654419716146
35,0.003308325320891611
36,-0.02832922295803358
37,-4.1274832167599845e-4
38,0.11247332431534739
39,0.07556859231655458
40,0.04917246966702784
41,0.12922616656807798
42,-0.06541160838593665
43,0.02031229866172475
44,0.0052139853791454555
45,0.016859942359343665
46,-0.026799576449608283
47,0.07078944082256047
48,0.07716684591118914
49,-0.03837641173834791
50,0.020235783834217414
51,-0.01367417371843711
52,0.04916525568796318
53,-0.06524021438076785
54,-0.04747178692295453
55,-0.05963941960295824
56,-0.05532087384510492
57,0.013276613425167325
58,-0.05627726679899963
59,0.026394219760922946
60,-0.001652659944038021
61,0.0030755380796961282
62,-0.11330491131850838
63,0.011806647890913131
64,-0.04331300775177742
65,0.0344884187427231
66,-0.013138153274704002
67,0.0173898623822746
68,-0.021008782555231004
69,-0.031282465692849246
70,0.024972977112404374
71,-0.008793139870606922
72,-0.029732608547268474
73,0.14170436875320097
74,0.11409580847939932
75,0.00797316056499497
76,0.023977770742552237
77,0.06328790281230201
78,0.04509911721949563
79,0.04891866974426472
80,0.004963836399778689
81,-0.0024580577190908733
82,-0.06835234346397516
83,-0.02539755789205457
84,-0.002043142461441253
85,0.0034836827246144363
86,0.06552379273949192
87,-0.007590112644759121
88,-0.03648546148389815
89,0.026505171099365905
90,0.011567898069362715
91,-0.002572906806852033
92,3.401738320580605e-4
93,0.008626722544225918
94,-0.03200091344982049
95,-0.09593161855626753
96,-0.004795591567581518
97,-0.001153583572324146
98,0.014642707038499347
99,-0.010383744440043485
100,0.09248206737289778
101,-0.01494856496972372
102,0.07182217811361044
103,-0.12129572376683248
104,-0.022037643549344878
105,0.04638905881190214
106,-0.03515186490397061
107,0.046559018783040904
108,-0.0038663279635636717
109,-0.0990956185010732
110,0.013501695778748365
111,0.03092739003005035
112,-0.04021618436410122
113,0.08681224606480942
114,0.0564586006394619
115,-0.06653820577889147
116,-0.0958480196405481
117,-0.0269269831261752
118,-0.05965059198562067
119,-0.07094343492792685
120,-0.03365804748269486
121,-0.07682536869081404
122,0.020663091151427858
123,0.04548803526756673
124,-0.04981763616571276
125,-0.025802508847684997
126,0.10093527956944538
127,0.05020637273690107
128,0.06319684648760676
129,-0.009748909602541645
130,-0.055082755761358904
131,0.019596232031333843
132,-0.11955686893079358
133,0.020142183215108554
134,0.028824011653494182
135,0.11756264614055585
136,0.024074253547984356
137,-0.08721367571041427
138,0.04803686643358479
139,0.04654952120316502
140,-0.024202027267507753
141,0.03413557764003859
142,-0.03383879663330409
143,-0.07199595242003715
144,0.0851647652615461
145,-0.048422193264760445
146,-0.03435951375700195
147,0.06424392117696982
148,-0.01703764172857562
149,-0.05061859663809468
150,0.08450782115190963
151,0.0014313614648608572
152,-0.005398112644364354
153,0.0011460444783424027
154,0.019178651126246858
155,-0.09747270749503487
156,-0.026591913639332703
157,-0.056549518888122895
158,-0.037407608398903475
159,0.03926224040829626
160,-4.0757852947797407e-4
161,-0.07028254381503803
162,0.013046419457045587
163,-0.016645228062026084
164,0.010282346151711976
165,-0.09841830678419627
166,-0.02888910764854216
167,-0.07776535106579968
168,-0.024881097382767215
169,-0.04562014548369167
170,0.029461177559010246
171,0.03898925092318154
172,0.1227109929706317
173,-0.0028259842675316077
174,0.0318369476626101
175,0.02919661887843416
176,0.04249817035832827
177,0.045893677790880674
178,0.06809916926190843
179,0.12483252312722612
180,-0.030923335529583734
181,0.09067525012263726
182,-0.0013947269745875242
183,0.002967437974300796
184,0.01775383909474463
185,-0.009227567425236912
186,0.01878690894604349
187,0.03791217901216128
188,-0.012973774687683966
189,0.021316108034880602
190,-0.05431626249058703
191,0.052400390720089104
192,0.06774064319026751
193,-0.06295047457484265
194,-0.06483864505944065
195,0.00996310979878387
196,0.015916988727520065
197,-0.049251697888079496
198,0.10116186773686656
199,-0.08086927019029508
200,0.08872920480701155
201,0.013840543940562652
202,0.013984503842402393
203,-0.0085449031235522
204,8.411207980739271e-4
205,-0.07880428096776564
206,0.08938374044360994
207,0.026137832189837035
208,0.09324581715526775
209,-0.07500755973168077
210,-0.045553337713360745
211,-0.040328193411429944
212,-0.1149292080297517
213,0.13257440770982973
214,-0.00924208580139162
215,-0.09631934966309952
216,0.15902455445826896
217,-0.0019422142276659636
218,-0.0920386545595768
219,-0.014902966449928083
220,-1.4859463589043942e-4
221,0.04418376637708411
222,0.022266624295835823
223,0.011501979231931563
224,0.046640460386015596
225,0.010931216924817383
226,-0.034554194648341086
227,0.013738150628498955
228,0.018124959133294618
229,-0.018686071676473792
230,-0.05551572382742269
231,-0.0430752121447317
232,-0.01189444835767953
233,-0.02010381806375294
234,-0.061493816777688254
235,-0.01163846146598542
236,-0.004783478450472972
237,-0.0035396864738711682
238,-0.09438819127520512
239,-0.13715878993955619
240,-0.012845784548113684
241,-0.04122687820111369
242,0.012450390336468699
243,-0.07451382057074521
244,0.11159959942616103
245,0.04399203734951522
246,0.010399514710432392
247,0.05755214958679623
248,-0.005233800211597957
249,0.06046302380056099
250,0.04312806128277092
251,-0.055412666327978526
252,-0.00490057398825351
253,0.042707356945567716
254,0.00939614646939078
255,0.006141383292017612
256,-0.06795016188954554
257,-0.003328736527169073
258,0.05423171832162962
259,-0.01001512405366585
260,0.047627874229777684
261,0.05976877097921985
262,-0.06808046730953911
263,-0.04073511296772601
264,0.06637560944809635
265,-0.0778178773014984
266,-0.028062751602204006
267,0.01946745820741752
268,-0.006427990182584507
269,0.058963642450403864
270,0.12531153438770226
271,0.05579435822142709
272,0.0027779694339324645
273,0.0796043898506422
274,-0.03660444776776923
275,-0.10737185578230421
276,-0.001316189643191943
277,0.014281741381689802
278,-0.09382878460882221
279,-0.06792278508255042
280,0.03126299546557377
281,0.03049899381632417
282,-0.0547879216101397
283,0.01480456323143148
284,0.0010240408747637375
285,-0.05631577674677815
286,0.05746013380490887
287,-0.03248745698013021
288,0.05782548202745548
289,-0.02295447555336278
290,-0.04045880754887176
