"country","year","ideal_point"
"AFG",2000,2.75075402908425
"AGO",2000,1.53024032980643
"ALB",2000,-0.905998617141882
"AND",2000,-1.76259574869653
"ARE",2000,3.51006147379224
"ARG",2000,-0.0189909543819902
"ARM",2000,-1.40497319765834
"ATG",2000,0.508616955421748
"AUS",2000,-3.09334937827176
"AUT",2000,-5.78991063612795
"AZE",2000,-1.01341516932515
"BDI",2000,1.49074718691386
"BEL",2000,-5.84452971261254
"BEN",2000,1.03280304122881
"BFA",2000,1.24073215441092
"BGD",2000,2.62248021895814
"BGR",2000,-2.90549372484039
"BHR",2000,3.31066055700946
"BHS",2000,1.21554527034319
"BIH",2000,0.129717697142929
"BLR",2000,-0.643514759184854
"BLZ",2000,1.201942847596
"BOL",2000,0.647762097788134
"BRA",2000,0.0577218294374307
"BRB",2000,1.17304732300623
"BRN",2000,3.01185497569193
"BTN",2000,1.41939193572172
"BWA",2000,1.39655365391259
"CAF",2000,1.60290898551177
"CAN",2000,-4.76880741579781
"CHE",2000,-0.728641906568307
"CHL",2000,0.21641232776201
"CHN",2000,0.724097476009655
"CIV",2000,1.30550164717062
"CMR",2000,1.27580008000014
"COD",2000,1.77367888651167
"COG",2000,1.55491016009834
"COL",2000,0.538253158491926
"COM",2000,2.78489625209856
"CPV",2000,1.22623949942667
"CRI",2000,0.00882800391367043
"CUB",2000,2.52169500846984
"CYP",2000,0.113312649490437
"CZE",2000,-3.21102739270971
"DEU",2000,-2.42508721764356
"DJI",2000,2.78615914268322
"DMA",2000,0.515288626962786
"DNK",2000,-5.610380106164
"DOM",2000,0.575360973888442
"DZA",2000,3.45173459359645
"ECU",2000,0.355372265299498
"EGY",2000,3.83551599307754
"ERI",2000,1.53957787566233
"ESP",2000,-5.76004894659908
"EST",2000,-1.85747513897541
"ETH",2000,1.39070873868046
"FIN",2000,-6.09756518086392
"FJI",2000,0.266423808432052
"FRA",2000,-5.72767567659179
"FSM",2000,0.388645532814576
"GAB",2000,1.38342950157733
"GBR",2000,-5.98491344260894
"GEO",2000,-1.62102391532823
"GHA",2000,1.37306614721864
"GIN",2000,1.88624081159361
"GMB",2000,1.57432657803621
"GNB",2000,1.61923904999007
"GNQ",2000,1.63206832162284
"GRC",2000,-5.52390490503392
"GRD",2000,1.30995983694407
"GTM",2000,0.317428279050753
"GUY",2000,1.40171941177854
"HND",2000,0.871811947135628
"HRV",2000,-2.4992171978466
"HTI",2000,0.262235084918473
"HUN",2000,-3.56334682076972
"IDN",2000,2.8171285042324
"IND",2000,0.913046676852633
"IRL",2000,-5.58684831488148
"IRN",2000,1.72428171435828
"IRQ",2000,2.07047458614905
"ISL",2000,-2.88998479341371
"ISR",2000,-1.25034695624904
"ITA",2000,-5.62136747241681
"JAM",2000,1.2687464001326
"JOR",2000,3.18916801119499
"JPN",2000,-3.17670560994647
"KAZ",2000,-0.890509589927302
"KEN",2000,1.20361841046692
"KGZ",2000,-0.781472528372984
"KHM",2000,1.22035595759097
"KIR",2000,0.543424588606074
"KNA",2000,1.5984611573228
"KOR",2000,-2.10978469167264
