iso3c,hr_agree_china_1994_96,n_hr_votes_1994_96
AFG,0.7222222222222222,36
AGO,0.725,40
ALB,0.23684210526315788,38
AND,0.1951219512195122,41
ARE,0.6097560975609756,41
ARG,0.13333333333333333,45
ARM,0.41025641025641024,39
ATG,0.4888888888888889,45
AUS,0.2222222222222222,45
AUT,0.2222222222222222,45
AZE,0.55,40
BDI,0.6666666666666666,39
BEL,0.2222222222222222,45
BEN,0.6222222222222222,45
BFA,0.6976744186046512,43
BGD,0.6888888888888889,45
BGR,0.24444444444444444,45
BHR,0.6046511627906976,43
BHS,0.5111111111111111,45
BIH,0.41935483870967744,31
BLR,0.5333333333333333,45
BLZ,0.5,44
BOL,0.5333333333333333,45
BRA,0.5555555555555556,45
BRB,0.37037037037037035,27
BRN,0.6888888888888889,45
BTN,0.5348837209302325,43
BWA,0.6444444444444445,45
CAF,1,4
CAN,0.2222222222222222,45
CHL,0.5681818181818182,44
CIV,0.6904761904761905,42
CMR,0.6888888888888889,45
COD,0.4444444444444444,18
COG,0.625,32
COL,0.5555555555555556,45
COM,0.7142857142857143,14
CPV,0.5681818181818182,44
CRI,0.5,34
CUB,0.975,40
CYP,0.4444444444444444,45
CZE,0.2222222222222222,45
DEU,0.2222222222222222,45
DJI,0.75,32
DMA,0.36363636363636365,33
DNK,0.2222222222222222,45
DOM,0.4166666666666667,12
DZA,0.6222222222222222,45
ECU,0.4888888888888889,45
EGY,0.6046511627906976,43
ERI,0.625,32
ESP,0.2222222222222222,45
EST,0.16279069767441862,43
ETH,0.6744186046511628,43
FIN,0.2222222222222222,45
FJI,0.4222222222222222,45
FRA,0.2222222222222222,45
FSM,0.06666666666666667,30
GAB,0.6829268292682927,41
GBR,0.2222222222222222,45
GEO,0.15384615384615385,39
GHA,0.8444444444444444,45
GIN,0.625,40
GMB,0.7931034482758621,29
GNB,0.6296296296296297,27
GNQ,0.3684210526315789,19
GRC,0.3225806451612903,31
GRD,0.3953488372093023,43
GTM,0.5526315789473685,38
GUY,0.5555555555555556,45
HND,0.5121951219512195,41
HRV,0.2619047619047619,42
HTI,0.5454545454545454,44
HUN,0.21428571428571427,42
IDN,0.8222222222222222,45
IND,0.8888888888888888,45
IRL,0.2222222222222222,45
IRN,0.8181818181818182,44
IRQ,0.8333333333333334,12
ISL,0.2,45
ISR,0,45
ITA,0.2222222222222222,45
JAM,0.6,45
JOR,0.6,45
JPN,0.2,45
KAZ,0.3111111111111111,45
KEN,0.6888888888888889,45
KGZ,0.3902439024390244,41
KHM,0.5,38
KNA,0.4,35
KOR,0.30952380952380953,42
KWT,0.5714285714285714,42
LAO,0.8157894736842105,38
LBN,0.5777777777777777,45
LBR,0.6666666666666666,12
LBY,0.8181818181818182,44
LCA,0.4594594594594595,37
LIE,0.2222222222222222,45
LKA,0.7333333333333333,45
LSO,0.5151515151515151,33
LTU,0.14634146341463414,41
LUX,0.2222222222222222,45
LVA,0.13157894736842105,38
MAR,0.6585365853658537,41
MCO,0.22727272727272727,44
MDA,0.26666666666666666,45
MDG,0.7857142857142857,14
MDV,0.5952380952380952,42
MEX,0.5555555555555556,45
MHL,0.09302325581395349,43
MKD,0.2727272727272727,44
MLI,0.6097560975609756,41
MLT,0.4,45
MMR,0.9411764705882353,34
MNG,0.5227272727272727,44
MOZ,0.5526315789473685,38
MRT,0.6046511627906976,43
MUS,0.5227272727272727,44
MWI,0.5641025641025641,39
MYS,0.6444444444444445,45
NAM,0.7619047619047619,42
NER,0.6444444444444445,45
NGA,0.8888888888888888,45
NIC,0.5238095238095238,42
NLD,0.2222222222222222,45
NOR,0.13636363636363635,44
NPL,0.7045454545454546,44
NZL,0.2222222222222222,45
OMN,0.717948717948718,39
PAK,0.7555555555555555,45
PAN,0.5333333333333333,45
PER,0.6,45
PHL,0.6666666666666666,45
PLW,0.07692307692307693,13
PNG,0.5365853658536586,41
POL,0.21428571428571427,42
PRK,0.9142857142857143,35
PRT,0.2222222222222222,45
PRY,0.5,42
QAT,0.7317073170731707,41
ROU,0.2727272727272727,44
RUS,0.2222222222222222,45
RWA,0.42105263157894735,19
SAU,0.5909090909090909,44
SDN,0.7857142857142857,42
SEN,0.6153846153846154,39
SGP,0.6,45
SLB,0.30952380952380953,42
SLE,0.5428571428571428,35
SLV,0.5116279069767442,43
SMR,0.32,25
SUR,0.4888888888888889,45
SVK,0.2682926829268293,41
SVN,0.2222222222222222,45
SWE,0.2222222222222222,45
SWZ,0.4418604651162791,43
SYC,1,5
SYR,0.8636363636363636,44
TCD,0.6521739130434783,23
TGO,0.8,45
THA,0.5681818181818182,44
TJK,0.3333333333333333,27
TKM,0.5384615384615384,13
TTO,0.5555555555555556,45
TUN,0.6222222222222222,45
TUR,0.46511627906976744,43
TZA,0.8636363636363636,44
UGA,0.7777777777777778,45
UKR,0.4772727272727273,44
URY,0.4888888888888889,45
USA,0,45
UZB,0.2894736842105263,38
VCT,0.25806451612903225,31
VEN,0.6222222222222222,45
VNM,0.9736842105263158,38
VUT,0.5666666666666667,30
WSM,0.2682926829268293,41
YEM,0.96,25
ZAF,0.5777777777777777,45
ZMB,0.7209302325581395,43
ZWE,0.8222222222222222,45
