iso3c,country_name,region,unit_weight,placebo_estimate,rmspe_pre,primary_goods_dose_pre_share,primary_goods_dose_post_share,primary_goods_dose_delta_share,primary_goods_n_years_defined_pre,primary_goods_n_years_defined_post,robustness_all_sector_dose_pre_share,robustness_all_sector_dose_post_share,robustness_all_sector_dose_delta_share,all_sector_min_china_rank_post_treatment,all_sector_china_exposure_flag,primary_goods_delta_share_in_high_dose_subgroup,primary_goods_post_share_in_high_dose_subgroup,robustness_all_sector_delta_share_in_high_dose_subgroup,robustness_all_sector_post_share_in_high_dose_subgroup,treated_unit_dose_rule
ALB,Albania,Europe & Central Asia,0.02209515447935757,-0.12177656332860598,0.1377561596253306,0.012432461191001356,0.06822409585215065,0.055791634661149295,12,7,0.01239998664376891,0.06724725444582746,0.05484726780205856,2,China top-two export destination post-2009,TRUE,TRUE,TRUE,TRUE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
ARE,United Arab Emirates,Middle East & North Africa,4.178396671878272e-4,0.08983149532727912,0.09315880909827594,0.016406676221580933,0.04368570213278016,0.02727902591119923,12,7,0.01635418664488222,0.04336510827265097,0.02701092162776875,3,No top-two China export-destination exposure,TRUE,FALSE,TRUE,TRUE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
ARG,Argentina,Latin America & Caribbean,0.01643808282508038,-0.21696679537484315,0.04798303734661964,0.06304675535865695,0.07887345670047216,0.015826701341815214,12,7,0.05990757407514194,0.07480569268517333,0.014898118610031388,2,China top-two export destination post-2009,FALSE,TRUE,FALSE,TRUE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
AUT,Austria,Europe & Central Asia,0.01008236447003013,-0.08393209317886577,0.05510062581637457,0.012960080532156061,0.032451212424206094,0.019491131892050033,12,7,0.01069716312639363,0.02544365843630422,0.014746495309910589,8,No top-two China export-destination exposure,FALSE,FALSE,FALSE,FALSE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
AZE,Azerbaijan,Europe & Central Asia,0.02097365338735812,-0.14093615017971897,0.07669169287607189,0.005392758327762023,0.007268897962503619,0.0018761396347415958,12,7,0.00505563517866937,0.00724277596741029,0.0021871407887409195,22,No top-two China export-destination exposure,FALSE,FALSE,FALSE,FALSE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
BGD,Bangladesh,South Asia,3.518960326837463e-4,0.04410596643310554,0.10096326003043996,0.006126499899119119,0.015291232619001175,0.009164732719882055,12,7,0.00612126421209894,0.01526142380672603,0.009140159594627089,12,No top-two China export-destination exposure,FALSE,FALSE,FALSE,FALSE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
BGR,Bulgaria,Europe & Central Asia,0.01049451369231531,-0.00701736725511646,0.05247901492144794,0.005053569752193298,0.023913380260342627,0.01885981050814933,12,7,0.00383497445692059,0.01916892435882827,0.01533394990190768,9,No top-two China export-destination exposure,FALSE,FALSE,FALSE,FALSE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
BHR,Bahrain,Middle East & North Africa,0,-0.09736817287738823,0.11986685581573832,0.016155007812488593,0.032146088519806854,0.01599108070731826,12,7,0.01571689976056608,0.02977522722701115,0.014058327466445072,3,No top-two China export-destination exposure,FALSE,FALSE,FALSE,FALSE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
BLR,Belarus,Europe & Central Asia,0,0.087447277102057,0.17634783175519764,0.01831234053780481,0.026590512798603732,0.008278172260798921,12,7,0.01747757522659094,0.02504961333551155,0.007572038108920612,5,No top-two China export-destination exposure,FALSE,FALSE,FALSE,FALSE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
BOL,Bolivia,Latin America & Caribbean,0.02257238206939235,0.3589627422555607,0.06349425838649342,0.00854194018327833,0.0331413777917111,0.02459943760843277,12,7,0.00854184071676864,0.03314071380037938,0.024598873083610744,4,No top-two China export-destination exposure,TRUE,FALSE,TRUE,FALSE,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations."
