analysis_arm,dose_definition,dose_cutoff,comparison_set,excluded_units,rank_one_sided_negative,rank_two_sided_absolute,denominator,p_rank_one_sided_negative,p_rank_two_sided_absolute,resolution_floor,treated_unit_dose_rule,is_selftest_row
self_test,none,,All valid assignments (self-test vs rank_inference.csv),,3,7,96,0.03125,0.07291666666666667,0.010416666666666666,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations.",TRUE
primary_goods,delta_share,0.02444483719690122,"PRIMARY (goods-only dose): Brazil plus top-quartile donors by change in the goods-only China export share, post minus pre",ARG;AUT;AZE;BGD;BGR;BHR;BLR;BRB;BTN;BWA;CIV;COM;CPV;CYP;CZE;DNK;DOM;DZA;ECU;ESP;EST;FIN;FJI;FRA;GAB;GBR;GEO;GIN;GRC;GTM;GUY;HRV;HTI;HUN;IND;IRL;ISL;ISR;ITA;JAM;JOR;KEN;LBN;LKA;LTU;LVA;MAR;MDA;MDV;MEX;MUS;NGA;NIC;NLD;NOR;PAN;POL;PRT;PRY;ROU;SEN;SLV;SUR;SVN;SWE;SWZ;TCD;TTO;TUN;TUR;UGA,2,5,25,0.08,0.2,0.04,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations.",FALSE
primary_goods,post_share,0.046198878281862824,PRIMARY (goods-only dose): Brazil plus top-quartile donors by post-period mean goods-only China export share,ARE;AUT;AZE;BGD;BGR;BHR;BLR;BOL;BRB;BTN;BWA;CIV;COM;CPV;CYP;CZE;DNK;DOM;DZA;ECU;EGY;ESP;EST;FJI;FRA;GBR;GEO;GIN;GRC;GTM;GUY;HRV;HTI;HUN;IRL;ISL;ISR;ITA;JAM;JOR;KEN;LBN;LKA;LTU;LVA;MAR;MDA;MDV;MEX;MUS;MWI;NGA;NIC;NLD;NOR;PAN;POL;PRT;PRY;ROU;SEN;SLV;SUR;SVK;SVN;SWE;SWZ;TTO;TUN;TUR;UGA,2,4,25,0.08,0.16,0.04,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations.",FALSE
robustness_all_sector,delta_share,0.022726032556823844,"ROBUSTNESS (all-sector dose): Brazil plus top-quartile donors by change in the all-sector China export share, post minus pre",ARG;AUT;AZE;BGD;BGR;BHR;BLR;BRB;BTN;BWA;CIV;COM;CPV;CYP;CZE;DNK;DOM;DZA;EGY;ESP;EST;FIN;FJI;FRA;GAB;GBR;GEO;GIN;GRC;GTM;GUY;HRV;HTI;HUN;IND;IRL;ISL;ISR;ITA;JAM;JOR;KEN;LBN;LKA;LTU;LVA;MAR;MDA;MDV;MEX;MUS;NGA;NIC;NLD;NOR;PAN;POL;PRT;PRY;ROU;SEN;SLV;SUR;SVN;SWE;SWZ;TTO;TUN;TUR;UGA;UKR,2,5,25,0.08,0.2,0.04,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations.",FALSE
robustness_all_sector,post_share,0.043189349456611154,ROBUSTNESS (all-sector dose): Brazil plus top-quartile donors by post-period mean all-sector China export share,AUT;AZE;BGD;BGR;BHR;BLR;BOL;BRB;BTN;BWA;CAN;CIV;COM;CPV;CYP;CZE;DNK;DOM;DZA;ECU;EGY;ESP;EST;FJI;FRA;GBR;GEO;GIN;GRC;GTM;GUY;HRV;HTI;HUN;IRL;ISL;ISR;ITA;JAM;JOR;KEN;LBN;LKA;LTU;LVA;MAR;MDA;MDV;MEX;MUS;MWI;NGA;NIC;NLD;NOR;PAN;POL;PRT;PRY;ROU;SEN;SLV;SUR;SVK;SVN;SWE;SWZ;TTO;TUN;TUR;UGA,2,4,25,0.08,0.16,0.04,"The treated unit (BRA) has NO dose coordinate on either arm and is added to every high-dose subgroup UNCONDITIONALLY, not by clearing the cutoff. It is absent from donor_china_exposure.csv by construction, so the all-sector arm cannot supply a dose for it; the goods arm could, and deliberately does not, so that the two arms treat the treated unit identically and the subgroup membership of the treated unit never depends on the exposure quantity under test. Brazil never enters the OLS fit, the quartile cutoff or the dose correlations.",FALSE
