year,time_weight,time_weight_rank,high_time_weight
1997,0,8,FALSE
1998,0.02479088059076001,6,FALSE
1999,0.09790361833543637,4,FALSE
2000,0,8,FALSE
2001,0,8,FALSE
2002,0,8,FALSE
2003,0,8,FALSE
2004,0.014960335219778867,7,FALSE
2005,0.08067871143550032,5,FALSE
2006,0.12819921811417165,3,TRUE
2007,0.301956570966356,2,TRUE
2008,0.3515106653379971,1,TRUE
