weight_rank,iso3c,country_name,region,latin_america,unit_weight,high_weight_donor,mean_china_export_share_post_treatment,mean_china_export_share_pre_treatment,max_china_export_share_post_treatment,max_china_export_share_pre_treatment,mean_china_rank_post_treatment,mean_china_rank_pre_treatment,min_china_rank_post_treatment,min_china_rank_pre_treatment,ever_china_top_export_destination_post_treatment,ever_china_top_export_destination_pre_treatment,ever_china_top_two_export_destination_post_treatment,ever_china_top_two_export_destination_pre_treatment,delta_mean_china_export_share_post_minus_pre,china_exposure_flag
45,DZA,Algeria,Middle East & North Africa,FALSE,0.010774843732271954,FALSE,0.02414110408667012,0.00632158850462739,0.03211297176268451,0.020438555753970154,11.714285714285714,23.5,10,11,FALSE,FALSE,FALSE,FALSE,0.017819515582042728,No top-two China export-destination exposure
46,ROU,Romania,Europe & Central Asia,FALSE,0.010548010271770743,FALSE,0.014080244957325039,0.009514508210658492,0.01757658660287694,0.024168235652750707,17.428571428571427,22.333333333333332,15,9,FALSE,FALSE,FALSE,FALSE,0.004565736746666547,No top-two China export-destination exposure
47,BGR,Bulgaria,Europe & Central Asia,FALSE,0.010494513692315313,FALSE,0.01916892435882827,0.0038349744569205983,0.027493502246124884,0.006121825605044632,15.714285714285714,37.916666666666664,9,20,FALSE,FALSE,FALSE,FALSE,0.015333949901907671,No top-two China export-destination exposure
48,GUY,Guyana,Latin America & Caribbean,TRUE,0.010325846626027766,FALSE,0.015913788095188813,0.007884269470375672,0.0315666530945946,0.023654392347720786,11.428571428571429,26.166666666666668,8,11,FALSE,FALSE,FALSE,FALSE,0.008029518624813142,No top-two China export-destination exposure
49,CZE,Czechia,Europe & Central Asia,FALSE,0.010100332826692045,FALSE,0.015664902207600518,0.004242783666764333,0.019775039070290074,0.007309187054849361,15.714285714285714,29.583333333333332,15,20,FALSE,FALSE,FALSE,FALSE,0.011422118540836185,No top-two China export-destination exposure
50,AUT,Austria,Europe & Central Asia,FALSE,0.010082364470030131,FALSE,0.025443658436304223,0.010697163126393634,0.029406990398800494,0.01704417668589705,9.428571428571429,19.083333333333332,8,14,FALSE,FALSE,FALSE,FALSE,0.014746495309910589,No top-two China export-destination exposure
51,JOR,Jordan,Middle East & North Africa,FALSE,0.009828290722081438,FALSE,0.025086427594541213,0.02118997651246425,0.03182861074122376,0.034975732972440145,9.285714285714286,10.5,7,8,FALSE,FALSE,FALSE,FALSE,0.003896451082076962,No top-two China export-destination exposure
52,QAT,Qatar,Middle East & North Africa,FALSE,0.009667482229400566,FALSE,0.050233712629271864,0.019272401106206986,0.0664264292064219,0.03653040449899198,5.428571428571429,7.916666666666667,4,4,FALSE,FALSE,FALSE,FALSE,0.030961311523064878,No top-two China export-destination exposure
53,SWE,Sweden,Europe & Central Asia,FALSE,0.009259823117573413,FALSE,0.037171976948811504,0.02336117238453747,0.04021566362251336,0.028488171197659597,9,12.333333333333334,9,11,FALSE,FALSE,FALSE,FALSE,0.013810804564274033,No top-two China export-destination exposure
54,NAM,Namibia,Sub-Saharan Africa,FALSE,0.009226942063998548,FALSE,0.06653561125459666,0.025028528963029754,0.12607951572542686,0.06419928029416615,5,13.583333333333334,2,2,FALSE,FALSE,TRUE,TRUE,0.0415070822915669,China top-two export destination post-2009
55,PAN,Panama,Latin America & Caribbean,TRUE,0.009143797992318027,FALSE,0.007630549370915018,0.002030500838621847,0.028742848378955924,0.008522674924830371,29.285714285714285,52.25,8,27,FALSE,FALSE,FALSE,FALSE,0.005600048532293171,No top-two China export-destination exposure
56,FIN,Finland,Europe & Central Asia,FALSE,0.00890954681738182,FALSE,0.05272633609085587,0.04116499814371633,0.05954055947024556,0.057576963506463026,6,7.916666666666667,4,6,FALSE,FALSE,FALSE,FALSE,0.011561337947139538,No top-two China export-destination exposure
57,NLD,Netherlands,Europe & Central Asia,FALSE,0.008893848350382476,FALSE,0.01525099661357908,0.008233676232536558,0.019779912096018773,0.011919206284802433,12.285714285714286,20.083333333333332,10,14,FALSE,FALSE,FALSE,FALSE,0.007017320381042521,No top-two China export-destination exposure
58,COM,Comoros,Sub-Saharan Africa,FALSE,0.00886234929891926,FALSE,2.8630823128977996e-4,1.2421179534092725e-4,7.934784366659545e-4,0.0010133898321316207,49.714285714285715,51.166666666666664,33,22,FALSE,FALSE,FALSE,FALSE,1.620964359488527e-4,No top-two China export-destination exposure
59,SEN,Senegal,Sub-Saharan Africa,FALSE,0.008842578840799602,FALSE,0.0229696677191086,0.004483222558874247,0.04055621173874082,0.013802307695897333,11.285714285714286,39.166666666666664,7,15,FALSE,FALSE,FALSE,FALSE,0.018486445160234354,No top-two China export-destination exposure
60,ISR,Israel,Middle East & North Africa,FALSE,0.008488512970987292,FALSE,0.03703179393400892,0.01661173268816837,0.04342021740230052,0.024757427327964814,5,14.583333333333334,2,9,FALSE,FALSE,TRUE,FALSE,0.02042006124584055,China top-two export destination post-2009
61,GRC,Greece,Europe & Central Asia,FALSE,0.008456194413155139,FALSE,0.011022308088181245,0.0036703954542318075,0.02447791641216903,0.007081399312910313,21.285714285714285,35.666666666666664,10,26,FALSE,FALSE,FALSE,FALSE,0.007351912633949438,No top-two China export-destination exposure
62,UGA,Uganda,Sub-Saharan Africa,FALSE,0.008131638287750946,FALSE,0.026561164369977578,0.010356027968758685,0.0469630787822477,0.022197880352268714,12.285714285714286,29.25,8,14,FALSE,FALSE,FALSE,FALSE,0.016205136401218893,No top-two China export-destination exposure
63,PRT,Portugal,Europe & Central Asia,FALSE,0.008058973683186296,FALSE,0.01599892476352535,0.003883000383121932,0.020953569739828527,0.007059073697859551,13.142857142857142,27.083333333333332,11,18,FALSE,FALSE,FALSE,FALSE,0.012115924380403417,No top-two China export-destination exposure
64,SVK,Slovakia,Europe & Central Asia,FALSE,0.007844532734491452,FALSE,0.034983085881766796,0.004732350907275665,0.04460098483835273,0.013401136008493486,10.571428571428571,31.333333333333332,9,16,FALSE,FALSE,FALSE,FALSE,0.03025073497449113,No top-two China export-destination exposure
65,MDA,Moldova,Europe & Central Asia,FALSE,0.007713522122124711,FALSE,0.005923085728599,0.003532133787734842,0.008758007369409088,0.014633717154602351,25.285714285714285,42.916666666666664,20,10,FALSE,FALSE,FALSE,FALSE,0.0023909519408641584,No top-two China export-destination exposure
