specification,estimate,se_placebo,ci_95_low,ci_95_high,p_normal_two_sided,rmspe_pre,rmspe_post,rmspe_ratio,n_units,n_donors,n_pre_years,n_post_years,status,error,year_start,year_end,estimate_change_vs_main,percent_change_vs_main,inference
1997-2013,-0.29391438622081345,NA,NA,NA,NA,0.055887500150027906,0.31354908726612957,5.610361644811787,96,95,12,5,estimated,,1997,2013,-0.021142978637753385,-7.751171145500379,Point estimate only
1997-2014,-0.3204919023071303,NA,NA,NA,NA,0.056888655083996376,0.3451117500843863,6.066442414130324,96,95,12,6,estimated,,1997,2014,-0.04772049472407025,-17.494683605919786,Point estimate only
1997-2015 preferred,-0.27277140758306007,NA,NA,NA,NA,0.05777659740154044,0.32033122306339695,5.544307513250275,96,95,12,7,estimated,,1997,2015,0,0,"20,000-placebo SE and rank reported in main results"
1997-2016,-0.2777097146431528,NA,NA,NA,NA,0.05860223633933445,0.32959057387481483,5.624197888393383,96,95,12,8,estimated,,1997,2016,-0.004938307060092739,-1.8104196124694645,Point estimate only
1998-2015,-0.25579190234540183,NA,NA,NA,NA,0.03901029416537352,0.3179564031325947,8.150576916562205,96,95,11,7,estimated,,1998,2015,0.016979505237658232,6.224811239604686,Point estimate only
1999-2015,-0.26748638908506706,NA,NA,NA,NA,0.02683534444552301,0.32138284782711585,11.976102951819302,96,95,10,7,estimated,,1999,2015,0.00528501849799301,1.9375265702596411,Point estimate only
2000-2015,-0.2648726491337593,NA,NA,NA,NA,0.02816119525475587,0.31943193448642604,11.342982128305804,96,95,9,7,estimated,,2000,2015,0.007898758449300769,2.895742819707217,Point estimate only
