variant,att,se,ci_lo,ci_hi,p,r_cv,att_rel_pct,att_sd_units,n_obs,n_countries,n_treated,n_control,panel_min,panel_max,nboots
"BSV full window 1990-2022 (paper main, stored target)",-0.1006420140210192,0.03912661176449206,-0.17733017307942364,-0.023953854962614762,0.010105044205677793,2,13.955989847893832,0.12443466188390026,5037,161,35,126,1990,2022,10000
"BSV common window (<= 2020, identical rows)",-0.09532156006332301,0.03970019212459848,-0.173133936627536,-0.01750918349911,0.0163487622799316,2,13.218204518952712,0.11743683433631924,4727,161,35,126,1990,2020,10000
"UNGA-DM common window (<= 2020, identical rows)",-0.026818587461689563,0.04760531437160387,-0.12012500363003314,0.06648782870665401,0.5731946664011927,1,3.509669894433299,0.031701630134383006,4727,161,35,126,1990,2020,10000
