iso3c,unit_weight_dm,unit_weight_bsv
COL,0.04333717320888504,0.021839997688418485
SEN,0.031233685907058936,0.008408002714513408
IND,0.030421622378513986,0.021805056343228713
BRB,0.028740355417895564,0.015769121904752884
GTM,0.02676022892181159,0.027344567083984438
MLT,0.02623940269565025,0.03047827617581779
TTO,0.026183441291966317,0.014450102683794958
GHA,0.02598420580018015,4.4031439995893845e-4
PRY,0.025738218204622725,0.026966262293782912
BOL,0.025111845919114476,0.02258701698268947
CRI,0.02258448533893922,0.017895608774214297
MUS,0.022500509588676252,0.010493689549936605
FJI,0.02096914838143302,0.01734382857659083
NIC,0.019040820675227645,0.013675606646570684
TUR,0.01827945395177581,0.02076332895506092
NGA,0.018250179459831158,4.4031439995893845e-4
DEU,0.018021525459201344,0.020838641754271182
GEO,0.01794612307431167,0.030501308836623577
HUN,0.017087147539215048,0.015481115834185695
ARG,0.01630597227976231,0.016453859968024946
SLV,0.01603695122636356,0.012787820438840447
EST,0.015470424079648078,0.013013710803914263
SUR,0.015447457018289926,0.015049980394094161
NOR,0.01542958313330496,0.015275418557308493
LKA,0.015282513499743456,0.0037994650857947304
VEN,0.014834475476944931,4.4031439995893845e-4
DNK,0.014786984935825363,0.013803575388387373
ISL,0.014758607895288264,0.01621876124850198
JAM,0.013885002971412813,0.012645421736151618
LTU,0.013866554479790709,0.013675588502957175
GUY,0.013650906205002998,0.01005418200393799
ECU,0.013635134010312404,4.4031439995893845e-4
NLD,0.013602010495992647,0.008874836875830398
AUT,0.013365319234631327,0.010123829055123322
ESP,0.012798598944247527,0.011132678487376391
GIN,0.012683398404445701,4.4031439995893845e-4
SWE,0.012420002495434068,0.009169768803003532
PAN,0.01186372467526535,0.008240499150702922
POL,0.011773035279197321,0.013524255912185418
ROU,0.01163216220942794,0.010394121927618334
PRT,0.01146108807331769,0.008067758217912151
SVN,0.011174758265205656,0.010687692631309089
FIN,0.01102577452292139,0.008929208822869293
CYP,0.010639489939341907,0.01620933120993463
DOM,0.01032763930611313,0.02178320600106761
ITA,0.010190213051213537,0.007853277011033853
ALB,0.01003320269243051,0.022104894289254988
MDV,0.009993100609527432,0.011608505141629914
NAM,0.009858057757173577,0.009248775090940657
BWA,0.009582197233667288,0.003099522542656156
BGR,0.009281204017534435,0.01051142588456842
GRC,0.008807615849817318,0.008270001438067427
GAB,0.008468304032516902,4.4031439995893845e-4
LVA,0.008314032781550192,0.011423971987132667
MDG,0.00819150950502137,4.4031439995893845e-4
MEX,0.008141131188037653,4.4031439995893845e-4
CZE,0.008125494511665013,0.009954709455066622
MDA,0.007965625316825048,0.007314339668994019
SVK,0.00771732780386752,0.007777969031919113
GBR,0.007413393791458021,0.005925567982923353
CPV,0.007203861345455659,4.4031439995893845e-4
PNG,0.006964063265081823,0.016240331435217564
IRL,0.00684270176420272,0.0030196313890154007
HRV,0.005922910815151884,0.013538365126123138
TGO,0.00521752557098433,0.011722351120224735
SWZ,0.005004689029270319,4.4031439995893845e-4
KEN,0.004400251589574299,0.015413132380473678
AZE,0.003815704702366509,0.021021906541448577
FRA,0.002767567631192293,5.960347928886229e-4
UGA,0.002635105636854688,0.008465707144980204
RWA,0.0023156850678077634,4.4031439995893845e-4
ARE,9.334921534209472e-5,8.597830731803788e-4
BGD,9.334921534209472e-5,5.052978493828832e-4
BHR,9.334921534209472e-5,4.4031439995893845e-4
BLR,9.334921534209472e-5,4.4031439995893845e-4
BTN,9.334921534209472e-5,0.006180104059926089
CAN,9.334921534209472e-5,0.0029700253282427765
CIV,9.334921534209472e-5,4.4031439995893845e-4
COM,9.334921534209472e-5,0.008629499127300008
DZA,9.334921534209472e-5,0.009877406220523487
EGY,9.334921534209472e-5,4.4031439995893845e-4
HTI,9.334921534209472e-5,0.015727300410263382
ISR,9.334921534209472e-5,0.008166943162722111
JOR,9.334921534209472e-5,0.01047164990857242
KWT,9.334921534209472e-5,4.4031439995893845e-4
LBN,9.334921534209472e-5,0.011548159335917138
LBY,9.334921534209472e-5,0.0023139846482236447
MAR,9.334921534209472e-5,0.007345126694438545
MWI,9.334921534209472e-5,0.017757961734512766
PAK,9.334921534209472e-5,0.013154964322860375
QAT,9.334921534209472e-5,0.009683982023398725
TCD,9.334921534209472e-5,0.02770255709515166
TUN,9.334921534209472e-5,0.013590272887198341
UKR,9.334921534209472e-5,4.4031439995893845e-4
USA,9.334921534209472e-5,0.0043627138430413406
