reason,iso3c,n
UNGA-DM outcome missing,KHM,1
UNGA-DM outcome missing,NER,1
beyond UNGA-DM endpoint (year > 2020),AFG,2
beyond UNGA-DM endpoint (year > 2020),AGO,2
beyond UNGA-DM endpoint (year > 2020),ALB,2
beyond UNGA-DM endpoint (year > 2020),AND,2
beyond UNGA-DM endpoint (year > 2020),ARE,2
beyond UNGA-DM endpoint (year > 2020),ARG,2
beyond UNGA-DM endpoint (year > 2020),ATG,2
beyond UNGA-DM endpoint (year > 2020),AUS,2
beyond UNGA-DM endpoint (year > 2020),AUT,2
beyond UNGA-DM endpoint (year > 2020),AZE,2
beyond UNGA-DM endpoint (year > 2020),BDI,2
beyond UNGA-DM endpoint (year > 2020),BEL,2
beyond UNGA-DM endpoint (year > 2020),BGD,2
beyond UNGA-DM endpoint (year > 2020),BGR,2
beyond UNGA-DM endpoint (year > 2020),BHR,2
beyond UNGA-DM endpoint (year > 2020),BHS,2
beyond UNGA-DM endpoint (year > 2020),BIH,2
beyond UNGA-DM endpoint (year > 2020),BLR,2
beyond UNGA-DM endpoint (year > 2020),BLZ,2
beyond UNGA-DM endpoint (year > 2020),BOL,2
beyond UNGA-DM endpoint (year > 2020),BRA,2
beyond UNGA-DM endpoint (year > 2020),BRB,2
beyond UNGA-DM endpoint (year > 2020),BRN,2
beyond UNGA-DM endpoint (year > 2020),BTN,2
beyond UNGA-DM endpoint (year > 2020),BWA,2
beyond UNGA-DM endpoint (year > 2020),CAN,2
beyond UNGA-DM endpoint (year > 2020),CHE,2
beyond UNGA-DM endpoint (year > 2020),CHL,2
beyond UNGA-DM endpoint (year > 2020),CIV,2
beyond UNGA-DM endpoint (year > 2020),COD,1
beyond UNGA-DM endpoint (year > 2020),COG,2
beyond UNGA-DM endpoint (year > 2020),COL,2
beyond UNGA-DM endpoint (year > 2020),COM,2
beyond UNGA-DM endpoint (year > 2020),CPV,2
beyond UNGA-DM endpoint (year > 2020),CRI,2
beyond UNGA-DM endpoint (year > 2020),CUB,2
beyond UNGA-DM endpoint (year > 2020),CYP,2
beyond UNGA-DM endpoint (year > 2020),CZE,2
beyond UNGA-DM endpoint (year > 2020),DEU,2
beyond UNGA-DM endpoint (year > 2020),DJI,2
beyond UNGA-DM endpoint (year > 2020),DMA,2
beyond UNGA-DM endpoint (year > 2020),DNK,2
beyond UNGA-DM endpoint (year > 2020),DOM,2
beyond UNGA-DM endpoint (year > 2020),DZA,2
beyond UNGA-DM endpoint (year > 2020),ECU,2
beyond UNGA-DM endpoint (year > 2020),EGY,2
beyond UNGA-DM endpoint (year > 2020),ERI,2
beyond UNGA-DM endpoint (year > 2020),ESP,2
beyond UNGA-DM endpoint (year > 2020),EST,2
beyond UNGA-DM endpoint (year > 2020),FIN,2
beyond UNGA-DM endpoint (year > 2020),FJI,2
beyond UNGA-DM endpoint (year > 2020),FRA,2
beyond UNGA-DM endpoint (year > 2020),FSM,2
beyond UNGA-DM endpoint (year > 2020),GAB,2
beyond UNGA-DM endpoint (year > 2020),GBR,2
beyond UNGA-DM endpoint (year > 2020),GEO,2
beyond UNGA-DM endpoint (year > 2020),GNB,2
beyond UNGA-DM endpoint (year > 2020),GNQ,2
beyond UNGA-DM endpoint (year > 2020),GRC,2
beyond UNGA-DM endpoint (year > 2020),GRD,2
beyond UNGA-DM endpoint (year > 2020),GTM,2
beyond UNGA-DM endpoint (year > 2020),GUY,2
beyond UNGA-DM endpoint (year > 2020),HND,2
