iso3c,unit_weight
COL,0.04333717320888504
SEN,0.031233685907058936
IND,0.030421622378513986
BRB,0.028740355417895564
GTM,0.02676022892181159
MLT,0.02623940269565025
TTO,0.026183441291966317
GHA,0.02598420580018015
PRY,0.025738218204622725
BOL,0.025111845919114476
CRI,0.02258448533893922
MUS,0.022500509588676252
FJI,0.02096914838143302
NIC,0.019040820675227645
TUR,0.01827945395177581
NGA,0.018250179459831158
DEU,0.018021525459201344
GEO,0.01794612307431167
HUN,0.017087147539215048
ARG,0.01630597227976231
SLV,0.01603695122636356
EST,0.015470424079648078
SUR,0.015447457018289926
NOR,0.01542958313330496
LKA,0.015282513499743456
VEN,0.014834475476944931
DNK,0.014786984935825363
ISL,0.014758607895288264
JAM,0.013885002971412813
LTU,0.013866554479790709
GUY,0.013650906205002998
ECU,0.013635134010312404
NLD,0.013602010495992647
AUT,0.013365319234631327
ESP,0.012798598944247527
GIN,0.012683398404445701
SWE,0.012420002495434068
PAN,0.01186372467526535
POL,0.011773035279197321
ROU,0.01163216220942794
PRT,0.01146108807331769
SVN,0.011174758265205656
FIN,0.01102577452292139
CYP,0.010639489939341907
DOM,0.01032763930611313
ITA,0.010190213051213537
ALB,0.01003320269243051
MDV,0.009993100609527432
NAM,0.009858057757173577
BWA,0.009582197233667288
BGR,0.009281204017534435
GRC,0.008807615849817318
GAB,0.008468304032516902
LVA,0.008314032781550192
MDG,0.00819150950502137
MEX,0.008141131188037653
CZE,0.008125494511665013
MDA,0.007965625316825048
SVK,0.00771732780386752
GBR,0.007413393791458021
CPV,0.007203861345455659
PNG,0.006964063265081823
IRL,0.00684270176420272
HRV,0.005922910815151884
TGO,0.00521752557098433
SWZ,0.005004689029270319
KEN,0.004400251589574299
AZE,0.003815704702366509
FRA,0.002767567631192293
UGA,0.002635105636854688
RWA,0.0023156850678077634
ARE,9.334921534209472e-5
BGD,9.334921534209472e-5
BHR,9.334921534209472e-5
BLR,9.334921534209472e-5
BTN,9.334921534209472e-5
CAN,9.334921534209472e-5
CIV,9.334921534209472e-5
COM,9.334921534209472e-5
DZA,9.334921534209472e-5
EGY,9.334921534209472e-5
HTI,9.334921534209472e-5
ISR,9.334921534209472e-5
JOR,9.334921534209472e-5
KWT,9.334921534209472e-5
LBN,9.334921534209472e-5
LBY,9.334921534209472e-5
MAR,9.334921534209472e-5
MWI,9.334921534209472e-5
PAK,9.334921534209472e-5
QAT,9.334921534209472e-5
TCD,9.334921534209472e-5
TUN,9.334921534209472e-5
UKR,9.334921534209472e-5
USA,9.334921534209472e-5
